,OR (aOR),95% CI Lower,95% CI Upper,P>|z|
const,0.8015534340047038,0.7905830102473609,0.8126760874404685,3.0522241865524377e-217
sex_new_M,1.2361383339401395,1.2254426056537506,1.2469274151122927,0.0
ward_type_new_ICU,1.8460333905262056,1.820560323495909,1.8718628737298946,0.0
ward_type_new_IN,1.2917545653115854,1.2801313172678,1.3034833493213025,0.0
ward_type_new_OTH,0.8501383454995316,0.832451187032279,0.8682013044695871,9.474695729163327e-52
age_group_<1,0.8367382624144694,0.7888638895205383,0.8875180231838427,3.0384781687362375e-09
age_group_1-4,0.7857137009528956,0.7443041655118728,0.8294270655337997,2.5448072627177078e-18
age_group_5-14,0.7654997572561112,0.7377265049208822,0.7943185915788805,1.3563980914719305e-45
age_group_25-34,1.0255678564961688,1.001947352380737,1.0497452044550837,0.033703084135385725
age_group_35-44,1.0884904472303254,1.06720704319359,1.1101983080679036,3.8962372894839e-17
age_group_45-54,1.1534895104478533,1.134114189522112,1.1731958413057897,2.58048515869555e-61
age_group_55-64,1.2262210756516811,1.2072777188043673,1.2454616721175642,2.3296589235577747e-145
age_group_65-74,1.3146842533380398,1.2948801003689079,1.3347912949489178,2.102688599208006e-273
age_group_75-84,1.341148582897254,1.32046174641818,1.362159506919699,8.216994360721816e-300
age_group_85+,1.2792371483970688,1.2559522936080352,1.3029536951104737,3.6985500356533484e-152
