Factor,Adjusted OR (aOR),95% CI Lower,95% CI Upper,P-value
sex_new_M,1.236,1.225,1.247,< 0.001
ward_type_new_ICU,1.846,1.821,1.872,< 0.001
ward_type_new_IN,1.292,1.28,1.303,< 0.001
ward_type_new_OTH,0.85,0.832,0.868,< 0.001
age_group_<1,0.837,0.789,0.888,< 0.001
age_group_1-4,0.786,0.744,0.829,< 0.001
age_group_5-14,0.765,0.738,0.794,< 0.001
age_group_25-34,1.026,1.002,1.05,0.034
age_group_35-44,1.088,1.067,1.11,< 0.001
age_group_45-54,1.153,1.134,1.173,< 0.001
age_group_55-64,1.226,1.207,1.245,< 0.001
age_group_65-74,1.315,1.295,1.335,< 0.001
age_group_75-84,1.341,1.32,1.362,< 0.001
age_group_85+,1.279,1.256,1.303,< 0.001
