organism,antibiotic,result,total_count
Acinetobacter baumannii,amikacin,I,4940
Acinetobacter baumannii,amikacin,R,198217
Acinetobacter baumannii,amikacin,S,161329
Acinetobacter baumannii,amoxicillin/clavulanic acid,R,73516
Acinetobacter baumannii,ampicillin,R,66257
Acinetobacter baumannii,ampicillin/sulbactam,I,5803
Acinetobacter baumannii,ampicillin/sulbactam,R,94051
Acinetobacter baumannii,ampicillin/sulbactam,S,29991
Acinetobacter baumannii,cefazolin,R,10134
Acinetobacter baumannii,cefepime,I,3003
Acinetobacter baumannii,cefepime,R,114663
Acinetobacter baumannii,cefepime,S,31294
Acinetobacter baumannii,cefoperazone/sulbactam,I,2688
Acinetobacter baumannii,cefoperazone/sulbactam,R,8461
Acinetobacter baumannii,cefoperazone/sulbactam,S,8016
Acinetobacter baumannii,cefotaxime,I,33018
Acinetobacter baumannii,cefotaxime,R,153091
Acinetobacter baumannii,cefotaxime,S,17516
Acinetobacter baumannii,cefoxitin,R,64162
Acinetobacter baumannii,ceftazidime,I,5047
Acinetobacter baumannii,ceftazidime,R,285075
Acinetobacter baumannii,ceftazidime,S,88649
Acinetobacter baumannii,ceftriaxone,I,37006
Acinetobacter baumannii,ceftriaxone,R,183556
Acinetobacter baumannii,ceftriaxone,S,21004
Acinetobacter baumannii,cefuroxime,R,35531
Acinetobacter baumannii,chloramphenicol,R,2882
Acinetobacter baumannii,ciprofloxacin,I,2193
Acinetobacter baumannii,ciprofloxacin,R,270265
Acinetobacter baumannii,ciprofloxacin,S,101060
Acinetobacter baumannii,clindamycin,R,582
Acinetobacter baumannii,colistin,I,108003
Acinetobacter baumannii,colistin,R,3084
Acinetobacter baumannii,colistin,S,941
Acinetobacter baumannii,ertapenem,R,63768
Acinetobacter baumannii,erythromycin,R,666
Acinetobacter baumannii,fosfomycin,R,25898
Acinetobacter baumannii,gentamicin,I,7425
Acinetobacter baumannii,gentamicin,R,203874
Acinetobacter baumannii,gentamicin,S,107107
Acinetobacter baumannii,gentamicin high,S,4
Acinetobacter baumannii,imipenem,I,1283
Acinetobacter baumannii,imipenem,R,256894
Acinetobacter baumannii,imipenem,S,87511
Acinetobacter baumannii,levofloxacin,I,16949
Acinetobacter baumannii,levofloxacin,R,143361
Acinetobacter baumannii,levofloxacin,S,64276
Acinetobacter baumannii,meropenem,I,1854
Acinetobacter baumannii,meropenem,R,288523
Acinetobacter baumannii,meropenem,S,99932
Acinetobacter baumannii,nitrofurantoin,I,1
Acinetobacter baumannii,nitrofurantoin,R,19
Acinetobacter baumannii,norfloxacin,I,13
Acinetobacter baumannii,norfloxacin,R,499
Acinetobacter baumannii,norfloxacin,S,238
Acinetobacter baumannii,oxacillin,R,3
Acinetobacter baumannii,penicillin,R,633
Acinetobacter baumannii,piperacillin/tazobactam,I,8544
Acinetobacter baumannii,piperacillin/tazobactam,R,255184
Acinetobacter baumannii,piperacillin/tazobactam,S,86376
Acinetobacter baumannii,tetracycline,I,223
Acinetobacter baumannii,tetracycline,R,12690
Acinetobacter baumannii,tetracycline,S,3511
Acinetobacter baumannii,trimethoprim/sulfamethoxazole,I,5706
Acinetobacter baumannii,trimethoprim/sulfamethoxazole,R,182505
Acinetobacter baumannii,trimethoprim/sulfamethoxazole,S,109329
Acinetobacter baumannii,vancomycin,R,874
Acinetobacter spp.,amikacin,I,623
Acinetobacter spp.,amikacin,R,7032
Acinetobacter spp.,amikacin,S,25209
Acinetobacter spp.,amoxicillin/clavulanic acid,I,46
Acinetobacter spp.,amoxicillin/clavulanic acid,R,243
Acinetobacter spp.,amoxicillin/clavulanic acid,S,263
Acinetobacter spp.,ampicillin,I,56
Acinetobacter spp.,ampicillin,R,450
Acinetobacter spp.,ampicillin,S,242
Acinetobacter spp.,ampicillin/sulbactam,I,694
Acinetobacter spp.,ampicillin/sulbactam,R,3380
Acinetobacter spp.,ampicillin/sulbactam,S,6082
Acinetobacter spp.,cefazolin,I,2
Acinetobacter spp.,cefazolin,R,31
Acinetobacter spp.,cefazolin,S,2
Acinetobacter spp.,cefepime,I,528
Acinetobacter spp.,cefepime,R,3694
Acinetobacter spp.,cefepime,S,7340
Acinetobacter spp.,cefoperazone/sulbactam,I,48
Acinetobacter spp.,cefoperazone/sulbactam,R,41
Acinetobacter spp.,cefoperazone/sulbactam,S,879
Acinetobacter spp.,cefotaxime,I,5442
Acinetobacter spp.,cefotaxime,R,10036
Acinetobacter spp.,cefotaxime,S,6880
Acinetobacter spp.,cefoxitin,I,48
Acinetobacter spp.,cefoxitin,R,473
Acinetobacter spp.,cefoxitin,S,232
Acinetobacter spp.,ceftazidime,I,1356
Acinetobacter spp.,ceftazidime,R,11977
Acinetobacter spp.,ceftazidime,S,18558
Acinetobacter spp.,ceftriaxone,I,5213
Acinetobacter spp.,ceftriaxone,R,9681
Acinetobacter spp.,ceftriaxone,S,7396
Acinetobacter spp.,cefuroxime,I,99
Acinetobacter spp.,cefuroxime,R,371
Acinetobacter spp.,cefuroxime,S,218
Acinetobacter spp.,chloramphenicol,I,1
Acinetobacter spp.,chloramphenicol,R,5
Acinetobacter spp.,chloramphenicol,S,35
Acinetobacter spp.,ciprofloxacin,I,1278
Acinetobacter spp.,ciprofloxacin,R,8929
Acinetobacter spp.,ciprofloxacin,S,20442
Acinetobacter spp.,clindamycin,R,1
Acinetobacter spp.,clindamycin,S,1
Acinetobacter spp.,colistin,I,77
Acinetobacter spp.,colistin,R,10
Acinetobacter spp.,colistin,S,43
Acinetobacter spp.,ertapenem,I,42
Acinetobacter spp.,ertapenem,R,219
Acinetobacter spp.,ertapenem,S,81
Acinetobacter spp.,erythromycin,S,1
Acinetobacter spp.,fosfomycin,R,1
Acinetobacter spp.,fosfomycin,S,1
Acinetobacter spp.,gentamicin,I,983
Acinetobacter spp.,gentamicin,R,8955
Acinetobacter spp.,gentamicin,S,18995
Acinetobacter spp.,gentamicin high,S,1
Acinetobacter spp.,imipenem,I,360
Acinetobacter spp.,imipenem,R,9347
Acinetobacter spp.,imipenem,S,17928
Acinetobacter spp.,levofloxacin,I,687
Acinetobacter spp.,levofloxacin,R,2710
Acinetobacter spp.,levofloxacin,S,11752
Acinetobacter spp.,meropenem,I,611
Acinetobacter spp.,meropenem,R,10854
Acinetobacter spp.,meropenem,S,19980
Acinetobacter spp.,norfloxacin,I,5
Acinetobacter spp.,norfloxacin,R,22
Acinetobacter spp.,norfloxacin,S,64
Acinetobacter spp.,oxacillin,R,1
Acinetobacter spp.,oxacillin,S,1
Acinetobacter spp.,piperacillin/tazobactam,I,1529
Acinetobacter spp.,piperacillin/tazobactam,R,6672
Acinetobacter spp.,piperacillin/tazobactam,S,17498
Acinetobacter spp.,teicoplanin,S,1
Acinetobacter spp.,tetracycline,I,95
Acinetobacter spp.,tetracycline,R,630
Acinetobacter spp.,tetracycline,S,939
Acinetobacter spp.,trimethoprim/sulfamethoxazole,I,467
Acinetobacter spp.,trimethoprim/sulfamethoxazole,R,9182
Acinetobacter spp.,trimethoprim/sulfamethoxazole,S,17063
Acinetobacter spp.,vancomycin,S,1
Aeromonas hydrophila,amikacin,I,123
Aeromonas hydrophila,amikacin,R,67
Aeromonas hydrophila,amikacin,S,8012
Aeromonas hydrophila,amoxicillin/clavulanic acid,I,664
Aeromonas hydrophila,amoxicillin/clavulanic acid,R,2452
Aeromonas hydrophila,amoxicillin/clavulanic acid,S,656
Aeromonas hydrophila,ampicillin,I,3
Aeromonas hydrophila,ampicillin,R,361
Aeromonas hydrophila,ampicillin,S,11
Aeromonas hydrophila,ampicillin/sulbactam,I,11
Aeromonas hydrophila,ampicillin/sulbactam,R,644
Aeromonas hydrophila,ampicillin/sulbactam,S,40
Aeromonas hydrophila,cefazolin,I,9
Aeromonas hydrophila,cefazolin,R,117
Aeromonas hydrophila,cefazolin,S,12
Aeromonas hydrophila,cefepime,I,105
Aeromonas hydrophila,cefepime,R,182
Aeromonas hydrophila,cefepime,S,3568
Aeromonas hydrophila,cefoperazone/sulbactam,I,12
Aeromonas hydrophila,cefoperazone/sulbactam,R,33
Aeromonas hydrophila,cefoperazone/sulbactam,S,335
Aeromonas hydrophila,cefotaxime,I,213
Aeromonas hydrophila,cefotaxime,R,923
Aeromonas hydrophila,cefotaxime,S,5822
Aeromonas hydrophila,cefoxitin,I,153
Aeromonas hydrophila,cefoxitin,R,2317
Aeromonas hydrophila,cefoxitin,S,890
Aeromonas hydrophila,ceftazidime,I,79
Aeromonas hydrophila,ceftazidime,R,875
Aeromonas hydrophila,ceftazidime,S,7188
Aeromonas hydrophila,ceftriaxone,I,214
Aeromonas hydrophila,ceftriaxone,R,1159
Aeromonas hydrophila,ceftriaxone,S,6263
Aeromonas hydrophila,cefuroxime,I,48
Aeromonas hydrophila,cefuroxime,R,319
Aeromonas hydrophila,cefuroxime,S,1673
Aeromonas hydrophila,chloramphenicol,I,20
Aeromonas hydrophila,chloramphenicol,R,12
Aeromonas hydrophila,chloramphenicol,S,594
Aeromonas hydrophila,ciprofloxacin,I,282
Aeromonas hydrophila,ciprofloxacin,R,480
Aeromonas hydrophila,ciprofloxacin,S,9060
Aeromonas hydrophila,colistin,R,4
Aeromonas hydrophila,colistin,S,24
Aeromonas hydrophila,ertapenem,I,268
Aeromonas hydrophila,ertapenem,R,487
Aeromonas hydrophila,ertapenem,S,3945
Aeromonas hydrophila,fosfomycin,S,27
Aeromonas hydrophila,gentamicin,I,156
Aeromonas hydrophila,gentamicin,R,392
Aeromonas hydrophila,gentamicin,S,7347
Aeromonas hydrophila,gentamicin high,S,1
Aeromonas hydrophila,imipenem,I,402
Aeromonas hydrophila,imipenem,R,1264
Aeromonas hydrophila,imipenem,S,4434
Aeromonas hydrophila,levofloxacin,I,24
Aeromonas hydrophila,levofloxacin,R,206
Aeromonas hydrophila,levofloxacin,S,4405
Aeromonas hydrophila,meropenem,I,74
Aeromonas hydrophila,meropenem,R,1172
Aeromonas hydrophila,meropenem,S,5980
Aeromonas hydrophila,nitrofurantoin,S,1
Aeromonas hydrophila,norfloxacin,I,1
Aeromonas hydrophila,norfloxacin,R,2
Aeromonas hydrophila,norfloxacin,S,74
Aeromonas hydrophila,piperacillin/tazobactam,I,264
Aeromonas hydrophila,piperacillin/tazobactam,R,1172
Aeromonas hydrophila,piperacillin/tazobactam,S,5756
Aeromonas hydrophila,tetracycline,I,97
Aeromonas hydrophila,tetracycline,R,327
Aeromonas hydrophila,tetracycline,S,1358
Aeromonas hydrophila,trimethoprim/sulfamethoxazole,I,113
Aeromonas hydrophila,trimethoprim/sulfamethoxazole,R,993
Aeromonas hydrophila,trimethoprim/sulfamethoxazole,S,8149
Burkholderia cepacia complex,amikacin,I,333
Burkholderia cepacia complex,amikacin,R,2846
Burkholderia cepacia complex,amikacin,S,794
Burkholderia cepacia complex,amoxicillin/clavulanic acid,R,2815
Burkholderia cepacia complex,ampicillin,R,2958
Burkholderia cepacia complex,ampicillin/sulbactam,R,1583
Burkholderia cepacia complex,cefazolin,R,342
Burkholderia cepacia complex,cefepime,I,76
Burkholderia cepacia complex,cefepime,R,1080
Burkholderia cepacia complex,cefepime,S,1435
Burkholderia cepacia complex,cefoperazone/sulbactam,I,74
Burkholderia cepacia complex,cefoperazone/sulbactam,R,37
Burkholderia cepacia complex,cefoperazone/sulbactam,S,49
Burkholderia cepacia complex,cefotaxime,I,1264
Burkholderia cepacia complex,cefotaxime,R,930
Burkholderia cepacia complex,cefotaxime,S,772
Burkholderia cepacia complex,cefoxitin,R,2778
Burkholderia cepacia complex,ceftazidime,I,204
Burkholderia cepacia complex,ceftazidime,R,709
Burkholderia cepacia complex,ceftazidime,S,3512
Burkholderia cepacia complex,ceftriaxone,I,1004
Burkholderia cepacia complex,ceftriaxone,R,984
Burkholderia cepacia complex,ceftriaxone,S,1148
Burkholderia cepacia complex,cefuroxime,R,1435
Burkholderia cepacia complex,chloramphenicol,I,2
Burkholderia cepacia complex,chloramphenicol,R,2
Burkholderia cepacia complex,chloramphenicol,S,107
Burkholderia cepacia complex,ciprofloxacin,I,583
Burkholderia cepacia complex,ciprofloxacin,R,845
Burkholderia cepacia complex,ciprofloxacin,S,1798
Burkholderia cepacia complex,clindamycin,R,17
Burkholderia cepacia complex,colistin,R,2630
Burkholderia cepacia complex,ertapenem,R,2713
Burkholderia cepacia complex,erythromycin,R,94
Burkholderia cepacia complex,fosfomycin,R,271
Burkholderia cepacia complex,gentamicin,I,53
Burkholderia cepacia complex,gentamicin,R,2894
Burkholderia cepacia complex,gentamicin,S,328
Burkholderia cepacia complex,imipenem,I,1146
Burkholderia cepacia complex,imipenem,R,1697
Burkholderia cepacia complex,imipenem,S,922
Burkholderia cepacia complex,levofloxacin,I,349
Burkholderia cepacia complex,levofloxacin,R,445
Burkholderia cepacia complex,levofloxacin,S,2121
Burkholderia cepacia complex,meropenem,I,338
Burkholderia cepacia complex,meropenem,R,736
Burkholderia cepacia complex,meropenem,S,3213
Burkholderia cepacia complex,norfloxacin,I,5
Burkholderia cepacia complex,norfloxacin,R,29
Burkholderia cepacia complex,norfloxacin,S,23
Burkholderia cepacia complex,penicillin,R,94
Burkholderia cepacia complex,piperacillin/tazobactam,I,37
Burkholderia cepacia complex,piperacillin/tazobactam,R,1076
Burkholderia cepacia complex,piperacillin/tazobactam,S,2405
Burkholderia cepacia complex,tetracycline,I,2
Burkholderia cepacia complex,tetracycline,R,36
Burkholderia cepacia complex,tetracycline,S,92
Burkholderia cepacia complex,trimethoprim/sulfamethoxazole,I,11
Burkholderia cepacia complex,trimethoprim/sulfamethoxazole,R,447
Burkholderia cepacia complex,trimethoprim/sulfamethoxazole,S,3743
Burkholderia cepacia complex,vancomycin,R,95
Burkholderia mallei,amikacin,I,1
Burkholderia mallei,amikacin,R,9
Burkholderia mallei,amikacin,S,38
Burkholderia mallei,amoxicillin/clavulanic acid,S,16
Burkholderia mallei,ampicillin,R,39
Burkholderia mallei,ampicillin,S,1
Burkholderia mallei,cefepime,R,6
Burkholderia mallei,cefepime,S,4
Burkholderia mallei,cefoperazone/sulbactam,S,1
Burkholderia mallei,cefotaxime,I,9
Burkholderia mallei,cefotaxime,R,28
Burkholderia mallei,cefotaxime,S,8
Burkholderia mallei,cefoxitin,R,39
Burkholderia mallei,cefoxitin,S,1
Burkholderia mallei,ceftazidime,R,20
Burkholderia mallei,ceftazidime,S,49
Burkholderia mallei,ceftriaxone,I,5
Burkholderia mallei,ceftriaxone,R,6
Burkholderia mallei,ceftriaxone,S,4
Burkholderia mallei,cefuroxime,R,39
Burkholderia mallei,ciprofloxacin,I,1
Burkholderia mallei,ciprofloxacin,R,23
Burkholderia mallei,ciprofloxacin,S,26
Burkholderia mallei,colistin,R,1
Burkholderia mallei,ertapenem,I,1
Burkholderia mallei,ertapenem,R,38
Burkholderia mallei,ertapenem,S,1
Burkholderia mallei,gentamicin,R,20
Burkholderia mallei,gentamicin,S,23
Burkholderia mallei,imipenem,R,17
Burkholderia mallei,imipenem,S,51
Burkholderia mallei,levofloxacin,R,4
Burkholderia mallei,levofloxacin,S,5
Burkholderia mallei,meropenem,I,1
Burkholderia mallei,meropenem,R,21
Burkholderia mallei,meropenem,S,27
Burkholderia mallei,norfloxacin,R,14
Burkholderia mallei,norfloxacin,S,3
Burkholderia mallei,piperacillin/tazobactam,I,5
Burkholderia mallei,piperacillin/tazobactam,R,18
Burkholderia mallei,piperacillin/tazobactam,S,26
Burkholderia mallei,trimethoprim/sulfamethoxazole,R,48
Burkholderia mallei,trimethoprim/sulfamethoxazole,S,14
Burkholderia pseudomallei,amikacin,I,1698
Burkholderia pseudomallei,amikacin,R,3575
Burkholderia pseudomallei,amikacin,S,457
Burkholderia pseudomallei,amoxicillin/clavulanic acid,I,129
Burkholderia pseudomallei,amoxicillin/clavulanic acid,R,273
Burkholderia pseudomallei,amoxicillin/clavulanic acid,S,7252
Burkholderia pseudomallei,ampicillin,I,12
Burkholderia pseudomallei,ampicillin,R,475
Burkholderia pseudomallei,ampicillin,S,3
Burkholderia pseudomallei,ampicillin/sulbactam,R,2
Burkholderia pseudomallei,ampicillin/sulbactam,S,9
Burkholderia pseudomallei,cefazolin,R,6
Burkholderia pseudomallei,cefepime,I,96
Burkholderia pseudomallei,cefepime,R,2098
Burkholderia pseudomallei,cefepime,S,728
Burkholderia pseudomallei,cefoperazone/sulbactam,I,58
Burkholderia pseudomallei,cefoperazone/sulbactam,R,6
Burkholderia pseudomallei,cefoperazone/sulbactam,S,956
Burkholderia pseudomallei,cefotaxime,I,1562
Burkholderia pseudomallei,cefotaxime,R,509
Burkholderia pseudomallei,cefotaxime,S,2500
Burkholderia pseudomallei,cefoxitin,R,177
Burkholderia pseudomallei,cefoxitin,S,2
Burkholderia pseudomallei,ceftazidime,I,105
Burkholderia pseudomallei,ceftazidime,R,258
Burkholderia pseudomallei,ceftazidime,S,8841
Burkholderia pseudomallei,ceftriaxone,I,2058
Burkholderia pseudomallei,ceftriaxone,R,387
