ORGANISM_WHO,Class,Antibiotic
Acinetobacter baumannii,Aminoglycosides,Amikacin
Acinetobacter baumannii,Aminoglycosides,Gentamicin
Acinetobacter baumannii,Carbapenems,Doripenem
Acinetobacter baumannii,Carbapenems,Ertapenem
Acinetobacter baumannii,Carbapenems,Imipenem
Acinetobacter baumannii,Carbapenems,Meropenem
Acinetobacter baumannii,Cephalosporins,Cefepime
Acinetobacter baumannii,Cephalosporins,Cefotaxime
Acinetobacter baumannii,Cephalosporins,Ceftazidime
Acinetobacter baumannii,Cephalosporins,Ceftriaxone
Acinetobacter baumannii,Fluoroquinolones,Ciprofloxacin
Acinetobacter baumannii,Fluoroquinolones,Levofloxacin
Acinetobacter baumannii,Folate pathway antagonists,Trimethoprim/Sulfamethoxazole
Acinetobacter baumannii,β-lactam combination agents,Ampicillin/Sulbactam
Acinetobacter baumannii,β-lactam combination agents,Piperacillin/Tazobactam
Citrobacter freundii,Aminoglycosides,Amikacin
Citrobacter freundii,Aminoglycosides,Gentamicin
Citrobacter freundii,Carbapenems,Doripenem
Citrobacter freundii,Carbapenems,Ertapenem
Citrobacter freundii,Carbapenems,Imipenem
Citrobacter freundii,Carbapenems,Meropenem
Citrobacter freundii,Cephalosporins,Cefepime
Citrobacter freundii,Cephalosporins,Cefotaxime
Citrobacter freundii,Cephalosporins,Cefoxitin
Citrobacter freundii,Cephalosporins,Ceftazidime
Citrobacter freundii,Cephalosporins,Ceftriaxone
Citrobacter freundii,Cephalosporins,Cefuroxime
Citrobacter freundii,Fluoroquinolones,Ciprofloxacin
Citrobacter freundii,Fluoroquinolones,Levofloxacin
Citrobacter freundii,Folate pathway antagonists,Trimethoprim/Sulfamethoxazole
Citrobacter freundii,Penicillins ,Ampicillin
Citrobacter freundii,β-lactam combination agents,Amoxicillin/Clavulanic acid
Citrobacter freundii,β-lactam combination agents,Ampicillin/Sulbactam
Citrobacter freundii,β-lactam combination agents,Ceftazidime/Avibactam
Citrobacter freundii,β-lactam combination agents,Ceftolozane/Tazobactam
