organism_full,std_status,std_tested_list,std_missing_list,count
Acinetobacter baumannii,Complete,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",,77014.0
Acinetobacter baumannii,Missing 1,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents",Lipopeptides,175516.0
Acinetobacter baumannii,Missing 1,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",Folate pathway antagonists,12520.0
Acinetobacter baumannii,Missing 1,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",Î²-lactam combination agents,2167.0
Acinetobacter baumannii,Missing 1,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",Fluoroquinolones,681.0
Acinetobacter baumannii,Missing 1,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",Cephalosporins,279.0
Acinetobacter baumannii,Missing 1,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",Aminoglycosides,159.0
Acinetobacter baumannii,Missing 1,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",Carbapenems,76.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Î²-lactam combination agents","Folate pathway antagonists, Lipopeptides",51272.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists","Lipopeptides, Î²-lactam combination agents",24241.0
Acinetobacter baumannii,Missing 2,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Folate pathway antagonists",13816.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Î²-lactam combination agents","Fluoroquinolones, Lipopeptides",5372.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Cephalosporins, Lipopeptides",1554.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Carbapenems, Lipopeptides",1213.0
Acinetobacter baumannii,Missing 2,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Lipopeptides",1019.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Carbapenems, Fluoroquinolones",816.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides","Folate pathway antagonists, Î²-lactam combination agents",805.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Cephalosporins, Folate pathway antagonists",255.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides","Fluoroquinolones, Î²-lactam combination agents",205.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Î²-lactam combination agents","Fluoroquinolones, Folate pathway antagonists",187.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Carbapenems, Folate pathway antagonists",54.0
Acinetobacter baumannii,Missing 2,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides","Aminoglycosides, Î²-lactam combination agents",37.0
Acinetobacter baumannii,Missing 2,"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Fluoroquinolones",5.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Cephalosporins, Fluoroquinolones",4.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides","Carbapenems, Î²-lactam combination agents",4.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides","Cephalosporins, Î²-lactam combination agents",2.0
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Carbapenems, Cephalosporins",1.0
Acinetobacter baumannii,Missing 2,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Carbapenems",1.0
Acinetobacter baumannii,Missing 3,"Carbapenems, Cephalosporins, Fluoroquinolones, Î²-lactam combination agents","Aminoglycosides, Folate pathway antagonists, Lipopeptides",16371.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones","Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents",5490.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Î²-lactam combination agents","Fluoroquinolones, Folate pathway antagonists, Lipopeptides",3580.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists","Fluoroquinolones, Lipopeptides, Î²-lactam combination agents",1316.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Î²-lactam combination agents","Carbapenems, Folate pathway antagonists, Lipopeptides",976.0
Acinetobacter baumannii,Missing 3,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides","Aminoglycosides, Folate pathway antagonists, Î²-lactam combination agents",863.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Carbapenems, Fluoroquinolones, Î²-lactam combination agents","Cephalosporins, Folate pathway antagonists, Lipopeptides",740.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Î²-lactam combination agents","Carbapenems, Fluoroquinolones, Lipopeptides",611.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Î²-lactam combination agents","Cephalosporins, Fluoroquinolones, Lipopeptides",505.0
Acinetobacter baumannii,Missing 3,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Lipopeptides",471.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists","Carbapenems, Lipopeptides, Î²-lactam combination agents",409.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists","Cephalosporins, Lipopeptides, Î²-lactam combination agents",388.0
Acinetobacter baumannii,Missing 3,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides","Aminoglycosides, Cephalosporins, Î²-lactam combination agents",357.0
Acinetobacter baumannii,Missing 3,"Carbapenems, Cephalosporins, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Fluoroquinolones, Lipopeptides",194.0
Acinetobacter baumannii,Missing 3,"Carbapenems, Cephalosporins, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Fluoroquinolones, Folate pathway antagonists",168.0
Acinetobacter baumannii,Missing 3,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists","Aminoglycosides, Lipopeptides, Î²-lactam combination agents",65.0
Acinetobacter baumannii,Missing 3,"Cephalosporins, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Folate pathway antagonists",61.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Cephalosporins, Lipopeptides, Î²-lactam combination agents","Carbapenems, Fluoroquinolones, Folate pathway antagonists",32.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides","Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents",29.0
Acinetobacter baumannii,Missing 3,"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides","Aminoglycosides, Fluoroquinolones, Î²-lactam combination agents",29.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Folate pathway antagonists, Lipopeptides, Î²-lactam combination agents","Carbapenems, Cephalosporins, Fluoroquinolones",19.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides","Carbapenems, Fluoroquinolones, Î²-lactam combination agents",14.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides","Carbapenems, Folate pathway antagonists, Î²-lactam combination agents",11.0
Acinetobacter baumannii,Missing 3,"Carbapenems, Fluoroquinolones, Lipopeptides, Î²-lactam combination agents","Aminoglycosides, Cephalosporins, Folate pathway antagonists",11.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Carbapenems, Cephalosporins, Lipopeptides",8.0
Acinetobacter baumannii,Missing 3,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Î²-lactam combination agents","Aminoglycosides, Carbapenems, Lipopeptides",7.0
Acinetobacter baumannii,Missing 3,"Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides","Cephalosporins, Folate pathway antagonists, Î²-lactam combination agents",6.0
