organism_full,std_status,std_tested_list,std_missing_list,count
Acinetobacter baumannii,Complete,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",,77014
Acinetobacter baumannii,Missing 1,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",Lipopeptides,175516
Acinetobacter baumannii,Missing 1,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, β-lactam combination agents",Folate pathway antagonists,12520
Acinetobacter baumannii,Missing 1,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",β-lactam combination agents,2167
Acinetobacter baumannii,Missing 1,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",Fluoroquinolones,681
Acinetobacter baumannii,Missing 1,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",Cephalosporins,279
Acinetobacter baumannii,Missing 1,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",Aminoglycosides,159
Acinetobacter baumannii,Missing 1,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",Carbapenems,76
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents","Folate pathway antagonists, Lipopeptides",51272
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists","Lipopeptides, β-lactam combination agents",24241
Acinetobacter baumannii,Missing 2,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, β-lactam combination agents","Aminoglycosides, Folate pathway antagonists",13816
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, β-lactam combination agents","Fluoroquinolones, Lipopeptides",5372
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents","Cephalosporins, Lipopeptides",1554
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents","Carbapenems, Lipopeptides",1213
Acinetobacter baumannii,Missing 2,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents","Aminoglycosides, Lipopeptides",1019
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides, β-lactam combination agents","Carbapenems, Fluoroquinolones",816
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides","Folate pathway antagonists, β-lactam combination agents",805
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides, β-lactam combination agents","Cephalosporins, Folate pathway antagonists",255
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides","Fluoroquinolones, β-lactam combination agents",205
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, β-lactam combination agents","Fluoroquinolones, Folate pathway antagonists",187
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides, β-lactam combination agents","Carbapenems, Folate pathway antagonists",54
Acinetobacter baumannii,Missing 2,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides","Aminoglycosides, β-lactam combination agents",37
Acinetobacter baumannii,Missing 2,"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, β-lactam combination agents","Aminoglycosides, Fluoroquinolones",5
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides, β-lactam combination agents","Cephalosporins, Fluoroquinolones",4
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides","Carbapenems, β-lactam combination agents",4
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides","Cephalosporins, β-lactam combination agents",2
Acinetobacter baumannii,Missing 2,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents","Carbapenems, Cephalosporins",1
Acinetobacter baumannii,Missing 2,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents","Aminoglycosides, Carbapenems",1
Acinetobacter baumannii,Missing 3,"Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents","Aminoglycosides, Folate pathway antagonists, Lipopeptides",16371
