organism_full,list_tested_classes,count_tested_classes,isolate_count
Acinetobacter baumannii,Lipopeptides,1,1131
Acinetobacter baumannii,β-lactam combination agents,1,677
Acinetobacter baumannii,Cephalosporins,1,599
Acinetobacter baumannii,Fluoroquinolones,1,224
Acinetobacter baumannii,Aminoglycosides,1,211
Acinetobacter baumannii,Folate pathway antagonists,1,81
Acinetobacter baumannii,Carbapenems,1,74
Acinetobacter baumannii,Penicillins,1,3
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones",2,796
Acinetobacter baumannii,"Carbapenems, Cephalosporins",2,609
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones",2,591
Acinetobacter baumannii,"Cephalosporins, β-lactam combination agents",2,248
Acinetobacter baumannii,"Aminoglycosides, Folate pathway antagonists",2,217
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins",2,216
Acinetobacter baumannii,"Aminoglycosides, β-lactam combination agents",2,132
Acinetobacter baumannii,"Aminoglycosides, Carbapenems",2,91
Acinetobacter baumannii,"Penicillins, β-lactam combination agents",2,65
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones",2,49
Acinetobacter baumannii,"Fluoroquinolones, β-lactam combination agents",2,27
Acinetobacter baumannii,"Carbapenems, Lipopeptides",2,15
Acinetobacter baumannii,"Carbapenems, β-lactam combination agents",2,7
Acinetobacter baumannii,"Aminoglycosides, Lipopeptides",2,6
Acinetobacter baumannii,"Cephalosporins, Penicillins",2,6
Acinetobacter baumannii,"Lipopeptides, β-lactam combination agents",2,4
Acinetobacter baumannii,"Carbapenems, Folate pathway antagonists",2,2
Acinetobacter baumannii,"Cephalosporins, Folate pathway antagonists",2,2
Acinetobacter baumannii,"Fluoroquinolones, Folate pathway antagonists",2,2
Acinetobacter baumannii,"Folate pathway antagonists, Lipopeptides",2,2
Acinetobacter baumannii,"Folate pathway antagonists, β-lactam combination agents",2,2
Acinetobacter baumannii,"Cephalosporins, Lipopeptides",2,1
Acinetobacter baumannii,"Fluoroquinolones, Lipopeptides",2,1
Acinetobacter baumannii,"Glycopeptides, Lipopeptides",2,1
Acinetobacter baumannii,"Tetracycline, Tetracyclines",2,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones",3,1094
Acinetobacter baumannii,"Carbapenems, Folate pathway antagonists, β-lactam combination agents",3,592
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins",3,555
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, β-lactam combination agents",3,529
Acinetobacter baumannii,"Carbapenems, Cephalosporins, β-lactam combination agents",3,421
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones",3,327
Acinetobacter baumannii,"Cephalosporins, Penicillins, β-lactam combination agents",3,209
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, β-lactam combination agents",3,154
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Folate pathway antagonists",3,142
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones",3,133
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones, β-lactam combination agents",3,118
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, β-lactam combination agents",3,117
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, β-lactam combination agents",3,103
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Lipopeptides",3,47
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists",3,47
Acinetobacter baumannii,"Aminoglycosides, Folate pathway antagonists, β-lactam combination agents",3,36
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Lipopeptides",3,27
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Lipopeptides",3,26
Acinetobacter baumannii,"Folate pathway antagonists, Tetracycline, Tetracyclines",3,25
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Folate pathway antagonists",3,23
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Folate pathway antagonists",3,11
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Folate pathway antagonists",3,9
Acinetobacter baumannii,"Aminoglycosides, Folate pathway antagonists, Lipopeptides",3,8
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, Lipopeptides",3,4
Acinetobacter baumannii,"Cephalosporins, Lipopeptides, β-lactam combination agents",3,4
Acinetobacter baumannii,"Carbapenems, Folate pathway antagonists, Lipopeptides",3,3
Acinetobacter baumannii,"Fluoroquinolones, Tetracycline, Tetracyclines",3,2
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Lipopeptides",3,1
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Penicillins",3,1
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists",3,1
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones, Lipopeptides",3,1
Acinetobacter baumannii,"Aminoglycosides, Lipopeptides, β-lactam combination agents",3,1
Acinetobacter baumannii,"Aminoglycosides, Penicillins, β-lactam combination agents",3,1
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Glycopeptides",3,1
Acinetobacter baumannii,"Carbapenems, Lipopeptides, β-lactam combination agents",3,1
Acinetobacter baumannii,"Carbapenems, Tetracycline, Tetracyclines",3,1
Acinetobacter baumannii,"Cephalosporins, Folate pathway antagonists, Lipopeptides",3,1
Acinetobacter baumannii,"Cephalosporins, Folate pathway antagonists, β-lactam combination agents",3,1
Acinetobacter baumannii,"Fluoroquinolones, Lipopeptides, β-lactam combination agents",3,1
Acinetobacter baumannii,"Fluoroquinolones, Penicillins, β-lactam combination agents",3,1
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents",4,16299
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones",4,4400
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, β-lactam combination agents",4,3243
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists",4,1268
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, β-lactam combination agents",4,966
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides",4,832
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, β-lactam combination agents",4,685
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, β-lactam combination agents",4,605
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Folate pathway antagonists, β-lactam combination agents",4,505
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",4,442
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",4,313
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists",4,185
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Folate pathway antagonists, β-lactam combination agents",4,183
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Lipopeptides, β-lactam combination agents",4,168
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, Lipopeptides, β-lactam combination agents",4,61
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",4,33
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Lipopeptides, β-lactam combination agents",4,32
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides",4,29
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides",4,28
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Penicillins, β-lactam combination agents",4,26
