ORGANISM_WHO,Class,Antibiotic,Unnamed: 3,Unnamed: 4,Unnamed: 5
Acinetobacter baumannii,Aminoglycosides,Amikacin,,,
Escherichia coli/ Klebsiella pneumoniae,Aminoglycosides,Amikacin,,,
Pseudomonas aeruginosa,Aminoglycosides,Amikacin,,,
Streptococcus pneumoniae,Penicillins ,Amoxicillin,,,
Streptococcus pneumoniae,Penicillins ,Amoxicillin/Clavulanic acid,,,
Escherichia coli/ Klebsiella pneumoniae,β-lactam combination agents,Amoxicillin/Clavulanic acid,,,
Enterococcus faecalis/ faecium,Penicillins ,Ampicillin,,,
Escherichia coli/ Klebsiella pneumoniae,Penicillins ,Ampicillin,,,
Haemophilus influenzae,Penicillins ,Ampicillin,,,
Acinetobacter baumannii,β-lactam combination agents,Ampicillin/Sulbactam,,,
Escherichia coli/ Klebsiella pneumoniae,β-lactam combination agents,Ampicillin/Sulbactam,,,
Haemophilus influenzae,β-lactam combination agents,Ampicillin/Sulbactam,,,
Streptococcus pneumoniae,Macrolides,Azithromycin,,,
Acinetobacter baumannii,Cephalosporins,Cefepime,,,
Escherichia coli/ Klebsiella pneumoniae,Cephalosporins,Cefepime,,,
Pseudomonas aeruginosa,Cephalosporins,Cefepime,,,
Streptococcus pneumoniae,Cephalosporins,Cefepime,,,
Acinetobacter baumannii,Cephalosporins,Cefotaxime,,,
Escherichia coli/ Klebsiella pneumoniae,Cephalosporins,Cefotaxime,,,
Haemophilus influenzae,Cephalosporins,Cefotaxime,,,
Streptococcus pneumoniae,Cephalosporins,Cefotaxime,,,
Escherichia coli/ Klebsiella pneumoniae,Cephalosporins,Cefoxitin,,,
Acinetobacter baumannii,Cephalosporins,Ceftazidime,,,
Escherichia coli/ Klebsiella pneumoniae,Cephalosporins,Ceftazidime,,,
Haemophilus influenzae,Cephalosporins,Ceftazidime,,,
Pseudomonas aeruginosa,Cephalosporins,Ceftazidime,,,
Escherichia coli/ Klebsiella pneumoniae,β-lactam combination agents,Ceftazidime/Avibactam,,,
Escherichia coli/ Klebsiella pneumoniae,β-lactam combination agents,Ceftolozane/Tazobactam,,,
Acinetobacter baumannii,Cephalosporins,Ceftriaxone,,,
Escherichia coli/ Klebsiella pneumoniae,Cephalosporins,Ceftriaxone,,,
Haemophilus influenzae,Cephalosporins,Ceftriaxone,,,
Streptococcus pneumoniae,Cephalosporins,Ceftriaxone,,,
Escherichia coli/ Klebsiella pneumoniae,Cephalosporins,Cefuroxime,,,
Haemophilus influenzae,Cephalosporins,Cefuroxime,,,
Streptococcus pneumoniae,Cephalosporins,Cefuroxime,,,
Streptococcus pneumoniae,Phenicol,Chloramphenicol,,,
Acinetobacter baumannii,Fluoroquinolones,Ciprofloxacin,,,
Enterococcus faecalis/ faecium,Fluoroquinolones,Ciprofloxacin,,,
Escherichia coli/ Klebsiella pneumoniae,Fluoroquinolones,Ciprofloxacin,,,
Haemophilus influenzae,Fluoroquinolones,Ciprofloxacin,,,
Pseudomonas aeruginosa,Fluoroquinolones,Ciprofloxacin,,,
Staphylococcus aureus,Fluoroquinolones,Ciprofloxacin,,,
Streptococcus pneumoniae,Fluoroquinolones,Ciprofloxacin,,,
Staphylococcus aureus,Lincosamides,Clindamycin,,,
Streptococcus pneumoniae,Lincosamides,Clindamycin,,,
Acinetobacter baumannii,Lipopeptides,Colistin,,,
Escherichia coli/ Klebsiella pneumoniae,Lipopeptides,Colistin,,,
Pseudomonas aeruginosa,Lipopeptides,Colistin,,,
Acinetobacter baumannii,Carbapenems,Doripenem,,,
Escherichia coli/ Klebsiella pneumoniae,Carbapenems,Doripenem,,,
Pseudomonas aeruginosa,Carbapenems,Doripenem,,,
Acinetobacter baumannii,Carbapenems,Ertapenem,,,
Escherichia coli/ Klebsiella pneumoniae,Carbapenems,Ertapenem,,,
Enterococcus faecalis/ faecium,Macrolides,Erythromycin,,,
Staphylococcus aureus,Macrolides,Erythromycin,,,
Streptococcus pneumoniae,Macrolides,Erythromycin,,,
Acinetobacter baumannii,Aminoglycosides,Gentamicin,,,
Escherichia coli/ Klebsiella pneumoniae,Aminoglycosides,Gentamicin,,,
Pseudomonas aeruginosa,Aminoglycosides,Gentamicin,,,
Staphylococcus aureus,Aminoglycosides,Gentamicin,,,
Acinetobacter baumannii,Carbapenems,Imipenem,,,
Escherichia coli/ Klebsiella pneumoniae,Carbapenems,Imipenem,,,
Haemophilus influenzae,Carbapenems,Imipenem,,,
Pseudomonas aeruginosa,Carbapenems,Imipenem,,,
Acinetobacter baumannii,Fluoroquinolones,Levofloxacin,,,
Enterococcus faecalis/ faecium,Fluoroquinolones,Levofloxacin,,,
Escherichia coli/ Klebsiella pneumoniae,Fluoroquinolones,Levofloxacin,,,
Haemophilus influenzae,Fluoroquinolones,Levofloxacin,,,
Pseudomonas aeruginosa,Fluoroquinolones,Levofloxacin,,,
Staphylococcus aureus,Fluoroquinolones,Levofloxacin,,,
Streptococcus pneumoniae,Fluoroquinolones,Levofloxacin,,,
Acinetobacter baumannii,Carbapenems,Meropenem,,,
Escherichia coli/ Klebsiella pneumoniae,Carbapenems,Meropenem,,,
Haemophilus influenzae,Carbapenems,Meropenem,,,
Pseudomonas aeruginosa,Carbapenems,Meropenem,,,
Staphylococcus aureus,Fluoroquinolones,Moxifloxacin,,,
Streptococcus pneumoniae,Fluoroquinolones,Moxifloxacin,,,
Staphylococcus aureus,Penicillins ,Oxacillin,,,
Enterococcus faecalis/ faecium,Penicillins ,Penicillin ,,,
Streptococcus pneumoniae,Penicillins ,Penicillin ,,,
Acinetobacter baumannii,β-lactam combination agents,Piperacillin/Tazobactam,,,
Escherichia coli/ Klebsiella pneumoniae,β-lactam combination agents,Piperacillin/Tazobactam,,,
Haemophilus influenzae,β-lactam combination agents,Piperacillin/Tazobactam,,,
Pseudomonas aeruginosa,β-lactam combination agents,Piperacillin/Tazobactam,,,
Staphylococcus aureus,Ansamycins,Rifampin,,,
Staphylococcus aureus,Lipoglycopeptides,Teicoplanin,,,
Staphylococcus aureus,Tetracycline,Tetracycline,,,
Streptococcus pneumoniae,Tetracycline,Tetracycline,,,
Enterococcus faecalis/ faecium,Tetracyclines,Tetracycline,,,
Acinetobacter baumannii,Folate pathway antagonists,Trimethoprim/Sulfamethoxazole,,,
Escherichia coli/ Klebsiella pneumoniae,Folate pathway antagonists,Trimethoprim/Sulfamethoxazole,,,
Haemophilus influenzae,Folate pathway antagonists,Trimethoprim/Sulfamethoxazole,,,
Staphylococcus aureus,Folate pathway antagonists,Trimethoprim/Sulfamethoxazole,,,
Streptococcus pneumoniae,Folate pathway antagonists,Trimethoprim/Sulfamethoxazole,,,
Enterococcus faecalis/ faecium,Glycopeptides,Vancomycin,,,
Staphylococcus aureus,Glycopeptides,Vancomycin,,,
Streptococcus pneumoniae,Glycopeptides,Vancomycin,,,
