MDR_id,n_base_classes,combination_size,std_tested_list
M3-001,5,3,"Aminoglycosides, Carbapenems, Cephalosporins"
M3-002,5,3,"Aminoglycosides, Carbapenems, Fluoroquinolones"
M3-003,6,3,"Aminoglycosides, Carbapenems, Folate pathway antagonists"
M3-004,7,3,"Aminoglycosides, Carbapenems, Penicillins"
M3-005,5,3,"Aminoglycosides, Carbapenems, β-lactam combination agents"
M3-006,5,3,"Aminoglycosides, Cephalosporins, Fluoroquinolones"
M3-007,6,3,"Aminoglycosides, Cephalosporins, Folate pathway antagonists"
M3-008,7,3,"Aminoglycosides, Cephalosporins, Penicillins"
M3-009,5,3,"Aminoglycosides, Cephalosporins, β-lactam combination agents"
M3-010,6,3,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists"
M3-011,7,3,"Aminoglycosides, Fluoroquinolones, Penicillins"
M3-012,5,3,"Aminoglycosides, Fluoroquinolones, β-lactam combination agents"
M3-013,7,3,"Aminoglycosides, Folate pathway antagonists, Penicillins"
M3-014,6,3,"Aminoglycosides, Folate pathway antagonists, β-lactam combination agents"
M3-015,7,3,"Aminoglycosides, Penicillins, β-lactam combination agents"
M3-016,5,3,"Carbapenems, Cephalosporins, Fluoroquinolones"
M3-017,6,3,"Carbapenems, Cephalosporins, Folate pathway antagonists"
M3-018,7,3,"Carbapenems, Cephalosporins, Penicillins"
M3-019,5,3,"Carbapenems, Cephalosporins, β-lactam combination agents"
M3-020,6,3,"Carbapenems, Fluoroquinolones, Folate pathway antagonists"
M3-021,7,3,"Carbapenems, Fluoroquinolones, Penicillins"
M3-022,5,3,"Carbapenems, Fluoroquinolones, β-lactam combination agents"
M3-023,7,3,"Carbapenems, Folate pathway antagonists, Penicillins"
M3-024,6,3,"Carbapenems, Folate pathway antagonists, β-lactam combination agents"
M3-025,7,3,"Carbapenems, Penicillins, β-lactam combination agents"
M3-026,6,3,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists"
M3-027,7,3,"Cephalosporins, Fluoroquinolones, Penicillins"
M3-028,5,3,"Cephalosporins, Fluoroquinolones, β-lactam combination agents"
M3-029,7,3,"Cephalosporins, Folate pathway antagonists, Penicillins"
M3-030,6,3,"Cephalosporins, Folate pathway antagonists, β-lactam combination agents"
M3-031,7,3,"Cephalosporins, Penicillins, β-lactam combination agents"
M3-032,7,3,"Fluoroquinolones, Folate pathway antagonists, Penicillins"
M3-033,6,3,"Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents"
M3-034,5,3,"Fluoroquinolones, Macrolides, Glycopeptides"
M3-035,5,3,"Fluoroquinolones, Macrolides, Tetracyclines"
M3-036,5,3,"Fluoroquinolones, Penicillins, Glycopeptides"
M3-037,5,3,"Fluoroquinolones, Penicillins, Macrolides"
M3-038,5,3,"Fluoroquinolones, Penicillins, Tetracyclines"
M3-039,7,3,"Fluoroquinolones, Penicillins, β-lactam combination agents"
M3-040,5,3,"Fluoroquinolones, Tetracyclines, Glycopeptides"
M3-041,7,3,"Folate pathway antagonists, Penicillins, β-lactam combination agents"
M3-042,5,3,"Macrolides, Tetracyclines, Glycopeptides"
M3-043,5,3,"Penicillins, Macrolides, Glycopeptides"
M3-044,5,3,"Penicillins, Macrolides, Tetracyclines"
M3-045,5,3,"Penicillins, Tetracyclines, Glycopeptides"
M4-001,5,4,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones"
M4-002,6,4,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists"
M4-003,7,4,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins"
M4-004,5,4,"Aminoglycosides, Carbapenems, Cephalosporins, β-lactam combination agents"
M4-005,6,4,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists"
M4-006,7,4,"Aminoglycosides, Carbapenems, Fluoroquinolones, Penicillins"
M4-007,5,4,"Aminoglycosides, Carbapenems, Fluoroquinolones, β-lactam combination agents"
M4-008,7,4,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Penicillins"
M4-009,6,4,"Aminoglycosides, Carbapenems, Folate pathway antagonists, β-lactam combination agents"
M4-010,7,4,"Aminoglycosides, Carbapenems, Penicillins, β-lactam combination agents"
M4-011,6,4,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists"
M4-012,7,4,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins"
M4-013,5,4,"Aminoglycosides, Cephalosporins, Fluoroquinolones, β-lactam combination agents"
M4-014,7,4,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins"
M4-015,6,4,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, β-lactam combination agents"
M4-016,7,4,"Aminoglycosides, Cephalosporins, Penicillins, β-lactam combination agents"
M4-017,7,4,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins"
M4-018,6,4,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents"
M4-019,7,4,"Aminoglycosides, Fluoroquinolones, Penicillins, β-lactam combination agents"
M4-020,7,4,"Aminoglycosides, Folate pathway antagonists, Penicillins, β-lactam combination agents"
M4-021,6,4,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists"
M4-022,7,4,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins"
M4-023,5,4,"Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents"
M4-024,7,4,"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins"
M4-025,6,4,"Carbapenems, Cephalosporins, Folate pathway antagonists, β-lactam combination agents"
M4-026,7,4,"Carbapenems, Cephalosporins, Penicillins, β-lactam combination agents"
M4-027,7,4,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins"
M4-028,6,4,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents"
M4-029,7,4,"Carbapenems, Fluoroquinolones, Penicillins, β-lactam combination agents"
M4-030,7,4,"Carbapenems, Folate pathway antagonists, Penicillins, β-lactam combination agents"
M4-031,7,4,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins"
M4-032,6,4,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents"
M4-033,7,4,"Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents"
M4-034,7,4,"Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents"
M4-035,7,4,"Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents"
M4-036,5,4,"Fluoroquinolones, Macrolides, Tetracyclines, Glycopeptides"
M4-037,5,4,"Fluoroquinolones, Penicillins, Macrolides, Glycopeptides"
M4-038,5,4,"Fluoroquinolones, Penicillins, Macrolides, Tetracyclines"
M4-039,5,4,"Fluoroquinolones, Penicillins, Tetracyclines, Glycopeptides"
M4-040,5,4,"Penicillins, Macrolides, Tetracyclines, Glycopeptides"
M5-001,6,5,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists"
M5-002,7,5,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins"
M5-003,5,5,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents"
M5-004,7,5,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins"
M5-005,6,5,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, β-lactam combination agents"
M5-006,7,5,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins, β-lactam combination agents"
M5-007,7,5,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins"
M5-008,6,5,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents"
M5-009,7,5,"Aminoglycosides, Carbapenems, Fluoroquinolones, Penicillins, β-lactam combination agents"
M5-010,7,5,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Penicillins, β-lactam combination agents"
M5-011,7,5,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins"
M5-012,6,5,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents"
M5-013,7,5,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents"
M5-014,7,5,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents"
M5-015,7,5,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents"
M5-016,7,5,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins"
M5-017,6,5,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents"
M5-018,7,5,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents"
M5-019,7,5,"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents"
M5-020,7,5,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents"
M5-021,7,5,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents"
M5-022,5,5,"Fluoroquinolones, Penicillins, Macrolides, Tetracyclines, Glycopeptides"
M6-001,7,6,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins"
M6-002,6,6,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents"
M6-003,7,6,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents"
M6-004,7,6,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents"
M6-005,7,6,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents"
