x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2015,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",1922,21879,8.78,M5-011
2015,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",1662,21879,7.6,M6-006
2015,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",1547,21879,7.07,M4-031
2015,Escherichia coli,"Fluoroquinolones, Folate pathway antagonists, Penicillins",1073,21879,4.9,M3-032
2015,Escherichia coli,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",763,21879,3.49,M5-021
2015,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins",760,21879,3.47,M4-012
2015,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins",724,21879,3.31,M4-017
2015,Escherichia coli,"Cephalosporins, Fluoroquinolones, Penicillins",721,21879,3.3,M3-027
2015,Escherichia coli,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins",506,21879,2.31,M4-014
2015,Escherichia coli,"Aminoglycosides, Folate pathway antagonists, Penicillins",506,21879,2.31,M3-013
2015,Escherichia coli,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",437,21879,2.0,M5-013
2015,Escherichia coli,"Cephalosporins, Folate pathway antagonists, Penicillins",371,21879,1.7,M3-029
2015,Escherichia coli,"Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",350,21879,1.6,M4-033
2015,Escherichia coli,"Aminoglycosides, Cephalosporins, Penicillins",300,21879,1.37,M3-008
2015,Escherichia coli,"Folate pathway antagonists, Penicillins, β-lactam combination agents",295,21879,1.35,M3-041
2015,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Penicillins",285,21879,1.3,M3-011
2015,Escherichia coli,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",211,21879,0.96,M5-014
2015,Escherichia coli,"Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",146,21879,0.67,M4-034
2015,Escherichia coli,"Cephalosporins, Penicillins, β-lactam combination agents",142,21879,0.65,M3-031
2015,Escherichia coli,"Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",136,21879,0.62,M4-035
2015,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",106,21879,0.48,M7-001
2015,Escherichia coli,"Fluoroquinolones, Penicillins, β-lactam combination agents",101,21879,0.46,M3-039
2015,Escherichia coli,"Aminoglycosides, Cephalosporins, Penicillins, β-lactam combination agents",100,21879,0.46,M4-016
2015,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",92,21879,0.42,M5-015
2015,Escherichia coli,"Aminoglycosides, Folate pathway antagonists, Penicillins, β-lactam combination agents",49,21879,0.22,M4-020
2015,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Penicillins, β-lactam combination agents",43,21879,0.2,M4-019
2015,Escherichia coli,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",38,21879,0.17,M6-007
2015,Escherichia coli,"Aminoglycosides, Penicillins, β-lactam combination agents",24,21879,0.11,M3-015
2015,Escherichia coli,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists",20,21879,0.09,M3-010
2015,Escherichia coli,"Carbapenems, Cephalosporins, Penicillins, β-lactam combination agents",11,21879,0.05,M4-026
2015,Escherichia coli,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",6,21879,0.03,M6-003
