x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2015,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Tetracyclines",44,139,31.65,M3-035
2015,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",10,139,7.19,M4-038
2015,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Tetracyclines",2,139,1.44,M4-036
2015,Enterococcus faecalis,"Glycopeptides, Macrolides, Tetracyclines",2,139,1.44,M3-042
2015,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins",1,139,0.72,M3-037
2016,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Tetracyclines",48,234,20.51,M3-035
2016,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",10,234,4.27,M4-038
2016,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",1,234,0.43,M5-022
2016,Enterococcus faecalis,"Fluoroquinolones, Penicillins, Tetracyclines",1,234,0.43,M3-038
2017,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Tetracyclines",117,389,30.08,M3-035
2017,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",20,389,5.14,M4-038
2017,Enterococcus faecalis,"Macrolides, Penicillins, Tetracyclines",4,389,1.03,M3-044
2017,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins",2,389,0.51,M3-037
2017,Enterococcus faecalis,"Fluoroquinolones, Penicillins, Tetracyclines",2,389,0.51,M3-038
2018,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Tetracyclines",453,1169,38.75,M3-035
2018,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",72,1169,6.16,M4-038
2018,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",5,1169,0.43,M5-022
2018,Enterococcus faecalis,"Glycopeptides, Macrolides, Tetracyclines",4,1169,0.34,M3-042
2018,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Tetracyclines",3,1169,0.26,M4-036
2018,Enterococcus faecalis,"Macrolides, Penicillins, Tetracyclines",3,1169,0.26,M3-044
2018,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins",2,1169,0.17,M3-037
2018,Enterococcus faecalis,"Glycopeptides, Macrolides, Penicillins, Tetracyclines",2,1169,0.17,M4-040
2018,Enterococcus faecalis,"Glycopeptides, Penicillins, Tetracyclines",2,1169,0.17,M3-045
2018,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins",1,1169,0.09,M4-037
2018,Enterococcus faecalis,"Fluoroquinolones, Penicillins, Tetracyclines",1,1169,0.09,M3-038
2019,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Tetracyclines",312,798,39.1,M3-035
2019,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",52,798,6.52,M4-038
2019,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Tetracyclines",18,798,2.26,M4-036
2019,Enterococcus faecalis,"Macrolides, Penicillins, Tetracyclines",7,798,0.88,M3-044
2019,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",5,798,0.63,M5-022
2019,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins",4,798,0.5,M3-037
2019,Enterococcus faecalis,"Glycopeptides, Macrolides, Tetracyclines",4,798,0.5,M3-042
2019,Enterococcus faecalis,"Fluoroquinolones, Penicillins, Tetracyclines",2,798,0.25,M3-038
2019,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Penicillins, Tetracyclines",1,798,0.13,M4-039
2019,Enterococcus faecalis,"Glycopeptides, Macrolides, Penicillins, Tetracyclines",1,798,0.13,M4-040
2020,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Tetracyclines",1591,3781,42.08,M3-035
2020,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",125,3781,3.31,M4-038
2020,Enterococcus faecalis,"Macrolides, Penicillins, Tetracyclines",9,3781,0.24,M3-044
2020,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins",4,3781,0.11,M3-037
2020,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",3,3781,0.08,M5-022
2020,Enterococcus faecalis,"Fluoroquinolones, Penicillins, Tetracyclines",3,3781,0.08,M3-038
2020,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Tetracyclines",2,3781,0.05,M4-036
2020,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins",1,3781,0.03,M4-037
2020,Enterococcus faecalis,"Glycopeptides, Macrolides, Penicillins",1,3781,0.03,M3-043
