x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2015,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",81,133,60.9,M4-038
2015,Enterococcus faecium,"Fluoroquinolones, Macrolides, Tetracyclines",9,133,6.77,M3-035
2015,Enterococcus faecium,"Macrolides, Penicillins, Tetracyclines",7,133,5.26,M3-044
2015,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",6,133,4.51,M5-022
2015,Enterococcus faecium,"Fluoroquinolones, Penicillins, Tetracyclines",3,133,2.26,M3-038
2015,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins",2,133,1.5,M4-037
2016,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",67,113,59.29,M4-038
2016,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",11,113,9.73,M5-022
2016,Enterococcus faecium,"Macrolides, Penicillins, Tetracyclines",8,113,7.08,M3-044
2016,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins",5,113,4.42,M4-037
2016,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Tetracyclines",1,113,0.88,M4-036
2016,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins",1,113,0.88,M3-037
2016,Enterococcus faecium,"Fluoroquinolones, Macrolides, Tetracyclines",1,113,0.88,M3-035
2016,Enterococcus faecium,"Fluoroquinolones, Penicillins, Tetracyclines",1,113,0.88,M3-038
2016,Enterococcus faecium,"Glycopeptides, Macrolides, Penicillins",1,113,0.88,M3-043
2017,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",156,245,63.67,M4-038
2017,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",14,245,5.71,M5-022
2017,Enterococcus faecium,"Fluoroquinolones, Macrolides, Tetracyclines",13,245,5.31,M3-035
2017,Enterococcus faecium,"Macrolides, Penicillins, Tetracyclines",8,245,3.27,M3-044
2017,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins",6,245,2.45,M3-037
2017,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins",3,245,1.22,M4-037
2017,Enterococcus faecium,"Fluoroquinolones, Penicillins, Tetracyclines",3,245,1.22,M3-038
2017,Enterococcus faecium,"Glycopeptides, Macrolides, Penicillins, Tetracyclines",1,245,0.41,M4-040
2018,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",526,716,73.46,M4-038
2018,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",42,716,5.87,M5-022
2018,Enterococcus faecium,"Macrolides, Penicillins, Tetracyclines",28,716,3.91,M3-044
2018,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins",20,716,2.79,M3-037
2018,Enterococcus faecium,"Fluoroquinolones, Penicillins, Tetracyclines",11,716,1.54,M3-038
2018,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins",10,716,1.4,M4-037
2018,Enterococcus faecium,"Fluoroquinolones, Macrolides, Tetracyclines",9,716,1.26,M3-035
2018,Enterococcus faecium,"Glycopeptides, Macrolides, Penicillins, Tetracyclines",2,716,0.28,M4-040
2018,Enterococcus faecium,"Glycopeptides, Macrolides, Penicillins",1,716,0.14,M3-043
2019,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",606,835,72.57,M4-038
