x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2015,Klebsiella pneumoniae,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",1225,13154,9.31,M6-006
2015,Klebsiella pneumoniae,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",1147,13154,8.72,M5-021
2015,Klebsiella pneumoniae,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",440,13154,3.34,M5-011
2015,Klebsiella pneumoniae,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",395,13154,3.0,M4-031
2015,Klebsiella pneumoniae,"Fluoroquinolones, Folate pathway antagonists, Penicillins",319,13154,2.43,M3-032
2015,Klebsiella pneumoniae,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",232,13154,1.76,M7-001
2015,Klebsiella pneumoniae,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",149,13154,1.13,M5-013
2015,Klebsiella pneumoniae,"Cephalosporins, Penicillins, β-lactam combination agents",149,13154,1.13,M3-031
2015,Klebsiella pneumoniae,"Cephalosporins, Folate pathway antagonists, Penicillins",147,13154,1.12,M3-029
2015,Klebsiella pneumoniae,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins",144,13154,1.09,M4-014
2015,Klebsiella pneumoniae,"Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",141,13154,1.07,M4-034
2015,Klebsiella pneumoniae,"Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",127,13154,0.97,M4-033
2015,Klebsiella pneumoniae,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",125,13154,0.95,M5-014
2015,Klebsiella pneumoniae,"Aminoglycosides, Cephalosporins, Penicillins",111,13154,0.84,M3-008
2015,Klebsiella pneumoniae,"Cephalosporins, Fluoroquinolones, Penicillins",111,13154,0.84,M3-027
2015,Klebsiella pneumoniae,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins",93,13154,0.71,M4-012
2015,Klebsiella pneumoniae,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",88,13154,0.67,M6-007
2015,Klebsiella pneumoniae,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins",77,13154,0.59,M4-017
2015,Klebsiella pneumoniae,"Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",77,13154,0.59,M4-035
2015,Klebsiella pneumoniae,"Folate pathway antagonists, Penicillins, β-lactam combination agents",47,13154,0.36,M3-041
2015,Klebsiella pneumoniae,"Fluoroquinolones, Penicillins, β-lactam combination agents",46,13154,0.35,M3-039
2015,Klebsiella pneumoniae,"Aminoglycosides, Folate pathway antagonists, Penicillins",42,13154,0.32,M3-013
2015,Klebsiella pneumoniae,"Aminoglycosides, Cephalosporins, Penicillins, β-lactam combination agents",38,13154,0.29,M4-016
2015,Klebsiella pneumoniae,"Aminoglycosides, Fluoroquinolones, Penicillins",29,13154,0.22,M3-011
