x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2015,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents",669,12869,5.2,M5-003
2015,Pseudomonas aeruginosa,"Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents",264,12869,2.05,M4-023
2015,Pseudomonas aeruginosa,"Carbapenems, Cephalosporins, Fluoroquinolones",223,12869,1.73,M3-016
2015,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones",193,12869,1.5,M4-001
2015,Pseudomonas aeruginosa,"Aminoglycosides, Cephalosporins, Fluoroquinolones",110,12869,0.85,M3-006
2015,Pseudomonas aeruginosa,"Carbapenems, Cephalosporins, β-lactam combination agents",86,12869,0.67,M3-019
2015,Pseudomonas aeruginosa,"Carbapenems, Fluoroquinolones, β-lactam combination agents",79,12869,0.61,M3-022
2015,Pseudomonas aeruginosa,"Cephalosporins, Fluoroquinolones, β-lactam combination agents",48,12869,0.37,M3-028
2015,Pseudomonas aeruginosa,"Aminoglycosides, Cephalosporins, Fluoroquinolones, β-lactam combination agents",38,12869,0.3,M4-013
2015,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Fluoroquinolones",28,12869,0.22,M3-002
2015,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Cephalosporins, β-lactam combination agents",16,12869,0.12,M4-004
2015,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Cephalosporins",12,12869,0.09,M3-001
2015,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Fluoroquinolones, β-lactam combination agents",11,12869,0.09,M4-007
2015,Pseudomonas aeruginosa,"Aminoglycosides, Cephalosporins, β-lactam combination agents",10,12869,0.08,M3-009
2015,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, β-lactam combination agents",4,12869,0.03,M3-005
2016,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents",1176,17286,6.8,M5-003
2016,Pseudomonas aeruginosa,"Carbapenems, Cephalosporins, Fluoroquinolones",334,17286,1.93,M3-016
2016,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones",320,17286,1.85,M4-001
2016,Pseudomonas aeruginosa,"Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents",278,17286,1.61,M4-023
2016,Pseudomonas aeruginosa,"Aminoglycosides, Cephalosporins, Fluoroquinolones",94,17286,0.54,M3-006
2016,Pseudomonas aeruginosa,"Carbapenems, Cephalosporins, β-lactam combination agents",77,17286,0.45,M3-019
2016,Pseudomonas aeruginosa,"Carbapenems, Fluoroquinolones, β-lactam combination agents",68,17286,0.39,M3-022
2016,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Fluoroquinolones",57,17286,0.33,M3-002
2016,Pseudomonas aeruginosa,"Aminoglycosides, Cephalosporins, Fluoroquinolones, β-lactam combination agents",50,17286,0.29,M4-013
2016,Pseudomonas aeruginosa,"Cephalosporins, Fluoroquinolones, β-lactam combination agents",39,17286,0.23,M3-028
2016,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Cephalosporins, β-lactam combination agents",22,17286,0.13,M4-004
2016,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, β-lactam combination agents",19,17286,0.11,M3-005
2016,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Cephalosporins",15,17286,0.09,M3-001
2016,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Fluoroquinolones, β-lactam combination agents",15,17286,0.09,M4-007
2016,Pseudomonas aeruginosa,"Aminoglycosides, Cephalosporins, β-lactam combination agents",5,17286,0.03,M3-009
2016,Pseudomonas aeruginosa,"Aminoglycosides, Fluoroquinolones, β-lactam combination agents",1,17286,0.01,M3-012
2017,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents",1597,28205,5.66,M5-003
2017,Pseudomonas aeruginosa,"Carbapenems, Cephalosporins, Fluoroquinolones",667,28205,2.36,M3-016
2017,Pseudomonas aeruginosa,"Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents",510,28205,1.81,M4-023
2017,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones",401,28205,1.42,M4-001
2017,Pseudomonas aeruginosa,"Carbapenems, Cephalosporins, β-lactam combination agents",192,28205,0.68,M3-019
2017,Pseudomonas aeruginosa,"Aminoglycosides, Cephalosporins, Fluoroquinolones",122,28205,0.43,M3-006
2017,Pseudomonas aeruginosa,"Aminoglycosides, Carbapenems, Fluoroquinolones",72,28205,0.26,M3-002
2017,Pseudomonas aeruginosa,"Carbapenems, Fluoroquinolones, β-lactam combination agents",72,28205,0.26,M3-022
