organism_full,year_val,month_val,count_R,count_S,total_count,percent_R
Acinetobacter baumannii,2015,01,1211,156,1367,88.59
Acinetobacter baumannii,2015,02,989,115,1104,89.58
Acinetobacter baumannii,2015,03,1011,113,1124,89.95
Acinetobacter baumannii,2015,04,949,117,1066,89.02
Acinetobacter baumannii,2015,05,1050,158,1208,86.92
Acinetobacter baumannii,2015,06,985,154,1139,86.48
Acinetobacter baumannii,2015,07,1154,172,1326,87.03
Acinetobacter baumannii,2015,08,1114,190,1304,85.43
Acinetobacter baumannii,2015,09,1109,159,1268,87.46
Acinetobacter baumannii,2015,10,1021,178,1199,85.15
Acinetobacter baumannii,2015,11,943,150,1093,86.28
Acinetobacter baumannii,2015,12,1210,129,1339,90.37
Acinetobacter baumannii,2016,01,2040,251,2291,89.04
Acinetobacter baumannii,2016,02,1821,214,2035,89.48
Acinetobacter baumannii,2016,03,1845,230,2075,88.92
Acinetobacter baumannii,2016,04,1802,271,2073,86.93
Acinetobacter baumannii,2016,05,1666,327,1993,83.59
Acinetobacter baumannii,2016,06,1619,327,1946,83.2
Acinetobacter baumannii,2016,07,1672,320,1992,83.94
Acinetobacter baumannii,2016,08,1755,315,2070,84.78
Acinetobacter baumannii,2016,09,1799,332,2131,84.42
Acinetobacter baumannii,2016,10,1961,348,2309,84.93
Acinetobacter baumannii,2016,11,1695,316,2011,84.29
Acinetobacter baumannii,2016,12,1652,252,1904,86.76
Acinetobacter baumannii,2017,01,2851,380,3231,88.24
Acinetobacter baumannii,2017,02,2231,293,2524,88.39
Acinetobacter baumannii,2017,03,2404,320,2724,88.25
Acinetobacter baumannii,2017,04,2274,375,2649,85.84
Acinetobacter baumannii,2017,05,2236,437,2673,83.65
Acinetobacter baumannii,2017,06,2248,477,2725,82.5
Acinetobacter baumannii,2017,07,2456,488,2944,83.42
Acinetobacter baumannii,2017,08,2564,508,3072,83.46
Acinetobacter baumannii,2017,09,2506,533,3039,82.46
Acinetobacter baumannii,2017,10,2581,495,3076,83.91
Acinetobacter baumannii,2017,11,2372,447,2819,84.14
Acinetobacter baumannii,2017,12,2550,473,3023,84.35
Acinetobacter baumannii,2018,01,2995,499,3494,85.72
Acinetobacter baumannii,2018,02,2453,330,2783,88.14
Acinetobacter baumannii,2018,03,2581,401,2982,86.55
Acinetobacter baumannii,2018,04,2577,380,2957,87.15
Acinetobacter baumannii,2018,05,2603,505,3108,83.75
Acinetobacter baumannii,2018,06,2507,443,2950,84.98
Acinetobacter baumannii,2018,07,2646,472,3118,84.86
Acinetobacter baumannii,2018,08,2575,432,3007,85.63
Acinetobacter baumannii,2018,09,2657,506,3163,84.0
Acinetobacter baumannii,2018,10,2625,495,3120,84.13
Acinetobacter baumannii,2018,11,2305,388,2693,85.59
Acinetobacter baumannii,2018,12,2216,411,2627,84.35
Acinetobacter baumannii,2019,01,3899,420,4319,90.28
Acinetobacter baumannii,2019,02,3107,366,3473,89.46
Acinetobacter baumannii,2019,03,3271,512,3783,86.47
Acinetobacter baumannii,2019,04,3223,604,3827,84.22
Acinetobacter baumannii,2019,05,3350,597,3947,84.87
Acinetobacter baumannii,2019,06,2969,591,3560,83.4
Acinetobacter baumannii,2019,07,3057,539,3596,85.01
Acinetobacter baumannii,2019,08,2913,540,3453,84.36
Acinetobacter baumannii,2019,09,2918,473,3391,86.05
Acinetobacter baumannii,2019,10,3130,549,3679,85.08
Acinetobacter baumannii,2019,11,2693,464,3157,85.3
Acinetobacter baumannii,2019,12,2695,365,3060,88.07
Acinetobacter baumannii,2020,01,4073,341,4414,92.27
Acinetobacter baumannii,2020,02,2539,233,2772,91.59
Acinetobacter baumannii,2020,03,2578,285,2863,90.05
Acinetobacter baumannii,2020,04,2115,237,2352,89.92
Acinetobacter baumannii,2020,05,2735,280,3015,90.71
Acinetobacter baumannii,2020,06,2576,359,2935,87.77
Acinetobacter baumannii,2020,07,2663,284,2947,90.36
Acinetobacter baumannii,2020,08,2948,313,3261,90.4
Acinetobacter baumannii,2020,09,2749,373,3122,88.05
Acinetobacter baumannii,2020,10,2895,303,3198,90.53
Acinetobacter baumannii,2020,11,2818,279,3097,90.99
Acinetobacter baumannii,2020,12,2766,226,2992,92.45
Acinetobacter baumannii,2021,01,3538,151,3689,95.91
Acinetobacter baumannii,2021,02,2950,158,3108,94.92
Acinetobacter baumannii,2021,03,3455,198,3653,94.58
Acinetobacter baumannii,2021,04,3226,213,3439,93.81
Acinetobacter baumannii,2021,05,3296,233,3529,93.4
Acinetobacter baumannii,2021,06,3299,216,3515,93.85
Acinetobacter baumannii,2021,07,3257,218,3475,93.73
Acinetobacter baumannii,2021,08,3415,220,3635,93.95
Acinetobacter baumannii,2021,09,3017,234,3251,92.8
Acinetobacter baumannii,2021,10,3107,195,3302,94.09
Acinetobacter baumannii,2021,11,2905,185,3090,94.01
Acinetobacter baumannii,2021,12,2842,157,2999,94.76
Acinetobacter baumannii,2022,01,3281,249,3530,92.95
Acinetobacter baumannii,2022,02,2614,228,2842,91.98
Acinetobacter baumannii,2022,03,3073,322,3395,90.52
Acinetobacter baumannii,2022,04,3163,413,3576,88.45
Acinetobacter baumannii,2022,05,3125,407,3532,88.48
Acinetobacter baumannii,2022,06,2996,465,3461,86.56
Acinetobacter baumannii,2022,07,2139,321,2460,86.95
Acinetobacter baumannii,2022,08,2126,339,2465,86.25
Acinetobacter baumannii,2022,09,2176,279,2455,88.64
Acinetobacter baumannii,2022,10,2103,276,2379,88.4
Acinetobacter baumannii,2022,11,1889,212,2101,89.91
Acinetobacter baumannii,2022,12,1824,185,2009,90.79
Acinetobacter baumannii,2023,01,4073,293,4366,93.29
Acinetobacter baumannii,2023,02,3206,271,3477,92.21
Acinetobacter baumannii,2023,03,3315,308,3623,91.5
Acinetobacter baumannii,2023,04,3228,414,3642,88.63
Acinetobacter baumannii,2023,05,3503,442,3945,88.8
Acinetobacter baumannii,2023,06,3253,408,3661,88.86
Acinetobacter baumannii,2023,07,3044,367,3411,89.24
Acinetobacter baumannii,2023,08,3129,365,3494,89.55
Acinetobacter baumannii,2023,09,3019,365,3384,89.21
Acinetobacter baumannii,2023,10,3354,413,3767,89.04
Acinetobacter baumannii,2023,11,2782,290,3072,90.56
Acinetobacter baumannii,2023,12,2866,296,3162,90.64
Acinetobacter baumannii,2024,01,3275,249,3524,92.93
Acinetobacter baumannii,2024,02,2919,233,3152,92.61
Acinetobacter baumannii,2024,03,2964,224,3188,92.97
Acinetobacter baumannii,2024,04,3091,245,3336,92.66
Acinetobacter baumannii,2024,05,3146,235,3381,93.05
Acinetobacter baumannii,2024,06,2851,250,3101,91.94
Acinetobacter baumannii,2024,07,2959,265,3224,91.78
Acinetobacter baumannii,2024,08,3074,303,3377,91.03
Acinetobacter baumannii,2024,09,2854,222,3076,92.78
Acinetobacter baumannii,2024,10,2927,263,3190,91.76
Acinetobacter baumannii,2024,11,2425,189,2614,92.77
Acinetobacter baumannii,2024,12,2397,178,2575,93.09
Acinetobacter spp.,2015,01,74,32,106,69.81
Acinetobacter spp.,2015,02,56,24,80,70.0
Acinetobacter spp.,2015,03,18,18,36,50.0
Acinetobacter spp.,2015,04,33,28,61,54.1
Acinetobacter spp.,2015,05,61,17,78,78.21
Acinetobacter spp.,2015,06,27,31,58,46.55
Acinetobacter spp.,2015,07,48,34,82,58.54
Acinetobacter spp.,2015,08,36,35,71,50.7
Acinetobacter spp.,2015,09,32,27,59,54.24
Acinetobacter spp.,2015,10,38,28,66,57.58
Acinetobacter spp.,2015,11,48,28,76,63.16
Acinetobacter spp.,2015,12,28,25,53,52.83
Acinetobacter spp.,2016,01,90,48,138,65.22
Acinetobacter spp.,2016,02,82,48,130,63.08
Acinetobacter spp.,2016,03,74,40,114,64.91
Acinetobacter spp.,2016,04,58,49,107,54.21
Acinetobacter spp.,2016,05,79,40,119,66.39
Acinetobacter spp.,2016,06,68,48,116,58.62
Acinetobacter spp.,2016,07,87,71,158,55.06
Acinetobacter spp.,2016,08,87,76,163,53.37
Acinetobacter spp.,2016,09,63,71,134,47.01
Acinetobacter spp.,2016,10,69,75,144,47.92
Acinetobacter spp.,2016,11,78,69,147,53.06
Acinetobacter spp.,2016,12,65,65,130,50.0
Acinetobacter spp.,2017,01,381,136,517,73.69
Acinetobacter spp.,2017,02,353,83,436,80.96
Acinetobacter spp.,2017,03,340,98,438,77.63
Acinetobacter spp.,2017,04,345,89,434,79.49
Acinetobacter spp.,2017,05,310,88,398,77.89
Acinetobacter spp.,2017,06,374,111,485,77.11
Acinetobacter spp.,2017,07,407,143,550,74.0
Acinetobacter spp.,2017,08,452,160,612,73.86
Acinetobacter spp.,2017,09,450,106,556,80.94
Acinetobacter spp.,2017,10,389,112,501,77.64
Acinetobacter spp.,2017,11,368,104,472,77.97
Acinetobacter spp.,2017,12,184,92,276,66.67
Acinetobacter spp.,2018,01,170,127,297,57.24
Acinetobacter spp.,2018,02,103,76,179,57.54
Acinetobacter spp.,2018,03,117,89,206,56.8
Acinetobacter spp.,2018,04,115,73,188,61.17
Acinetobacter spp.,2018,05,126,83,209,60.29
Acinetobacter spp.,2018,06,92,93,185,49.73
Acinetobacter spp.,2018,07,117,126,243,48.15
Acinetobacter spp.,2018,08,99,103,202,49.01
Acinetobacter spp.,2018,09,122,105,227,53.74
Acinetobacter spp.,2018,10,151,105,256,58.98
Acinetobacter spp.,2018,11,117,83,200,58.5
Acinetobacter spp.,2018,12,93,71,164,56.71
Acinetobacter spp.,2019,01,117,83,200,58.5
Acinetobacter spp.,2019,02,101,65,166,60.84
Acinetobacter spp.,2019,03,91,92,183,49.73
Acinetobacter spp.,2019,04,92,79,171,53.8
Acinetobacter spp.,2019,05,102,81,183,55.74
Acinetobacter spp.,2019,06,104,90,194,53.61
Acinetobacter spp.,2019,07,78,74,152,51.32
Acinetobacter spp.,2019,08,94,98,192,48.96
Acinetobacter spp.,2019,09,89,101,190,46.84
Acinetobacter spp.,2019,10,85,80,165,51.52
Acinetobacter spp.,2019,11,74,75,149,49.66
Acinetobacter spp.,2019,12,79,72,151,52.32
Acinetobacter spp.,2020,01,72,75,147,48.98
Acinetobacter spp.,2020,02,59,54,113,52.21
Acinetobacter spp.,2020,03,66,49,115,57.39
Acinetobacter spp.,2020,04,34,42,76,44.74
Acinetobacter spp.,2020,05,49,64,113,43.36
Acinetobacter spp.,2020,06,67,66,133,50.38
Acinetobacter spp.,2020,07,69,67,136,50.74
Acinetobacter spp.,2020,08,82,95,177,46.33
Acinetobacter spp.,2020,09,79,59,138,57.25
Acinetobacter spp.,2020,10,78,86,164,47.56
Acinetobacter spp.,2020,11,82,75,157,52.23
Acinetobacter spp.,2020,12,72,69,141,51.06
Acinetobacter spp.,2021,01,54,59,113,47.79
Acinetobacter spp.,2021,02,43,39,82,52.44
Acinetobacter spp.,2021,03,47,52,99,47.47
Acinetobacter spp.,2021,04,63,47,110,57.27
Acinetobacter spp.,2021,05,54,66,120,45.0
Acinetobacter spp.,2021,06,51,69,120,42.5
Acinetobacter spp.,2021,07,50,59,109,45.87
Acinetobacter spp.,2021,08,43,50,93,46.24
Acinetobacter spp.,2021,09,58,81,139,41.73
Acinetobacter spp.,2021,10,50,65,115,43.48
Acinetobacter spp.,2021,11,70,72,142,49.3
Acinetobacter spp.,2021,12,61,54,115,53.04
Acinetobacter spp.,2022,01,58,58,116,50.0
Acinetobacter spp.,2022,02,37,59,96,38.54
Acinetobacter spp.,2022,03,51,53,104,49.04
Acinetobacter spp.,2022,04,59,67,126,46.83
Acinetobacter spp.,2022,05,96,86,182,52.75
Acinetobacter spp.,2022,06,70,80,150,46.67
Acinetobacter spp.,2022,07,48,67,115,41.74
Acinetobacter spp.,2022,08,43,57,100,43.0
Acinetobacter spp.,2022,09,50,67,117,42.74
Acinetobacter spp.,2022,10,45,43,88,51.14
Acinetobacter spp.,2022,11,30,43,73,41.1
Acinetobacter spp.,2022,12,39,45,84,46.43
Acinetobacter spp.,2023,01,71,82,153,46.41
Acinetobacter spp.,2023,02,62,64,126,49.21
Acinetobacter spp.,2023,03,55,79,134,41.04
Acinetobacter spp.,2023,04,59,62,121,48.76
Acinetobacter spp.,2023,05,57,70,127,44.88
Acinetobacter spp.,2023,06,61,78,139,43.88
Acinetobacter spp.,2023,07,57,69,126,45.24
Acinetobacter spp.,2023,08,63,67,130,48.46
Acinetobacter spp.,2023,09,58,80,138,42.03
Acinetobacter spp.,2023,10,54,67,121,44.63
Acinetobacter spp.,2023,11,50,63,113,44.25
Acinetobacter spp.,2023,12,62,70,132,46.97
Acinetobacter spp.,2024,01,43,29,72,59.72
Acinetobacter spp.,2024,02,49,61,110,44.55
Acinetobacter spp.,2024,03,40,53,93,43.01
Acinetobacter spp.,2024,04,44,48,92,47.83
Acinetobacter spp.,2024,05,51,55,106,48.11
Acinetobacter spp.,2024,06,47,64,111,42.34
Acinetobacter spp.,2024,07,52,71,123,42.28
Acinetobacter spp.,2024,08,51,68,119,42.86
Acinetobacter spp.,2024,09,66,70,136,48.53
Acinetobacter spp.,2024,10,56,70,126,44.44
Acinetobacter spp.,2024,11,72,49,121,59.5
Acinetobacter spp.,2024,12,50,55,105,47.62
Aeromonas hydrophila,2015,01,3,18,21,14.29
Aeromonas hydrophila,2015,02,2,12,14,14.29
Aeromonas hydrophila,2015,03,1,15,16,6.25
Aeromonas hydrophila,2015,04,2,13,15,13.33
Aeromonas hydrophila,2015,05,1,14,15,6.67
Aeromonas hydrophila,2015,06,8,18,26,30.77
Aeromonas hydrophila,2015,07,3,18,21,14.29
Aeromonas hydrophila,2015,08,2,20,22,9.09
Aeromonas hydrophila,2015,09,4,17,21,19.05
Aeromonas hydrophila,2015,10,5,14,19,26.32
Aeromonas hydrophila,2015,11,7,15,22,31.82
Aeromonas hydrophila,2015,12,10,24,34,29.41
Aeromonas hydrophila,2016,01,3,32,35,8.57
Aeromonas hydrophila,2016,02,4,22,26,15.38
Aeromonas hydrophila,2016,03,2,36,38,5.26
Aeromonas hydrophila,2016,04,3,29,32,9.38
Aeromonas hydrophila,2016,05,2,23,25,8.0
Aeromonas hydrophila,2016,06,2,33,35,5.71
Aeromonas hydrophila,2016,07,3,44,47,6.38
Aeromonas hydrophila,2016,08,4,35,39,10.26
Aeromonas hydrophila,2016,09,6,44,50,12.0
Aeromonas hydrophila,2016,10,4,48,52,7.69
Aeromonas hydrophila,2016,11,4,44,48,8.33
Aeromonas hydrophila,2016,12,6,32,38,15.79
Aeromonas hydrophila,2017,01,19,45,64,29.69
Aeromonas hydrophila,2017,02,12,44,56,21.43
Aeromonas hydrophila,2017,03,13,53,66,19.7
Aeromonas hydrophila,2017,04,20,42,62,32.26
Aeromonas hydrophila,2017,05,16,47,63,25.4
Aeromonas hydrophila,2017,06,12,37,49,24.49
Aeromonas hydrophila,2017,07,26,68,94,27.66
Aeromonas hydrophila,2017,08,32,49,81,39.51
Aeromonas hydrophila,2017,09,27,40,67,40.3
Aeromonas hydrophila,2017,10,9,59,68,13.24
