organism_full,year_val,month_val,count_R,count_S,total_count,percent_R
Enterococcus faecalis,2015,1,40,189,229,17.47
Enterococcus faecalis,2015,2,40,222,262,15.27
Enterococcus faecalis,2015,3,19,187,206,9.22
Enterococcus faecalis,2015,4,29,233,262,11.07
Enterococcus faecalis,2015,5,41,211,252,16.27
Enterococcus faecalis,2015,6,53,229,282,18.79
Enterococcus faecalis,2015,7,69,210,279,24.73
Enterococcus faecalis,2015,8,54,206,260,20.77
Enterococcus faecalis,2015,9,37,204,241,15.35
Enterococcus faecalis,2015,10,27,191,218,12.39
Enterococcus faecalis,2015,11,23,191,214,10.75
Enterococcus faecalis,2015,12,60,186,246,24.39
Enterococcus faecalis,2016,1,68,344,412,16.5
Enterococcus faecalis,2016,2,58,388,446,13.0
Enterococcus faecalis,2016,3,54,382,436,12.39
Enterococcus faecalis,2016,4,66,398,464,14.22
Enterococcus faecalis,2016,5,44,360,404,10.89
Enterococcus faecalis,2016,6,46,395,441,10.43
Enterococcus faecalis,2016,7,48,381,429,11.19
Enterococcus faecalis,2016,8,52,377,429,12.12
Enterococcus faecalis,2016,9,53,333,386,13.73
Enterococcus faecalis,2016,10,56,411,467,11.99
Enterococcus faecalis,2016,11,56,344,400,14.0
Enterococcus faecalis,2016,12,40,356,396,10.1
Enterococcus faecalis,2017,1,114,563,677,16.84
Enterococcus faecalis,2017,2,116,592,708,16.38
Enterococcus faecalis,2017,3,145,650,795,18.24
Enterococcus faecalis,2017,4,122,641,763,15.99
Enterococcus faecalis,2017,5,124,646,770,16.1
Enterococcus faecalis,2017,6,132,633,765,17.25
Enterococcus faecalis,2017,7,139,649,788,17.64
Enterococcus faecalis,2017,8,168,648,816,20.59
Enterococcus faecalis,2017,9,144,606,750,19.2
Enterococcus faecalis,2017,10,123,674,797,15.43
Enterococcus faecalis,2017,11,151,608,759,19.89
Enterococcus faecalis,2017,12,146,694,840,17.38
Enterococcus faecalis,2018,1,185,695,880,21.02
Enterococcus faecalis,2018,2,170,558,728,23.35
Enterococcus faecalis,2018,3,222,758,980,22.65
Enterococcus faecalis,2018,4,204,682,886,23.02
Enterococcus faecalis,2018,5,248,748,996,24.9
Enterococcus faecalis,2018,6,251,774,1025,24.49
Enterococcus faecalis,2018,7,233,757,990,23.54
Enterococcus faecalis,2018,8,223,718,941,23.7
Enterococcus faecalis,2018,9,182,701,883,20.61
Enterococcus faecalis,2018,10,208,612,820,25.37
Enterococcus faecalis,2018,11,232,619,851,27.26
Enterococcus faecalis,2018,12,302,603,905,33.37
Enterococcus faecalis,2019,1,553,1173,1726,32.04
Enterococcus faecalis,2019,2,442,1011,1453,30.42
Enterococcus faecalis,2019,3,491,1157,1648,29.79
Enterococcus faecalis,2019,4,491,1080,1571,31.25
Enterococcus faecalis,2019,5,552,1102,1654,33.37
Enterococcus faecalis,2019,6,484,1017,1501,32.25
Enterococcus faecalis,2019,7,470,1095,1565,30.03
Enterococcus faecalis,2019,8,436,1068,1504,28.99
Enterococcus faecalis,2019,9,447,1124,1571,28.45
Enterococcus faecalis,2019,10,415,1198,1613,25.73
Enterococcus faecalis,2019,11,360,1111,1471,24.47
Enterococcus faecalis,2019,12,366,984,1350,27.11
Enterococcus faecalis,2020,1,633,1278,1911,33.12
Enterococcus faecalis,2020,2,538,973,1511,35.61
Enterococcus faecalis,2020,3,559,903,1462,38.24
Enterococcus faecalis,2020,4,419,723,1142,36.69
Enterococcus faecalis,2020,5,507,927,1434,35.36
Enterococcus faecalis,2020,6,509,936,1445,35.22
Enterococcus faecalis,2020,7,635,828,1463,43.4
Enterococcus faecalis,2020,8,658,918,1576,41.75
Enterococcus faecalis,2020,9,629,892,1521,41.35
Enterococcus faecalis,2020,10,669,917,1586,42.18
Enterococcus faecalis,2020,11,609,922,1531,39.78
Enterococcus faecalis,2020,12,584,925,1509,38.7
Enterococcus faecalis,2021,1,715,963,1678,42.61
Enterococcus faecalis,2021,2,648,880,1528,42.41
Enterococcus faecalis,2021,3,749,971,1720,43.55
Enterococcus faecalis,2021,4,658,842,1500,43.87
Enterococcus faecalis,2021,5,653,881,1534,42.57
Enterococcus faecalis,2021,6,642,921,1563,41.07
Enterococcus faecalis,2021,7,536,782,1318,40.67
Enterococcus faecalis,2021,8,549,764,1313,41.81
Enterococcus faecalis,2021,9,542,795,1337,40.54
Enterococcus faecalis,2021,10,547,731,1278,42.8
Enterococcus faecalis,2021,11,551,726,1277,43.15
Enterococcus faecalis,2021,12,553,775,1328,41.64
Enterococcus faecalis,2022,1,683,743,1426,47.9
Enterococcus faecalis,2022,2,597,627,1224,48.77
Enterococcus faecalis,2022,3,713,655,1368,52.12
Enterococcus faecalis,2022,4,580,538,1118,51.88
Enterococcus faecalis,2022,5,649,555,1204,53.9
Enterococcus faecalis,2022,6,610,650,1260,48.41
Enterococcus faecalis,2022,7,360,494,854,42.15
Enterococcus faecalis,2022,8,448,440,888,50.45
