organism_full,year_val,month_val,count_R,count_S,total_count,percent_R
Enterococcus faecium,2015,1,35,223,258,13.57
Enterococcus faecium,2015,2,40,202,242,16.53
Enterococcus faecium,2015,3,39,208,247,15.79
Enterococcus faecium,2015,4,42,194,236,17.8
Enterococcus faecium,2015,5,57,192,249,22.89
Enterococcus faecium,2015,6,81,188,269,30.11
Enterococcus faecium,2015,7,77,201,278,27.7
Enterococcus faecium,2015,8,64,184,248,25.81
Enterococcus faecium,2015,9,40,205,245,16.33
Enterococcus faecium,2015,10,40,195,235,17.02
Enterococcus faecium,2015,11,31,157,188,16.49
Enterococcus faecium,2015,12,44,179,223,19.73
Enterococcus faecium,2016,1,91,330,421,21.62
Enterococcus faecium,2016,2,88,336,424,20.75
Enterococcus faecium,2016,3,86,381,467,18.42
Enterococcus faecium,2016,4,114,398,512,22.27
Enterococcus faecium,2016,5,75,374,449,16.7
Enterococcus faecium,2016,6,86,296,382,22.51
Enterococcus faecium,2016,7,93,283,376,24.73
Enterococcus faecium,2016,8,104,356,460,22.61
Enterococcus faecium,2016,9,81,323,404,20.05
Enterococcus faecium,2016,10,68,344,412,16.5
Enterococcus faecium,2016,11,92,329,421,21.85
Enterococcus faecium,2016,12,96,370,466,20.6
Enterococcus faecium,2017,1,201,512,713,28.19
Enterococcus faecium,2017,2,147,482,629,23.37
Enterococcus faecium,2017,3,161,568,729,22.09
Enterococcus faecium,2017,4,151,514,665,22.71
Enterococcus faecium,2017,5,175,504,679,25.77
Enterococcus faecium,2017,6,140,503,643,21.77
Enterococcus faecium,2017,7,182,499,681,26.73
Enterococcus faecium,2017,8,175,518,693,25.25
Enterococcus faecium,2017,9,166,498,664,25.0
Enterococcus faecium,2017,10,171,501,672,25.45
Enterococcus faecium,2017,11,184,487,671,27.42
Enterococcus faecium,2017,12,190,519,709,26.8
Enterococcus faecium,2018,1,309,482,791,39.06
Enterococcus faecium,2018,2,228,493,721,31.62
Enterococcus faecium,2018,3,248,506,754,32.89
Enterococcus faecium,2018,4,211,502,713,29.59
Enterococcus faecium,2018,5,232,560,792,29.29
Enterococcus faecium,2018,6,240,451,691,34.73
Enterococcus faecium,2018,7,285,473,758,37.6
Enterococcus faecium,2018,8,220,472,692,31.79
Enterococcus faecium,2018,9,213,513,726,29.34
Enterococcus faecium,2018,10,203,488,691,29.38
Enterococcus faecium,2018,11,265,446,711,37.27
Enterococcus faecium,2018,12,270,376,646,41.8
Enterococcus faecium,2019,1,513,534,1047,49.0
Enterococcus faecium,2019,2,459,551,1010,45.45
Enterococcus faecium,2019,3,455,603,1058,43.01
Enterococcus faecium,2019,4,511,623,1134,45.06
Enterococcus faecium,2019,5,543,565,1108,49.01
Enterococcus faecium,2019,6,477,470,947,50.37
Enterococcus faecium,2019,7,464,511,975,47.59
Enterococcus faecium,2019,8,408,507,915,44.59
Enterococcus faecium,2019,9,407,464,871,46.73
Enterococcus faecium,2019,10,490,545,1035,47.34
Enterococcus faecium,2019,11,461,477,938,49.15
Enterococcus faecium,2019,12,444,413,857,51.81
Enterococcus faecium,2020,1,694,564,1258,55.17
Enterococcus faecium,2020,2,548,458,1006,54.47
Enterococcus faecium,2020,3,608,437,1045,58.18
Enterococcus faecium,2020,4,473,346,819,57.75
Enterococcus faecium,2020,5,525,422,947,55.44
Enterococcus faecium,2020,6,547,397,944,57.94
Enterococcus faecium,2020,7,601,449,1050,57.24
Enterococcus faecium,2020,8,641,444,1085,59.08
Enterococcus faecium,2020,9,610,383,993,61.43
Enterococcus faecium,2020,10,612,376,988,61.94
Enterococcus faecium,2020,11,577,387,964,59.85
Enterococcus faecium,2020,12,603,428,1031,58.49
Enterococcus faecium,2021,1,675,399,1074,62.85
Enterococcus faecium,2021,2,631,384,1015,62.17
Enterococcus faecium,2021,3,797,421,1218,65.44
Enterococcus faecium,2021,4,626,353,979,63.94
Enterococcus faecium,2021,5,668,362,1030,64.85
Enterococcus faecium,2021,6,652,332,984,66.26
Enterococcus faecium,2021,7,572,326,898,63.7
Enterococcus faecium,2021,8,601,308,909,66.12
Enterococcus faecium,2021,9,553,317,870,63.56
Enterococcus faecium,2021,10,567,311,878,64.58
Enterococcus faecium,2021,11,537,308,845,63.55
Enterococcus faecium,2021,12,554,368,922,60.09
Enterococcus faecium,2022,1,677,319,996,67.97
Enterococcus faecium,2022,2,591,302,893,66.18
Enterococcus faecium,2022,3,672,351,1023,65.69
Enterococcus faecium,2022,4,604,346,950,63.58
Enterococcus faecium,2022,5,599,334,933,64.2
Enterococcus faecium,2022,6,589,357,946,62.26
Enterococcus faecium,2022,7,388,221,609,63.71
Enterococcus faecium,2022,8,400,238,638,62.7
Enterococcus faecium,2022,9,391,182,573,68.24
Enterococcus faecium,2022,10,403,194,597,67.5
Enterococcus faecium,2022,11,402,177,579,69.43
Enterococcus faecium,2022,12,405,188,593,68.3
Enterococcus faecium,2023,1,804,384,1188,67.68
Enterococcus faecium,2023,2,774,364,1138,68.01
Enterococcus faecium,2023,3,849,355,1204,70.51
Enterococcus faecium,2023,4,828,312,1140,72.63
Enterococcus faecium,2023,5,860,298,1158,74.27
Enterococcus faecium,2023,6,721,310,1031,69.93
Enterococcus faecium,2023,7,661,280,941,70.24
Enterococcus faecium,2023,8,624,306,930,67.1
Enterococcus faecium,2023,9,677,284,961,70.45
Enterococcus faecium,2023,10,659,288,947,69.59
Enterococcus faecium,2023,11,715,286,1001,71.43
Enterococcus faecium,2023,12,629,279,908,69.27
Enterococcus faecium,2024,1,805,294,1099,73.25
Enterococcus faecium,2024,2,728,242,970,75.05
Enterococcus faecium,2024,3,762,273,1035,73.62
Enterococcus faecium,2024,4,788,216,1004,78.49
Enterococcus faecium,2024,5,720,219,939,76.68
Enterococcus faecium,2024,6,677,200,877,77.19
Enterococcus faecium,2024,7,682,183,865,78.84
Enterococcus faecium,2024,8,718,186,904,79.42
Enterococcus faecium,2024,9,566,168,734,77.11
Enterococcus faecium,2024,10,772,173,945,81.69
Enterococcus faecium,2024,11,696,144,840,82.86
Enterococcus faecium,2024,12,616,191,807,76.33
