organism_full,year_val,month_val,count_R,count_S,total_count,percent_R
Escherichia coli,2015,1,1387,1057,2444,56.75
Escherichia coli,2015,2,1253,917,2170,57.74
Escherichia coli,2015,3,1222,928,2150,56.84
Escherichia coli,2015,4,1235,940,2175,56.78
Escherichia coli,2015,5,1342,1035,2377,56.46
Escherichia coli,2015,6,1247,963,2210,56.43
Escherichia coli,2015,7,1404,1017,2421,57.99
Escherichia coli,2015,8,1306,1023,2329,56.08
Escherichia coli,2015,9,1292,976,2268,56.97
Escherichia coli,2015,10,1248,962,2210,56.47
Escherichia coli,2015,11,1067,857,1924,55.46
Escherichia coli,2015,12,1186,933,2119,55.97
Escherichia coli,2016,1,2235,1865,4100,54.51
Escherichia coli,2016,2,2023,1625,3648,55.46
Escherichia coli,2016,3,2262,1794,4056,55.77
Escherichia coli,2016,4,2120,1795,3915,54.15
Escherichia coli,2016,5,2064,1839,3903,52.88
Escherichia coli,2016,6,2074,1738,3812,54.41
Escherichia coli,2016,7,2129,1797,3926,54.23
Escherichia coli,2016,8,2079,1847,3926,52.95
Escherichia coli,2016,9,1950,1641,3591,54.3
Escherichia coli,2016,10,2018,1627,3645,55.36
Escherichia coli,2016,11,2013,1606,3619,55.62
Escherichia coli,2016,12,1917,1619,3536,54.21
Escherichia coli,2017,1,4013,2636,6649,60.35
Escherichia coli,2017,2,3269,2420,5689,57.46
Escherichia coli,2017,3,3577,2648,6225,57.46
Escherichia coli,2017,4,3368,2683,6051,55.66
Escherichia coli,2017,5,3463,2647,6110,56.68
Escherichia coli,2017,6,3207,2581,5788,55.41
Escherichia coli,2017,7,3374,2519,5893,57.25
Escherichia coli,2017,8,3442,2496,5938,57.97
Escherichia coli,2017,9,3116,2278,5394,57.77
Escherichia coli,2017,10,3183,2301,5484,58.04
Escherichia coli,2017,11,3045,2280,5325,57.18
Escherichia coli,2017,12,2904,2280,5184,56.02
Escherichia coli,2018,1,3733,2786,6519,57.26
Escherichia coli,2018,2,3189,2478,5667,56.27
Escherichia coli,2018,3,3473,2811,6284,55.27
Escherichia coli,2018,4,3146,2458,5604,56.14
Escherichia coli,2018,5,3187,2703,5890,54.11
Escherichia coli,2018,6,3176,2440,5616,56.55
Escherichia coli,2018,7,3360,2565,5925,56.71
Escherichia coli,2018,8,3093,2495,5588,55.35
Escherichia coli,2018,9,3108,2358,5466,56.86
Escherichia coli,2018,10,3000,2422,5422,55.33
Escherichia coli,2018,11,2992,2436,5428,55.12
Escherichia coli,2018,12,2832,2189,5021,56.4
Escherichia coli,2019,1,4234,3224,7458,56.77
Escherichia coli,2019,2,3487,2722,6209,56.16
Escherichia coli,2019,3,3763,2934,6697,56.19
Escherichia coli,2019,4,3531,2765,6296,56.08
Escherichia coli,2019,5,3820,3041,6861,55.68
Escherichia coli,2019,6,3314,2687,6001,55.22
Escherichia coli,2019,7,3415,2865,6280,54.38
Escherichia coli,2019,8,3297,2705,6002,54.93
Escherichia coli,2019,9,3163,2606,5769,54.83
Escherichia coli,2019,10,3299,2795,6094,54.14
Escherichia coli,2019,11,2849,2484,5333,53.42
Escherichia coli,2019,12,2581,2461,5042,51.19
Escherichia coli,2020,1,4621,3034,7655,60.37
Escherichia coli,2020,2,3737,2471,6208,60.2
Escherichia coli,2020,3,3470,2411,5881,59.0
Escherichia coli,2020,4,2710,2048,4758,56.96
Escherichia coli,2020,5,3261,2479,5740,56.81
Escherichia coli,2020,6,3373,2440,5813,58.03
Escherichia coli,2020,7,3467,2464,5931,58.46
Escherichia coli,2020,8,3711,2476,6187,59.98
Escherichia coli,2020,9,3610,2408,6018,59.99
Escherichia coli,2020,10,3650,2649,6299,57.95
Escherichia coli,2020,11,3543,2509,6052,58.54
Escherichia coli,2020,12,3330,2532,5862,56.81
Escherichia coli,2021,1,3749,2634,6383,58.73
Escherichia coli,2021,2,3354,2480,5834,57.49
Escherichia coli,2021,3,3717,2867,6584,56.46
Escherichia coli,2021,4,2933,2391,5324,55.09
Escherichia coli,2021,5,3110,2225,5335,58.29
Escherichia coli,2021,6,3144,2379,5523,56.93
Escherichia coli,2021,7,2589,2040,4629,55.93
Escherichia coli,2021,8,2620,1992,4612,56.81
Escherichia coli,2021,9,2741,2043,4784,57.3
Escherichia coli,2021,10,2675,2126,4801,55.72
Escherichia coli,2021,11,2614,2165,4779,54.7
Escherichia coli,2021,12,2524,2114,4638,54.42
Escherichia coli,2022,1,2876,2291,5167,55.66
Escherichia coli,2022,2,2350,2144,4494,52.29
Escherichia coli,2022,3,2490,2345,4835,51.5
Escherichia coli,2022,4,2418,2172,4590,52.68
Escherichia coli,2022,5,2460,2170,4630,53.13
Escherichia coli,2022,6,2318,2308,4626,50.11
Escherichia coli,2022,7,1529,1658,3187,47.98
