organism_full,year_val,month_val,count_R,count_S,total_count,percent_R
Haemophilus influenzae,2015,1,6,61,67,8.96
Haemophilus influenzae,2015,2,10,67,77,12.99
Haemophilus influenzae,2015,3,9,70,79,11.39
Haemophilus influenzae,2015,4,6,53,59,10.17
Haemophilus influenzae,2015,5,8,36,44,18.18
Haemophilus influenzae,2015,6,3,27,30,10.0
Haemophilus influenzae,2015,7,8,29,37,21.62
Haemophilus influenzae,2015,8,2,32,34,5.88
Haemophilus influenzae,2015,9,4,39,43,9.3
Haemophilus influenzae,2015,10,6,52,58,10.34
Haemophilus influenzae,2015,11,3,44,47,6.38
Haemophilus influenzae,2015,12,7,47,54,12.96
Haemophilus influenzae,2016,1,11,92,103,10.68
Haemophilus influenzae,2016,2,21,145,166,12.65
Haemophilus influenzae,2016,3,11,173,184,5.98
Haemophilus influenzae,2016,4,9,106,115,7.83
Haemophilus influenzae,2016,5,2,67,69,2.9
Haemophilus influenzae,2016,6,7,75,82,8.54
Haemophilus influenzae,2016,7,6,85,91,6.59
Haemophilus influenzae,2016,8,5,79,84,5.95
Haemophilus influenzae,2016,9,10,60,70,14.29
Haemophilus influenzae,2016,10,10,89,99,10.1
Haemophilus influenzae,2016,11,8,60,68,11.76
Haemophilus influenzae,2016,12,4,89,93,4.3
Haemophilus influenzae,2017,1,10,173,183,5.46
Haemophilus influenzae,2017,2,18,175,193,9.33
Haemophilus influenzae,2017,3,10,193,203,4.93
Haemophilus influenzae,2017,4,12,138,150,8.0
Haemophilus influenzae,2017,5,9,112,121,7.44
Haemophilus influenzae,2017,6,11,124,135,8.15
Haemophilus influenzae,2017,7,11,138,149,7.38
Haemophilus influenzae,2017,8,8,126,134,5.97
Haemophilus influenzae,2017,9,11,173,184,5.98
Haemophilus influenzae,2017,10,11,137,148,7.43
Haemophilus influenzae,2017,11,10,88,98,10.2
Haemophilus influenzae,2017,12,10,142,152,6.58
Haemophilus influenzae,2018,1,5,200,205,2.44
Haemophilus influenzae,2018,2,15,246,261,5.75
Haemophilus influenzae,2018,3,18,256,274,6.57
Haemophilus influenzae,2018,4,8,166,174,4.6
Haemophilus influenzae,2018,5,11,111,122,9.02
Haemophilus influenzae,2018,6,6,121,127,4.72
Haemophilus influenzae,2018,7,9,122,131,6.87
Haemophilus influenzae,2018,8,9,150,159,5.66
Haemophilus influenzae,2018,9,16,145,161,9.94
Haemophilus influenzae,2018,10,13,133,146,8.9
Haemophilus influenzae,2018,11,11,123,134,8.21
Haemophilus influenzae,2018,12,6,115,121,4.96
Haemophilus influenzae,2019,1,18,164,182,9.89
Haemophilus influenzae,2019,2,12,167,179,6.7
Haemophilus influenzae,2019,3,17,184,201,8.46
Haemophilus influenzae,2019,4,10,148,158,6.33
Haemophilus influenzae,2019,5,10,114,124,8.06
Haemophilus influenzae,2019,6,6,105,111,5.41
Haemophilus influenzae,2019,7,4,108,112,3.57
Haemophilus influenzae,2019,8,6,106,112,5.36
Haemophilus influenzae,2019,9,9,132,141,6.38
Haemophilus influenzae,2019,10,7,132,139,5.04
Haemophilus influenzae,2019,11,8,128,136,5.88
Haemophilus influenzae,2019,12,10,147,157,6.37
Haemophilus influenzae,2020,1,10,214,224,4.46
Haemophilus influenzae,2020,2,4,149,153,2.61
Haemophilus influenzae,2020,3,1,87,88,1.14
Haemophilus influenzae,2020,4,3,52,55,5.45
Haemophilus influenzae,2020,5,3,23,26,11.54
Haemophilus influenzae,2020,6,1,34,35,2.86
Haemophilus influenzae,2020,7,1,36,37,2.7
Haemophilus influenzae,2020,8,4,38,42,9.52
Haemophilus influenzae,2020,9,3,43,46,6.52
Haemophilus influenzae,2020,10,2,29,31,6.45
Haemophilus influenzae,2020,11,3,56,59,5.08
Haemophilus influenzae,2020,12,1,37,38,2.63
Haemophilus influenzae,2021,1,1,47,48,2.08
Haemophilus influenzae,2021,2,0,45,45,0.0
Haemophilus influenzae,2021,3,1,45,46,2.17
Haemophilus influenzae,2021,4,1,37,38,2.63
Haemophilus influenzae,2021,5,0,22,22,0.0
Haemophilus influenzae,2021,6,0,9,9,0.0
Haemophilus influenzae,2021,7,3,14,17,17.65
Haemophilus influenzae,2021,8,2,4,6,33.33
Haemophilus influenzae,2021,9,0,7,7,0.0
Haemophilus influenzae,2021,10,0,8,8,0.0
Haemophilus influenzae,2021,11,1,10,11,9.09
Haemophilus influenzae,2021,12,0,9,9,0.0
Haemophilus influenzae,2022,1,1,13,14,7.14
Haemophilus influenzae,2022,2,1,7,8,12.5
Haemophilus influenzae,2022,3,0,12,12,0.0
Haemophilus influenzae,2022,4,1,9,10,10.0
Haemophilus influenzae,2022,5,5,9,14,35.71
Haemophilus influenzae,2022,6,1,16,17,5.88
Haemophilus influenzae,2022,7,1,13,14,7.14
Haemophilus influenzae,2022,8,0,13,13,0.0
Haemophilus influenzae,2022,9,1,21,22,4.55
Haemophilus influenzae,2022,10,0,37,37,0.0
Haemophilus influenzae,2022,11,4,36,40,10.0
Haemophilus influenzae,2022,12,1,39,40,2.5
Haemophilus influenzae,2023,1,2,100,102,1.96
Haemophilus influenzae,2023,2,4,115,119,3.36
Haemophilus influenzae,2023,3,5,122,127,3.94
Haemophilus influenzae,2023,4,4,86,90,4.44
Haemophilus influenzae,2023,5,2,72,74,2.7
Haemophilus influenzae,2023,6,1,60,61,1.64
Haemophilus influenzae,2023,7,2,42,44,4.55
Haemophilus influenzae,2023,8,1,49,50,2.0
Haemophilus influenzae,2023,9,2,73,75,2.67
Haemophilus influenzae,2023,10,1,74,75,1.33
Haemophilus influenzae,2023,11,4,72,76,5.26
Haemophilus influenzae,2023,12,3,106,109,2.75
Haemophilus influenzae,2024,1,2,137,139,1.44
Haemophilus influenzae,2024,2,8,139,147,5.44
Haemophilus influenzae,2024,3,2,136,138,1.45
Haemophilus influenzae,2024,4,4,111,115,3.48
Haemophilus influenzae,2024,5,4,85,89,4.49
Haemophilus influenzae,2024,6,2,51,53,3.77
Haemophilus influenzae,2024,7,2,59,61,3.28
Haemophilus influenzae,2024,8,1,80,81,1.23
Haemophilus influenzae,2024,9,5,85,90,5.56
Haemophilus influenzae,2024,10,4,100,104,3.85
Haemophilus influenzae,2024,11,2,65,67,2.99
Haemophilus influenzae,2024,12,6,58,64,9.38
