organism_full,year_val,month_val,count_R,count_S,total_count,percent_R
Klebsiella pneumoniae,2015,1,668,881,1549,43.12
Klebsiella pneumoniae,2015,2,554,780,1334,41.53
Klebsiella pneumoniae,2015,3,553,762,1315,42.05
Klebsiella pneumoniae,2015,4,564,800,1364,41.35
Klebsiella pneumoniae,2015,5,616,873,1489,41.37
Klebsiella pneumoniae,2015,6,589,773,1362,43.25
Klebsiella pneumoniae,2015,7,686,1026,1712,40.07
Klebsiella pneumoniae,2015,8,668,965,1633,40.91
Klebsiella pneumoniae,2015,9,722,843,1565,46.13
Klebsiella pneumoniae,2015,10,679,858,1537,44.18
Klebsiella pneumoniae,2015,11,608,726,1334,45.58
Klebsiella pneumoniae,2015,12,716,811,1527,46.89
Klebsiella pneumoniae,2016,1,1170,1377,2547,45.94
Klebsiella pneumoniae,2016,2,983,1292,2275,43.21
Klebsiella pneumoniae,2016,3,1091,1384,2475,44.08
Klebsiella pneumoniae,2016,4,994,1379,2373,41.89
Klebsiella pneumoniae,2016,5,991,1337,2328,42.57
Klebsiella pneumoniae,2016,6,1028,1364,2392,42.98
Klebsiella pneumoniae,2016,7,1065,1421,2486,42.84
Klebsiella pneumoniae,2016,8,1036,1465,2501,41.42
Klebsiella pneumoniae,2016,9,1054,1514,2568,41.04
Klebsiella pneumoniae,2016,10,1209,1558,2767,43.69
Klebsiella pneumoniae,2016,11,1159,1450,2609,44.42
Klebsiella pneumoniae,2016,12,1153,1479,2632,43.81
Klebsiella pneumoniae,2017,1,2159,2340,4499,47.99
Klebsiella pneumoniae,2017,2,1802,2068,3870,46.56
Klebsiella pneumoniae,2017,3,1952,2230,4182,46.68
Klebsiella pneumoniae,2017,4,1819,2154,3973,45.78
Klebsiella pneumoniae,2017,5,1865,2094,3959,47.11
Klebsiella pneumoniae,2017,6,2021,2266,4287,47.14
Klebsiella pneumoniae,2017,7,2138,2497,4635,46.13
Klebsiella pneumoniae,2017,8,2186,2381,4567,47.87
Klebsiella pneumoniae,2017,9,1975,2284,4259,46.37
Klebsiella pneumoniae,2017,10,2101,2329,4430,47.43
Klebsiella pneumoniae,2017,11,1800,2156,3956,45.5
Klebsiella pneumoniae,2017,12,1842,2258,4100,44.93
Klebsiella pneumoniae,2018,1,2220,2360,4580,48.47
Klebsiella pneumoniae,2018,2,1832,1908,3740,48.98
Klebsiella pneumoniae,2018,3,2013,2164,4177,48.19
Klebsiella pneumoniae,2018,4,1791,2062,3853,46.48
Klebsiella pneumoniae,2018,5,1890,2139,4029,46.91
Klebsiella pneumoniae,2018,6,1857,2087,3944,47.08
Klebsiella pneumoniae,2018,7,1996,2142,4138,48.24
Klebsiella pneumoniae,2018,8,2057,2277,4334,47.46
Klebsiella pneumoniae,2018,9,2040,2197,4237,48.15
Klebsiella pneumoniae,2018,10,2098,2135,4233,49.56
Klebsiella pneumoniae,2018,11,1841,2241,4082,45.1
Klebsiella pneumoniae,2018,12,1746,2145,3891,44.87
Klebsiella pneumoniae,2019,1,2784,2990,5774,48.22
Klebsiella pneumoniae,2019,2,2232,2431,4663,47.87
Klebsiella pneumoniae,2019,3,2347,2748,5095,46.06
Klebsiella pneumoniae,2019,4,2224,2689,4913,45.27
Klebsiella pneumoniae,2019,5,2240,2612,4852,46.17
Klebsiella pneumoniae,2019,6,2080,2281,4361,47.7
Klebsiella pneumoniae,2019,7,2134,2336,4470,47.74
Klebsiella pneumoniae,2019,8,2197,2398,4595,47.81
Klebsiella pneumoniae,2019,9,2131,2438,4569,46.64
Klebsiella pneumoniae,2019,10,2181,2348,4529,48.16
Klebsiella pneumoniae,2019,11,1838,2003,3841,47.85
Klebsiella pneumoniae,2019,12,1742,1936,3678,47.36
Klebsiella pneumoniae,2020,1,2750,2728,5478,50.2
Klebsiella pneumoniae,2020,2,1958,2125,4083,47.95
Klebsiella pneumoniae,2020,3,1973,2039,4012,49.18
Klebsiella pneumoniae,2020,4,1576,1858,3434,45.89
Klebsiella pneumoniae,2020,5,1812,2086,3898,46.49
Klebsiella pneumoniae,2020,6,1836,2153,3989,46.03
Klebsiella pneumoniae,2020,7,2081,2085,4166,49.95
Klebsiella pneumoniae,2020,8,2271,2274,4545,49.97
Klebsiella pneumoniae,2020,9,2023,2116,4139,48.88
Klebsiella pneumoniae,2020,10,2316,2275,4591,50.45
Klebsiella pneumoniae,2020,11,2119,2197,4316,49.1
Klebsiella pneumoniae,2020,12,1983,2066,4049,48.98
Klebsiella pneumoniae,2021,1,2579,2371,4950,52.1
Klebsiella pneumoniae,2021,2,2099,2129,4228,49.65
Klebsiella pneumoniae,2021,3,2381,2405,4786,49.75
Klebsiella pneumoniae,2021,4,2117,2224,4341,48.77
Klebsiella pneumoniae,2021,5,2209,2087,4296,51.42
Klebsiella pneumoniae,2021,6,2194,2234,4428,49.55
Klebsiella pneumoniae,2021,7,1921,2109,4030,47.67
Klebsiella pneumoniae,2021,8,1940,2118,4058,47.81
Klebsiella pneumoniae,2021,9,1886,2023,3909,48.25
Klebsiella pneumoniae,2021,10,1942,2067,4009,48.44
Klebsiella pneumoniae,2021,11,1870,1938,3808,49.11
Klebsiella pneumoniae,2021,12,1689,1996,3685,45.83
Klebsiella pneumoniae,2022,1,2152,1881,4033,53.36
Klebsiella pneumoniae,2022,2,1694,1672,3366,50.33
Klebsiella pneumoniae,2022,3,1888,1904,3792,49.79
Klebsiella pneumoniae,2022,4,1880,1809,3689,50.96
Klebsiella pneumoniae,2022,5,1860,1770,3630,51.24
Klebsiella pneumoniae,2022,6,1833,1818,3651,50.21
Klebsiella pneumoniae,2022,7,1337,1456,2793,47.87
Klebsiella pneumoniae,2022,8,1376,1371,2747,50.09
Klebsiella pneumoniae,2022,9,1436,1337,2773,51.79
Klebsiella pneumoniae,2022,10,1391,1377,2768,50.25
Klebsiella pneumoniae,2022,11,1315,1151,2466,53.33
Klebsiella pneumoniae,2022,12,1242,1276,2518,49.32
Klebsiella pneumoniae,2023,1,2642,2136,4778,55.3
Klebsiella pneumoniae,2023,2,2155,1864,4019,53.62
Klebsiella pneumoniae,2023,3,2180,2032,4212,51.76
Klebsiella pneumoniae,2023,4,2031,2020,4051,50.14
Klebsiella pneumoniae,2023,5,2082,2258,4340,47.97
Klebsiella pneumoniae,2023,6,2103,2033,4136,50.85
Klebsiella pneumoniae,2023,7,2030,1871,3901,52.04
Klebsiella pneumoniae,2023,8,2048,1944,3992,51.3
Klebsiella pneumoniae,2023,9,2092,1787,3879,53.93
Klebsiella pneumoniae,2023,10,2113,1938,4051,52.16
Klebsiella pneumoniae,2023,11,1843,1784,3627,50.81
Klebsiella pneumoniae,2023,12,1776,1799,3575,49.68
Klebsiella pneumoniae,2024,1,2461,2014,4475,54.99
Klebsiella pneumoniae,2024,2,2031,1928,3959,51.3
Klebsiella pneumoniae,2024,3,2017,1968,3985,50.61
Klebsiella pneumoniae,2024,4,1919,2105,4024,47.69
Klebsiella pneumoniae,2024,5,1806,2074,3880,46.55
Klebsiella pneumoniae,2024,6,1774,1816,3590,49.42
Klebsiella pneumoniae,2024,7,1882,1795,3677,51.18
Klebsiella pneumoniae,2024,8,2054,1858,3912,52.51
Klebsiella pneumoniae,2024,9,1823,1745,3568,51.09
Klebsiella pneumoniae,2024,10,1956,1755,3711,52.71
Klebsiella pneumoniae,2024,11,1687,1532,3219,52.41
Klebsiella pneumoniae,2024,12,1670,1523,3193,52.3
