organism_full,year_val,month_val,count_R,count_S,total_count,percent_R
Pseudomonas aeruginosa,2015,1,259,523,782,33.12
Pseudomonas aeruginosa,2015,2,173,448,621,27.86
Pseudomonas aeruginosa,2015,3,177,374,551,32.12
Pseudomonas aeruginosa,2015,4,188,367,555,33.87
Pseudomonas aeruginosa,2015,5,222,402,624,35.58
Pseudomonas aeruginosa,2015,6,297,354,651,45.62
Pseudomonas aeruginosa,2015,7,345,523,868,39.75
Pseudomonas aeruginosa,2015,8,308,471,779,39.54
Pseudomonas aeruginosa,2015,9,334,463,797,41.91
Pseudomonas aeruginosa,2015,10,304,416,720,42.22
Pseudomonas aeruginosa,2015,11,279,343,622,44.86
Pseudomonas aeruginosa,2015,12,314,443,757,41.48
Pseudomonas aeruginosa,2016,1,507,824,1331,38.09
Pseudomonas aeruginosa,2016,2,424,633,1057,40.11
Pseudomonas aeruginosa,2016,3,393,684,1077,36.49
Pseudomonas aeruginosa,2016,4,344,663,1007,34.16
Pseudomonas aeruginosa,2016,5,306,618,924,33.12
Pseudomonas aeruginosa,2016,6,349,691,1040,33.56
Pseudomonas aeruginosa,2016,7,414,823,1237,33.47
Pseudomonas aeruginosa,2016,8,405,778,1183,34.23
Pseudomonas aeruginosa,2016,9,400,809,1209,33.09
Pseudomonas aeruginosa,2016,10,438,830,1268,34.54
Pseudomonas aeruginosa,2016,11,340,806,1146,29.67
Pseudomonas aeruginosa,2016,12,339,754,1093,31.02
Pseudomonas aeruginosa,2017,1,785,1348,2133,36.8
Pseudomonas aeruginosa,2017,2,574,993,1567,36.63
Pseudomonas aeruginosa,2017,3,647,1003,1650,39.21
Pseudomonas aeruginosa,2017,4,550,974,1524,36.09
Pseudomonas aeruginosa,2017,5,562,967,1529,36.76
Pseudomonas aeruginosa,2017,6,639,1038,1677,38.1
Pseudomonas aeruginosa,2017,7,714,1152,1866,38.26
Pseudomonas aeruginosa,2017,8,705,1147,1852,38.07
Pseudomonas aeruginosa,2017,9,672,1000,1672,40.19
Pseudomonas aeruginosa,2017,10,727,1142,1869,38.9
Pseudomonas aeruginosa,2017,11,599,1030,1629,36.77
Pseudomonas aeruginosa,2017,12,584,1067,1651,35.37
Pseudomonas aeruginosa,2018,1,842,1289,2131,39.51
Pseudomonas aeruginosa,2018,2,495,962,1457,33.97
Pseudomonas aeruginosa,2018,3,547,985,1532,35.7
Pseudomonas aeruginosa,2018,4,546,1036,1582,34.51
Pseudomonas aeruginosa,2018,5,619,1048,1667,37.13
Pseudomonas aeruginosa,2018,6,599,1002,1601,37.41
Pseudomonas aeruginosa,2018,7,719,1024,1743,41.25
Pseudomonas aeruginosa,2018,8,672,1057,1729,38.87
Pseudomonas aeruginosa,2018,9,692,1009,1701,40.68
Pseudomonas aeruginosa,2018,10,651,982,1633,39.87
Pseudomonas aeruginosa,2018,11,558,918,1476,37.8
Pseudomonas aeruginosa,2018,12,612,892,1504,40.69
Pseudomonas aeruginosa,2019,1,907,1187,2094,43.31
Pseudomonas aeruginosa,2019,2,677,965,1642,41.23
Pseudomonas aeruginosa,2019,3,653,943,1596,40.91
Pseudomonas aeruginosa,2019,4,642,946,1588,40.43
Pseudomonas aeruginosa,2019,5,681,883,1564,43.54
Pseudomonas aeruginosa,2019,6,687,993,1680,40.89
Pseudomonas aeruginosa,2019,7,688,1056,1744,39.45
Pseudomonas aeruginosa,2019,8,660,980,1640,40.24
Pseudomonas aeruginosa,2019,9,721,922,1643,43.88
Pseudomonas aeruginosa,2019,10,657,763,1420,46.27
Pseudomonas aeruginosa,2019,11,596,741,1337,44.58
Pseudomonas aeruginosa,2019,12,534,773,1307,40.86
Pseudomonas aeruginosa,2020,1,1182,775,1957,60.4
Pseudomonas aeruginosa,2020,2,1068,505,1573,67.9
Pseudomonas aeruginosa,2020,3,891,478,1369,65.08
Pseudomonas aeruginosa,2020,4,657,470,1127,58.3
Pseudomonas aeruginosa,2020,5,782,614,1396,56.02
Pseudomonas aeruginosa,2020,6,822,593,1415,58.09
Pseudomonas aeruginosa,2020,7,1021,612,1633,62.52
Pseudomonas aeruginosa,2020,8,1091,682,1773,61.53
Pseudomonas aeruginosa,2020,9,1058,691,1749,60.49
Pseudomonas aeruginosa,2020,10,1229,687,1916,64.14
Pseudomonas aeruginosa,2020,11,1061,614,1675,63.34
Pseudomonas aeruginosa,2020,12,950,601,1551,61.25
Pseudomonas aeruginosa,2021,1,1262,653,1915,65.9
Pseudomonas aeruginosa,2021,2,1089,584,1673,65.09
Pseudomonas aeruginosa,2021,3,1159,620,1779,65.15
Pseudomonas aeruginosa,2021,4,1118,513,1631,68.55
Pseudomonas aeruginosa,2021,5,1117,510,1627,68.65
Pseudomonas aeruginosa,2021,6,1221,457,1678,72.77
Pseudomonas aeruginosa,2021,7,1087,458,1545,70.36
Pseudomonas aeruginosa,2021,8,1165,449,1614,72.18
Pseudomonas aeruginosa,2021,9,1150,429,1579,72.83
Pseudomonas aeruginosa,2021,10,1180,446,1626,72.57
Pseudomonas aeruginosa,2021,11,1199,371,1570,76.37
Pseudomonas aeruginosa,2021,12,1114,361,1475,75.53
Pseudomonas aeruginosa,2022,1,1013,577,1590,63.71
Pseudomonas aeruginosa,2022,2,861,392,1253,68.72
Pseudomonas aeruginosa,2022,3,914,492,1406,65.01
Pseudomonas aeruginosa,2022,4,939,467,1406,66.79
Pseudomonas aeruginosa,2022,5,1049,512,1561,67.2
Pseudomonas aeruginosa,2022,6,1037,507,1544,67.16
Pseudomonas aeruginosa,2022,7,615,461,1076,57.16
Pseudomonas aeruginosa,2022,8,666,512,1178,56.54
Pseudomonas aeruginosa,2022,9,590,488,1078,54.73
Pseudomonas aeruginosa,2022,10,537,457,994,54.02
Pseudomonas aeruginosa,2022,11,489,340,829,58.99
Pseudomonas aeruginosa,2022,12,491,330,821,59.81
Pseudomonas aeruginosa,2023,1,1370,651,2021,67.79
Pseudomonas aeruginosa,2023,2,992,464,1456,68.13
Pseudomonas aeruginosa,2023,3,1023,474,1497,68.34
Pseudomonas aeruginosa,2023,4,913,457,1370,66.64
Pseudomonas aeruginosa,2023,5,1093,526,1619,67.51
Pseudomonas aeruginosa,2023,6,1140,550,1690,67.46
Pseudomonas aeruginosa,2023,7,1043,516,1559,66.9
Pseudomonas aeruginosa,2023,8,1109,463,1572,70.55
Pseudomonas aeruginosa,2023,9,1118,473,1591,70.27
Pseudomonas aeruginosa,2023,10,1160,518,1678,69.13
Pseudomonas aeruginosa,2023,11,1090,459,1549,70.37
Pseudomonas aeruginosa,2023,12,915,372,1287,71.1
Pseudomonas aeruginosa,2024,1,1232,469,1701,72.43
Pseudomonas aeruginosa,2024,2,1032,325,1357,76.05
Pseudomonas aeruginosa,2024,3,946,312,1258,75.2
Pseudomonas aeruginosa,2024,4,922,356,1278,72.14
Pseudomonas aeruginosa,2024,5,991,361,1352,73.3
Pseudomonas aeruginosa,2024,6,1052,315,1367,76.96
Pseudomonas aeruginosa,2024,7,1119,395,1514,73.91
Pseudomonas aeruginosa,2024,8,1235,315,1550,79.68
Pseudomonas aeruginosa,2024,9,1151,346,1497,76.89
Pseudomonas aeruginosa,2024,10,1288,385,1673,76.99
Pseudomonas aeruginosa,2024,11,992,346,1338,74.14
Pseudomonas aeruginosa,2024,12,930,278,1208,76.99
