organism_full,year_val,month_val,count_R,count_S,total_count,percent_R
Salmonella spp.,2015,1,39,101,140,27.86
Salmonella spp.,2015,2,19,84,103,18.45
Salmonella spp.,2015,3,38,129,167,22.75
Salmonella spp.,2015,4,28,95,123,22.76
Salmonella spp.,2015,5,34,123,157,21.66
Salmonella spp.,2015,6,16,94,110,14.55
Salmonella spp.,2015,7,31,127,158,19.62
Salmonella spp.,2015,8,27,109,136,19.85
Salmonella spp.,2015,9,28,107,135,20.74
Salmonella spp.,2015,10,20,74,94,21.28
Salmonella spp.,2015,11,13,58,71,18.31
Salmonella spp.,2015,12,26,96,122,21.31
Salmonella spp.,2016,1,44,204,248,17.74
Salmonella spp.,2016,2,28,144,172,16.28
Salmonella spp.,2016,3,50,203,253,19.76
Salmonella spp.,2016,4,41,187,228,17.98
Salmonella spp.,2016,5,70,236,306,22.88
Salmonella spp.,2016,6,50,237,287,17.42
Salmonella spp.,2016,7,48,229,277,17.33
Salmonella spp.,2016,8,56,172,228,24.56
Salmonella spp.,2016,9,61,161,222,27.48
Salmonella spp.,2016,10,35,162,197,17.77
Salmonella spp.,2016,11,24,148,172,13.95
Salmonella spp.,2016,12,27,171,198,13.64
Salmonella spp.,2017,1,51,288,339,15.04
Salmonella spp.,2017,2,53,254,307,17.26
Salmonella spp.,2017,3,54,313,367,14.71
Salmonella spp.,2017,4,61,313,374,16.31
Salmonella spp.,2017,5,63,293,356,17.7
Salmonella spp.,2017,6,61,358,419,14.56
Salmonella spp.,2017,7,49,309,358,13.69
Salmonella spp.,2017,8,39,309,348,11.21
Salmonella spp.,2017,9,31,307,338,9.17
Salmonella spp.,2017,10,43,297,340,12.65
Salmonella spp.,2017,11,41,245,286,14.34
Salmonella spp.,2017,12,44,234,278,15.83
Salmonella spp.,2018,1,34,325,359,9.47
Salmonella spp.,2018,2,46,259,305,15.08
Salmonella spp.,2018,3,43,309,352,12.22
Salmonella spp.,2018,4,24,265,289,8.3
Salmonella spp.,2018,5,38,315,353,10.76
Salmonella spp.,2018,6,41,256,297,13.8
Salmonella spp.,2018,7,35,265,300,11.67
Salmonella spp.,2018,8,42,272,314,13.38
Salmonella spp.,2018,9,38,231,269,14.13
Salmonella spp.,2018,10,37,268,305,12.13
Salmonella spp.,2018,11,33,214,247,13.36
Salmonella spp.,2018,12,31,219,250,12.4
Salmonella spp.,2019,1,37,235,272,13.6
Salmonella spp.,2019,2,26,284,310,8.39
Salmonella spp.,2019,3,48,283,331,14.5
Salmonella spp.,2019,4,63,349,412,15.29
Salmonella spp.,2019,5,60,335,395,15.19
Salmonella spp.,2019,6,42,311,353,11.9
Salmonella spp.,2019,7,37,255,292,12.67
