organism_full,year_val,month_val,count_R,count_S,total_count,percent_R
Staphylococcus aureus,2015,1,203,481,684,29.68
Staphylococcus aureus,2015,2,156,375,531,29.38
Staphylococcus aureus,2015,3,176,369,545,32.29
Staphylococcus aureus,2015,4,168,393,561,29.95
Staphylococcus aureus,2015,5,174,480,654,26.61
Staphylococcus aureus,2015,6,159,377,536,29.66
Staphylococcus aureus,2015,7,168,472,640,26.25
Staphylococcus aureus,2015,8,148,511,659,22.46
Staphylococcus aureus,2015,9,149,478,627,23.76
Staphylococcus aureus,2015,10,162,428,590,27.46
Staphylococcus aureus,2015,11,154,367,521,29.56
Staphylococcus aureus,2015,12,177,435,612,28.92
Staphylococcus aureus,2016,1,298,633,931,32.01
Staphylococcus aureus,2016,2,276,608,884,31.22
Staphylococcus aureus,2016,3,302,723,1025,29.46
Staphylococcus aureus,2016,4,265,695,960,27.6
Staphylococcus aureus,2016,5,276,745,1021,27.03
Staphylococcus aureus,2016,6,244,760,1004,24.3
Staphylococcus aureus,2016,7,283,808,1091,25.94
Staphylococcus aureus,2016,8,271,802,1073,25.26
Staphylococcus aureus,2016,9,235,775,1010,23.27
Staphylococcus aureus,2016,10,228,750,978,23.31
Staphylococcus aureus,2016,11,203,800,1003,20.24
Staphylococcus aureus,2016,12,210,808,1018,20.63
Staphylococcus aureus,2017,1,419,1271,1690,24.79
Staphylococcus aureus,2017,2,332,1134,1466,22.65
Staphylococcus aureus,2017,3,340,1207,1547,21.98
Staphylococcus aureus,2017,4,319,1138,1457,21.89
Staphylococcus aureus,2017,5,302,1229,1531,19.73
Staphylococcus aureus,2017,6,281,1221,1502,18.71
Staphylococcus aureus,2017,7,307,1289,1596,19.24
Staphylococcus aureus,2017,8,296,1348,1644,18.0
Staphylococcus aureus,2017,9,293,1196,1489,19.68
Staphylococcus aureus,2017,10,287,1113,1400,20.5
Staphylococcus aureus,2017,11,302,1169,1471,20.53
Staphylococcus aureus,2017,12,293,1087,1380,21.23
Staphylococcus aureus,2018,1,324,1223,1547,20.94
Staphylococcus aureus,2018,2,264,993,1257,21.0
Staphylococcus aureus,2018,3,302,1141,1443,20.93
Staphylococcus aureus,2018,4,292,986,1278,22.85
Staphylococcus aureus,2018,5,275,1152,1427,19.27
Staphylococcus aureus,2018,6,269,1240,1509,17.83
Staphylococcus aureus,2018,7,262,1276,1538,17.04
Staphylococcus aureus,2018,8,246,1355,1601,15.37
Staphylococcus aureus,2018,9,281,1188,1469,19.13
Staphylococcus aureus,2018,10,270,1198,1468,18.39
Staphylococcus aureus,2018,11,244,1149,1393,17.52
Staphylococcus aureus,2018,12,217,1055,1272,17.06
Staphylococcus aureus,2019,1,316,1309,1625,19.45
Staphylococcus aureus,2019,2,257,1206,1463,17.57
Staphylococcus aureus,2019,3,305,1241,1546,19.73
Staphylococcus aureus,2019,4,312,1309,1621,19.25
Staphylococcus aureus,2019,5,317,1344,1661,19.08
Staphylococcus aureus,2019,6,237,1148,1385,17.11
Staphylococcus aureus,2019,7,214,1263,1477,14.49
Staphylococcus aureus,2019,8,210,1260,1470,14.29
