organism_full,year_val,month_val,count_R,count_S,total_count,percent_R
Acinetobacter baumannii,2015,1,1211,156,1367,88.59
Acinetobacter baumannii,2015,2,989,115,1104,89.58
Acinetobacter baumannii,2015,3,1011,113,1124,89.95
Acinetobacter baumannii,2015,4,949,117,1066,89.02
Acinetobacter baumannii,2015,5,1050,158,1208,86.92
Acinetobacter baumannii,2015,6,985,154,1139,86.48
Acinetobacter baumannii,2015,7,1154,172,1326,87.03
Acinetobacter baumannii,2015,8,1114,190,1304,85.43
Acinetobacter baumannii,2015,9,1109,159,1268,87.46
Acinetobacter baumannii,2015,10,1021,178,1199,85.15
Acinetobacter baumannii,2015,11,943,150,1093,86.28
Acinetobacter baumannii,2015,12,1210,129,1339,90.37
Acinetobacter baumannii,2016,1,2040,251,2291,89.04
Acinetobacter baumannii,2016,2,1821,214,2035,89.48
Acinetobacter baumannii,2016,3,1845,230,2075,88.92
Acinetobacter baumannii,2016,4,1802,271,2073,86.93
Acinetobacter baumannii,2016,5,1666,327,1993,83.59
Acinetobacter baumannii,2016,6,1619,327,1946,83.2
Acinetobacter baumannii,2016,7,1672,320,1992,83.94
Acinetobacter baumannii,2016,8,1755,315,2070,84.78
Acinetobacter baumannii,2016,9,1799,332,2131,84.42
Acinetobacter baumannii,2016,10,1961,348,2309,84.93
Acinetobacter baumannii,2016,11,1695,316,2011,84.29
Acinetobacter baumannii,2016,12,1652,252,1904,86.76
Acinetobacter baumannii,2017,1,2851,380,3231,88.24
Acinetobacter baumannii,2017,2,2231,293,2524,88.39
Acinetobacter baumannii,2017,3,2404,320,2724,88.25
Acinetobacter baumannii,2017,4,2274,375,2649,85.84
Acinetobacter baumannii,2017,5,2236,437,2673,83.65
Acinetobacter baumannii,2017,6,2248,477,2725,82.5
Acinetobacter baumannii,2017,7,2456,488,2944,83.42
Acinetobacter baumannii,2017,8,2564,508,3072,83.46
Acinetobacter baumannii,2017,9,2506,533,3039,82.46
Acinetobacter baumannii,2017,10,2581,495,3076,83.91
Acinetobacter baumannii,2017,11,2372,447,2819,84.14
Acinetobacter baumannii,2017,12,2550,473,3023,84.35
Acinetobacter baumannii,2018,1,2995,499,3494,85.72
Acinetobacter baumannii,2018,2,2453,330,2783,88.14
Acinetobacter baumannii,2018,3,2581,401,2982,86.55
Acinetobacter baumannii,2018,4,2577,380,2957,87.15
Acinetobacter baumannii,2018,5,2603,505,3108,83.75
Acinetobacter baumannii,2018,6,2507,443,2950,84.98
Acinetobacter baumannii,2018,7,2646,472,3118,84.86
Acinetobacter baumannii,2018,8,2575,432,3007,85.63
Acinetobacter baumannii,2018,9,2657,506,3163,84.0
Acinetobacter baumannii,2018,10,2625,495,3120,84.13
Acinetobacter baumannii,2018,11,2305,388,2693,85.59
Acinetobacter baumannii,2018,12,2216,411,2627,84.35
Acinetobacter baumannii,2019,1,3899,420,4319,90.28
Acinetobacter baumannii,2019,2,3107,366,3473,89.46
Acinetobacter baumannii,2019,3,3271,512,3783,86.47
Acinetobacter baumannii,2019,4,3223,604,3827,84.22
Acinetobacter baumannii,2019,5,3350,597,3947,84.87
Acinetobacter baumannii,2019,6,2969,591,3560,83.4
Acinetobacter baumannii,2019,7,3057,539,3596,85.01
Acinetobacter baumannii,2019,8,2913,540,3453,84.36
Acinetobacter baumannii,2019,9,2918,473,3391,86.05
