list_tested_classes,count_tested_classes,isolate_count
Folate pathway antagonists,1,20494
Fluoroquinolones,1,9201
Cephalosporins,1,8475
Penicillins,1,7036
Carbapenems,1,6922
β-lactam combination agents,1,3470
Aminoglycosides,1,2780
Glycopeptides,1,2726
Lipopeptides,1,1183
Lipoglycopeptides,1,294
Lincosamides,1,188
Macrolides,1,166
Phenicol,1,61
"Glycopeptides, Penicillins",2,51718
"Fluoroquinolones, Folate pathway antagonists",2,28599
"Penicillins, β-lactam combination agents",2,6552
"Cephalosporins, Fluoroquinolones",2,5373
"Fluoroquinolones, Penicillins",2,4685
"Carbapenems, Cephalosporins",2,4054
"Folate pathway antagonists, Penicillins",2,3972
"Cephalosporins, Folate pathway antagonists",2,3389
"Macrolides, Penicillins",2,2923
"Cephalosporins, Glycopeptides",2,2694
"Cephalosporins, β-lactam combination agents",2,2658
"Carbapenems, Fluoroquinolones",2,2494
"Cephalosporins, Penicillins",2,2345
"Carbapenems, Folate pathway antagonists",2,2160
"Lincosamides, Macrolides",2,1996
"Carbapenems, Lipopeptides",2,1871
"Aminoglycosides, Folate pathway antagonists",2,1704
"Fluoroquinolones, β-lactam combination agents",2,1636
"Carbapenems, β-lactam combination agents",2,1186
"Aminoglycosides, Penicillins",2,1059
"Aminoglycosides, Cephalosporins",2,989
"Fluoroquinolones, Glycopeptides",2,596
"Cephalosporins, Lincosamides",2,590
"Aminoglycosides, β-lactam combination agents",2,485
"Aminoglycosides, Fluoroquinolones",2,384
"Glycopeptides, Macrolides",2,354
"Aminoglycosides, Carbapenems",2,300
"Glycopeptides, Lincosamides",2,262
"Folate pathway antagonists, Glycopeptides",2,236
"Lincosamides, Penicillins",2,215
"Cephalosporins, Macrolides",2,200
"Folate pathway antagonists, Lincosamides",2,195
"Tetracycline, Tetracyclines",2,185
"Aminoglycosides, Glycopeptides",2,147
"Penicillins, Phenicol",2,133
"Carbapenems, Penicillins",2,110
"Folate pathway antagonists, β-lactam combination agents",2,88
"Fluoroquinolones, Macrolides",2,66
"Aminoglycosides, Lincosamides",2,61
"Folate pathway antagonists, Macrolides",2,61
"Lipoglycopeptides, Penicillins",2,61
"Aminoglycosides, Macrolides",2,58
"Cephalosporins, Phenicol",2,25
"Glycopeptides, Phenicol",2,24
"Folate pathway antagonists, Phenicol",2,20
"Lincosamides, Phenicol",2,20
"Macrolides, Phenicol",2,19
"Fluoroquinolones, Lipoglycopeptides",2,16
"Fluoroquinolones, Lincosamides",2,15
"Fluoroquinolones, Lipopeptides",2,14
"Cephalosporins, Lipopeptides",2,12
"Fluoroquinolones, Phenicol",2,11
"Glycopeptides, Lipoglycopeptides",2,10
"Carbapenems, Glycopeptides",2,8
"Folate pathway antagonists, Lipopeptides",2,8
"Aminoglycosides, Lipopeptides",2,7
"Lipoglycopeptides, Macrolides",2,7
"Lipopeptides, β-lactam combination agents",2,7
"Aminoglycosides, Lipoglycopeptides",2,6
"Aminoglycosides, Phenicol",2,2
"Carbapenems, Phenicol",2,2
"Lincosamides, β-lactam combination agents",2,2
"Carbapenems, Lincosamides",2,1
"Carbapenems, Macrolides",2,1
"Cephalosporins, Lipoglycopeptides",2,1
"Folate pathway antagonists, Lipoglycopeptides",2,1
"Glycopeptides, Lipopeptides",2,1
"Lipopeptides, Penicillins",2,1
"Fluoroquinolones, Glycopeptides, Penicillins",3,40246
"Aminoglycosides, Glycopeptides, Penicillins",3,18991
