organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Staphylococcus aureus,2018,11,icu,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2020,1,icu,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2020,1,icu,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",1,5,20.0
Staphylococcus aureus,2020,1,icu,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2020,2,icu,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2020,2,icu,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2020,3,icu,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,5,40.0
Staphylococcus aureus,2020,3,icu,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2020,4,icu,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,9,22.22
Staphylococcus aureus,2020,4,icu,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,9,11.11
Staphylococcus aureus,2020,4,icu,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",1,9,11.11
Staphylococcus aureus,2020,4,icu,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,9,11.11
Staphylococcus aureus,2020,5,icu,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,6,16.67
Staphylococcus aureus,2020,6,icu,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,9,22.22
Staphylococcus aureus,2020,6,icu,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,9,11.11
Staphylococcus aureus,2020,6,icu,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,9,11.11
Staphylococcus aureus,2020,6,icu,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,9,11.11
Staphylococcus aureus,2020,7,icu,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",1,5,20.0
Staphylococcus aureus,2020,7,icu,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2020,7,icu,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2020,8,icu,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2020,8,icu,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,8,12.5
Staphylococcus aureus,2020,8,icu,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,8,12.5
Staphylococcus aureus,2020,9,icu,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,4,25.0
Staphylococcus aureus,2020,9,icu,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",1,4,25.0
Staphylococcus aureus,2020,10,icu,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,3,33.33
Staphylococcus aureus,2020,11,icu,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,5,40.0
Staphylococcus aureus,2020,11,icu,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,5,20.0
Staphylococcus aureus,2020,12,icu,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,6,16.67
Staphylococcus aureus,2020,12,icu,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,6,16.67
