organism_full,year,month,Resistant_Drug_Classes,pattern_count,total_rows_in_month,percentage
Enterococcus faecalis,2015,5,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2020,1,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",12,26,46.15
Enterococcus faecalis,2020,1,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",10,26,38.46
Enterococcus faecalis,2020,1,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",4,26,15.38
Enterococcus faecalis,2020,2,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",7,19,36.84
Enterococcus faecalis,2020,2,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",6,19,31.58
Enterococcus faecalis,2020,2,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",3,19,15.79
Enterococcus faecalis,2020,2,"MACROLIDES, PHENICOLS, TETRACYCLINES",2,19,10.53
Enterococcus faecalis,2020,3,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",12,18,66.67
Enterococcus faecalis,2020,3,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",4,18,22.22
Enterococcus faecalis,2020,3,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",2,18,11.11
Enterococcus faecalis,2020,6,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,5,40.0
Enterococcus faecalis,2020,6,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,5,20.0
Enterococcus faecalis,2020,6,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,5,20.0
Enterococcus faecalis,2020,6,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,5,20.0
Enterococcus faecalis,2020,8,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2020,8,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2020,9,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,3,66.67
Enterococcus faecalis,2020,9,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,3,33.33
Enterococcus faecalis,2020,12,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,2,100.0
Enterococcus faecalis,2021,1,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,1,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,2,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,3,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,4,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,5,80.0
Enterococcus faecalis,2021,5,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,6,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,7,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,7,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2023,1,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",2,2,100.0
Enterococcus faecalis,2023,11,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2024,4,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2024,7,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2024,8,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
