organism_full,year,month,Resistant_Drug_Classes,pattern_count,total_rows_in_month,percentage
Enterococcus faecium,2015,5,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2019,8,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,1,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",14,27,51.85
Enterococcus faecium,2020,1,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",10,27,37.04
Enterococcus faecium,2020,1,"MACROLIDES, PENICILLINS, TETRACYCLINES",2,27,7.41
Enterococcus faecium,2020,1,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,27,3.7
Enterococcus faecium,2020,2,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",20,30,66.67
Enterococcus faecium,2020,2,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",6,30,20.0
Enterococcus faecium,2020,2,"MACROLIDES, PENICILLINS, TETRACYCLINES",2,30,6.67
Enterococcus faecium,2020,2,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,30,3.33
Enterococcus faecium,2020,3,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",4,8,50.0
Enterococcus faecium,2020,3,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,8,50.0
Enterococcus faecium,2020,4,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,6,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,12,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,1,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,2,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,3,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,6,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2021,6,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2021,7,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2021,7,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2021,11,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2022,6,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2022,7,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2023,10,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,1,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,5,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,8,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,9,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,10,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
