organism_full,year,month,Resistant_Drug_Classes,pattern_count,total_rows_in_month,percentage
Escherichia coli,2015,1,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",141,1009,13.97
Escherichia coli,2015,1,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,1009,11.89
Escherichia coli,2015,1,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",107,1009,10.6
Escherichia coli,2015,1,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",87,1009,8.62
Escherichia coli,2015,1,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",63,1009,6.24
Escherichia coli,2015,2,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",142,948,14.98
Escherichia coli,2015,2,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",113,948,11.92
Escherichia coli,2015,2,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",110,948,11.6
Escherichia coli,2015,2,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",97,948,10.23
Escherichia coli,2015,2,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",46,948,4.85
Escherichia coli,2015,3,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",134,869,15.42
Escherichia coli,2015,3,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",103,869,11.85
Escherichia coli,2015,3,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",82,869,9.44
Escherichia coli,2015,3,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",80,869,9.21
Escherichia coli,2015,3,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",57,869,6.56
Escherichia coli,2015,4,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",112,900,12.44
Escherichia coli,2015,4,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",100,900,11.11
Escherichia coli,2015,4,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",96,900,10.67
Escherichia coli,2015,4,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",76,900,8.44
Escherichia coli,2015,4,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",55,900,6.11
Escherichia coli,2015,5,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",125,944,13.24
Escherichia coli,2015,5,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",118,944,12.5
Escherichia coli,2015,5,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",97,944,10.28
Escherichia coli,2015,5,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",86,944,9.11
Escherichia coli,2015,5,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",62,944,6.57
Escherichia coli,2015,6,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",126,927,13.59
Escherichia coli,2015,6,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",119,927,12.84
Escherichia coli,2015,6,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",88,927,9.49
Escherichia coli,2015,6,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",82,927,8.85
Escherichia coli,2015,6,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",58,927,6.26
Escherichia coli,2015,7,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",126,955,13.19
Escherichia coli,2015,7,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",111,955,11.62
Escherichia coli,2015,7,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",111,955,11.62
Escherichia coli,2015,7,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",97,955,10.16
Escherichia coli,2015,7,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",60,955,6.28
Escherichia coli,2015,8,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",123,893,13.77
Escherichia coli,2015,8,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",109,893,12.21
Escherichia coli,2015,8,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",89,893,9.97
Escherichia coli,2015,8,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",79,893,8.85
Escherichia coli,2015,8,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",48,893,5.38
Escherichia coli,2015,9,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",127,940,13.51
Escherichia coli,2015,9,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",103,940,10.96
Escherichia coli,2015,9,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",94,940,10.0
Escherichia coli,2015,9,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",81,940,8.62
Escherichia coli,2015,9,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",60,940,6.38
Escherichia coli,2015,10,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",137,913,15.01
Escherichia coli,2015,10,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",99,913,10.84
Escherichia coli,2015,10,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",86,913,9.42
Escherichia coli,2015,10,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",72,913,7.89
Escherichia coli,2015,10,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",51,913,5.59
Escherichia coli,2015,11,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",94,734,12.81
Escherichia coli,2015,11,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",86,734,11.72
Escherichia coli,2015,11,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",79,734,10.76
Escherichia coli,2015,11,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",62,734,8.45
Escherichia coli,2015,11,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",45,734,6.13
Escherichia coli,2015,12,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",126,855,14.74
Escherichia coli,2015,12,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",108,855,12.63
Escherichia coli,2015,12,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",96,855,11.23
Escherichia coli,2015,12,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",83,855,9.71
Escherichia coli,2015,12,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",58,855,6.78
Escherichia coli,2016,1,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",206,1505,13.69
