organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Escherichia coli,2015,1,out,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",25,143,17.48
Escherichia coli,2015,1,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",20,143,13.99
Escherichia coli,2015,1,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",14,143,9.79
Escherichia coli,2015,1,out,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",14,143,9.79
Escherichia coli,2015,1,out,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",6,143,4.2
Escherichia coli,2015,2,out,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",22,145,15.17
Escherichia coli,2015,2,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",18,145,12.41
Escherichia coli,2015,2,out,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",14,145,9.66
Escherichia coli,2015,2,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",10,145,6.9
Escherichia coli,2015,2,out,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",8,145,5.52
Escherichia coli,2015,3,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",17,114,14.91
Escherichia coli,2015,3,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",17,114,14.91
