organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Enterococcus faecium,2019,8,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,2,in,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS",1,2,50.0
Enterococcus faecium,2020,2,in,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2020,6,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,12,in,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,1,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,2,in,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,3,in,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,6,in,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2021,6,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2021,7,in,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2021,7,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2022,6,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2022,7,in,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS",1,2,50.0
Enterococcus faecium,2022,7,in,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2023,10,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,5,in,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,8,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
