organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Enterococcus faecalis,2020,2,in,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,3,33.33
Enterococcus faecalis,2020,2,in,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,3,33.33
Enterococcus faecalis,2020,2,in,"FLUOROQUINOLONES, PHENICOLS, TETRACYCLINES",1,3,33.33
Enterococcus faecalis,2020,6,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,3,66.67
Enterococcus faecalis,2020,6,in,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,3,33.33
Enterococcus faecalis,2020,8,in,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2020,9,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,2,100.0
Enterococcus faecalis,2020,12,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,2,100.0
Enterococcus faecalis,2021,1,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,1,in,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,3,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,4,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,4,75.0
Enterococcus faecalis,2021,4,in,"FLUOROQUINOLONES, PHENICOLS, TETRACYCLINES",1,4,25.0
Enterococcus faecalis,2021,5,in,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,6,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,7,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2023,1,in,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2023,11,in,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2024,4,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2024,8,in,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
