organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Staphylococcus aureus,2017,1,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,4,25.0
Staphylococcus aureus,2017,6,in,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2017,8,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0
Staphylococcus aureus,2017,10,in,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,6,16.67
Staphylococcus aureus,2017,11,in,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",3,7,42.86
Staphylococcus aureus,2017,12,in,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2018,3,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2018,6,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",1,2,50.0
Staphylococcus aureus,2018,6,in,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2018,7,in,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,2,50.0
Staphylococcus aureus,2018,8,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,2,100.0
Staphylococcus aureus,2018,9,in,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,2,50.0
Staphylococcus aureus,2018,10,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2018,11,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,4,25.0
Staphylococcus aureus,2019,1,in,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,3,33.33
Staphylococcus aureus,2019,1,in,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,3,33.33
Staphylococcus aureus,2019,7,in,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2019,7,in,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2019,10,in,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,3,33.33
Staphylococcus aureus,2019,12,in,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,4,75.0
Staphylococcus aureus,2019,12,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",1,4,25.0
Staphylococcus aureus,2020,1,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,34,8.82
Staphylococcus aureus,2020,1,in,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,34,8.82
Staphylococcus aureus,2020,1,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",2,34,5.88
Staphylococcus aureus,2020,1,in,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,34,5.88
Staphylococcus aureus,2020,1,in,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,34,5.88
Staphylococcus aureus,2020,2,in,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,38,13.16
Staphylococcus aureus,2020,2,in,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",4,38,10.53
Staphylococcus aureus,2020,2,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",3,38,7.89
Staphylococcus aureus,2020,2,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,38,5.26
Staphylococcus aureus,2020,2,in,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,38,5.26
Staphylococcus aureus,2020,3,in,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",5,34,14.71
Staphylococcus aureus,2020,3,in,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",4,34,11.76
Staphylococcus aureus,2020,3,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,34,8.82
Staphylococcus aureus,2020,3,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",3,34,8.82
Staphylococcus aureus,2020,3,in,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,34,5.88
Staphylococcus aureus,2020,4,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",5,23,21.74
Staphylococcus aureus,2020,4,in,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",4,23,17.39
Staphylococcus aureus,2020,4,in,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,23,8.7
Staphylococcus aureus,2020,4,in,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,23,4.35
Staphylococcus aureus,2020,5,in,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,35,14.29
Staphylococcus aureus,2020,5,in,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",4,35,11.43
Staphylococcus aureus,2020,5,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,35,8.57
Staphylococcus aureus,2020,5,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",1,35,2.86
Staphylococcus aureus,2020,5,in,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,35,2.86
Staphylococcus aureus,2020,6,in,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",4,24,16.67
Staphylococcus aureus,2020,6,in,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,24,8.33
Staphylococcus aureus,2020,6,in,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,24,8.33
Staphylococcus aureus,2020,6,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,24,4.17
Staphylococcus aureus,2020,6,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",1,24,4.17
Staphylococcus aureus,2020,7,in,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",9,35,25.71
Staphylococcus aureus,2020,7,in,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",5,35,14.29
