organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Staphylococcus aureus,2017,10,out,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,4,25.0
Staphylococcus aureus,2017,10,out,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,4,25.0
Staphylococcus aureus,2018,11,out,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2018,12,out,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2018,12,out,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2020,1,out,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,14,35.71
Staphylococcus aureus,2020,1,out,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,14,21.43
Staphylococcus aureus,2020,1,out,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,14,7.14
Staphylococcus aureus,2020,1,out,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",1,14,7.14
Staphylococcus aureus,2020,2,out,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",2,11,18.18
Staphylococcus aureus,2020,2,out,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,11,18.18
Staphylococcus aureus,2020,2,out,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,11,18.18
Staphylococcus aureus,2020,2,out,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,11,9.09
Staphylococcus aureus,2020,3,out,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",4,19,21.05
Staphylococcus aureus,2020,3,out,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",4,19,21.05
Staphylococcus aureus,2020,3,out,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,19,15.79
Staphylococcus aureus,2020,3,out,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,19,5.26
Staphylococcus aureus,2020,3,out,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",1,19,5.26
Staphylococcus aureus,2020,4,out,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",3,13,23.08
Staphylococcus aureus,2020,4,out,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,13,15.38
Staphylococcus aureus,2020,4,out,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,13,15.38
Staphylococcus aureus,2020,4,out,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",2,13,15.38
Staphylococcus aureus,2020,4,out,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,13,7.69
Staphylococcus aureus,2020,5,out,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",4,17,23.53
Staphylococcus aureus,2020,5,out,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",3,17,17.65
Staphylococcus aureus,2020,5,out,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,17,5.88
Staphylococcus aureus,2020,5,out,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",1,17,5.88
Staphylococcus aureus,2020,5,out,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,17,5.88
Staphylococcus aureus,2020,6,out,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,10,20.0
Staphylococcus aureus,2020,6,out,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,10,10.0
Staphylococcus aureus,2020,6,out,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,10,10.0
Staphylococcus aureus,2020,7,out,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",4,12,33.33
Staphylococcus aureus,2020,7,out,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",1,12,8.33
