organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Escherichia coli,2015,1,bl,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",16,143,11.19
Escherichia coli,2015,1,bl,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",15,143,10.49
Escherichia coli,2015,1,bl,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",13,143,9.09
Escherichia coli,2015,1,bl,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",10,143,6.99
Escherichia coli,2015,1,bl,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",8,143,5.59
Escherichia coli,2015,2,bl,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",17,107,15.89
Escherichia coli,2015,2,bl,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",13,107,12.15
Escherichia coli,2015,2,bl,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",11,107,10.28
Escherichia coli,2015,2,bl,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",10,107,9.35
Escherichia coli,2015,2,bl,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",6,107,5.61
Escherichia coli,2015,3,bl,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",16,121,13.22
Escherichia coli,2015,3,bl,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",15,121,12.4
Escherichia coli,2015,3,bl,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",12,121,9.92
Escherichia coli,2015,3,bl,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",8,121,6.61
Escherichia coli,2015,3,bl,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",6,121,4.96
Escherichia coli,2015,4,bl,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",12,109,11.01
