organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Escherichia coli,2015,1,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",62,444,13.96
Escherichia coli,2015,1,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",54,444,12.16
Escherichia coli,2015,1,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",47,444,10.59
Escherichia coli,2015,1,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",39,444,8.78
Escherichia coli,2015,1,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",28,444,6.31
Escherichia coli,2015,2,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",58,423,13.71
Escherichia coli,2015,2,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",54,423,12.77
Escherichia coli,2015,2,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",49,423,11.58
Escherichia coli,2015,2,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",47,423,11.11
Escherichia coli,2015,2,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",27,423,6.38
Escherichia coli,2015,3,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",71,388,18.3
Escherichia coli,2015,3,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",48,388,12.37
Escherichia coli,2015,3,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",35,388,9.02
Escherichia coli,2015,3,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",34,388,8.76
Escherichia coli,2015,3,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",24,388,6.19
Escherichia coli,2015,4,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",61,410,14.88
Escherichia coli,2015,4,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",49,410,11.95
Escherichia coli,2015,4,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",46,410,11.22
Escherichia coli,2015,4,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",43,410,10.49
Escherichia coli,2015,4,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",23,410,5.61
Escherichia coli,2015,5,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",56,424,13.21
Escherichia coli,2015,5,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",50,424,11.79
Escherichia coli,2015,5,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",50,424,11.79
Escherichia coli,2015,5,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",41,424,9.67
Escherichia coli,2015,5,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",14,424,3.3
Escherichia coli,2015,6,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",56,423,13.24
Escherichia coli,2015,6,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",54,423,12.77
Escherichia coli,2015,6,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",49,423,11.58
Escherichia coli,2015,6,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",39,423,9.22
Escherichia coli,2015,6,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",18,423,4.26
Escherichia coli,2015,7,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",54,398,13.57
Escherichia coli,2015,7,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",53,398,13.32
Escherichia coli,2015,7,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",51,398,12.81
Escherichia coli,2015,7,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",45,398,11.31
Escherichia coli,2015,7,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",20,398,5.03
Escherichia coli,2015,8,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",48,386,12.44
Escherichia coli,2015,8,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",47,386,12.18
Escherichia coli,2015,8,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",40,386,10.36
Escherichia coli,2015,8,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",32,386,8.29
Escherichia coli,2015,8,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",29,386,7.51
Escherichia coli,2015,9,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",49,385,12.73
Escherichia coli,2015,9,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",43,385,11.17
Escherichia coli,2015,9,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",42,385,10.91
Escherichia coli,2015,9,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",33,385,8.57
Escherichia coli,2015,9,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",19,385,4.94
Escherichia coli,2015,10,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",61,393,15.52
Escherichia coli,2015,10,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",42,393,10.69
Escherichia coli,2015,10,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",31,393,7.89
Escherichia coli,2015,10,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",29,393,7.38
Escherichia coli,2015,10,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",22,393,5.6
Escherichia coli,2015,11,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",47,337,13.95
Escherichia coli,2015,11,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",40,337,11.87
Escherichia coli,2015,11,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",39,337,11.57
Escherichia coli,2015,11,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",36,337,10.68
Escherichia coli,2015,11,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",15,337,4.45
Escherichia coli,2015,12,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",57,365,15.62
