organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Enterococcus faecalis,2020,1,ur,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",12,20,60.0
Enterococcus faecalis,2020,1,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",4,20,20.0
Enterococcus faecalis,2020,1,ur,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",4,20,20.0
Enterococcus faecalis,2020,2,ur,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",7,18,38.89
Enterococcus faecalis,2020,2,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",6,18,33.33
Enterococcus faecalis,2020,2,ur,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",3,18,16.67
Enterococcus faecalis,2020,2,ur,"MACROLIDES, PHENICOLS, TETRACYCLINES",2,18,11.11
Enterococcus faecalis,2020,3,ur,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",10,14,71.43
Enterococcus faecalis,2020,3,ur,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",4,14,28.57
Enterococcus faecalis,2020,6,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,5,40.0
Enterococcus faecalis,2020,6,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,5,20.0
Enterococcus faecalis,2020,6,ur,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,5,20.0
Enterococcus faecalis,2020,6,ur,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,5,20.0
Enterococcus faecalis,2020,8,ur,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2020,8,ur,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2020,9,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,3,66.67
Enterococcus faecalis,2020,9,ur,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,3,33.33
Enterococcus faecalis,2020,12,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,2,100.0
Enterococcus faecalis,2021,1,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,1,ur,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,2,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,3,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,4,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,4,75.0
Enterococcus faecalis,2021,5,ur,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,6,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2021,7,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2021,7,ur,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2023,1,ur,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",2,2,100.0
Enterococcus faecalis,2024,4,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecalis,2024,7,ur,"MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecalis,2024,8,ur,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",1,1,100.0
