organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Enterococcus faecium,2019,8,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,1,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",12,20,60.0
Enterococcus faecium,2020,1,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",6,20,30.0
Enterococcus faecium,2020,1,ur,"MACROLIDES, PENICILLINS, TETRACYCLINES",2,20,10.0
Enterococcus faecium,2020,2,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",20,30,66.67
Enterococcus faecium,2020,2,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",6,30,20.0
Enterococcus faecium,2020,2,ur,"MACROLIDES, PENICILLINS, TETRACYCLINES",2,30,6.67
Enterococcus faecium,2020,2,ur,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,30,3.33
Enterococcus faecium,2020,3,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,6,66.67
Enterococcus faecium,2020,3,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",2,6,33.33
Enterococcus faecium,2020,4,ur,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2020,6,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,1,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,2,ur,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2021,6,ur,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2021,6,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2021,7,ur,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2021,7,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2021,11,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2022,7,ur,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Enterococcus faecium,2023,10,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,1,ur,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Enterococcus faecium,2024,5,ur,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
