organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Escherichia coli,2015,1,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",11,69,15.94
Escherichia coli,2015,1,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",6,69,8.7
Escherichia coli,2015,1,ps,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",6,69,8.7
Escherichia coli,2015,1,ps,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",3,69,4.35
Escherichia coli,2015,1,ps,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",3,69,4.35
Escherichia coli,2015,2,ps,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",9,67,13.43
Escherichia coli,2015,2,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",7,67,10.45
Escherichia coli,2015,2,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",6,67,8.96
Escherichia coli,2015,2,ps,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",6,67,8.96
Escherichia coli,2015,2,ps,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",2,67,2.99
Escherichia coli,2015,3,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",6,49,12.24
Escherichia coli,2015,3,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",5,49,10.2
Escherichia coli,2015,3,ps,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",2,49,4.08
Escherichia coli,2015,3,ps,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",2,49,4.08
Escherichia coli,2015,3,ps,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",2,49,4.08
Escherichia coli,2015,4,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",12,72,16.67
Escherichia coli,2015,4,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",4,72,5.56
Escherichia coli,2015,4,ps,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",4,72,5.56
Escherichia coli,2015,4,ps,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",4,72,5.56
Escherichia coli,2015,4,ps,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",2,72,2.78
Escherichia coli,2015,5,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",18,73,24.66
Escherichia coli,2015,5,ps,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",9,73,12.33
Escherichia coli,2015,5,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",6,73,8.22
Escherichia coli,2015,5,ps,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",6,73,8.22
Escherichia coli,2015,5,ps,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",3,73,4.11
Escherichia coli,2015,6,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",6,58,10.34
Escherichia coli,2015,6,ps,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",6,58,10.34
Escherichia coli,2015,6,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",5,58,8.62
Escherichia coli,2015,6,ps,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",4,58,6.9
Escherichia coli,2015,6,ps,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",4,58,6.9
Escherichia coli,2015,7,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",12,65,18.46
Escherichia coli,2015,7,ps,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",8,65,12.31
Escherichia coli,2015,7,ps,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",5,65,7.69
Escherichia coli,2015,7,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",3,65,4.62
Escherichia coli,2015,7,ps,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",1,65,1.54
Escherichia coli,2015,8,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",13,51,25.49
