organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Pseudomonas aeruginosa ,2019,1,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",2,3,66.67
Pseudomonas aeruginosa ,2019,1,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,3,33.33
Pseudomonas aeruginosa ,2019,2,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,2,50.0
Pseudomonas aeruginosa ,2019,2,ot,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2019,3,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,3,66.67
Pseudomonas aeruginosa ,2019,3,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,3,33.33
Pseudomonas aeruginosa ,2019,4,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,2,50.0
Pseudomonas aeruginosa ,2019,5,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,4,75.0
Pseudomonas aeruginosa ,2019,5,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,4,25.0
Pseudomonas aeruginosa ,2019,6,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,4,75.0
Pseudomonas aeruginosa ,2019,6,ot,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,4,25.0
Pseudomonas aeruginosa ,2019,10,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2019,12,ot,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2020,1,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,5,40.0
Pseudomonas aeruginosa ,2020,1,ot,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,5,40.0
Pseudomonas aeruginosa ,2020,1,ot,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,5,20.0
Pseudomonas aeruginosa ,2020,2,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2020,2,ot,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2020,3,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,3,33.33
Pseudomonas aeruginosa ,2020,4,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2020,5,ot,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2020,7,ot,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",2,5,40.0
Pseudomonas aeruginosa ,2020,8,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",2,3,66.67
Pseudomonas aeruginosa ,2020,9,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,4,100.0
Pseudomonas aeruginosa ,2020,10,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,2,50.0
Pseudomonas aeruginosa ,2020,11,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,7,28.57
Pseudomonas aeruginosa ,2020,11,ot,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",2,7,28.57
Pseudomonas aeruginosa ,2020,11,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,7,14.29
Pseudomonas aeruginosa ,2020,12,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,3,33.33
Pseudomonas aeruginosa ,2020,12,ot,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,3,33.33
Pseudomonas aeruginosa ,2021,1,ot,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",4,8,50.0
Pseudomonas aeruginosa ,2021,1,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,8,12.5
Pseudomonas aeruginosa ,2021,1,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,8,12.5
Pseudomonas aeruginosa ,2021,1,ot,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,8,12.5
Pseudomonas aeruginosa ,2021,2,ot,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2021,5,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,4,25.0
Pseudomonas aeruginosa ,2021,6,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,5,80.0
Pseudomonas aeruginosa ,2021,6,ot,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,5,20.0
Pseudomonas aeruginosa ,2021,7,ot,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,8,50.0
