organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Pseudomonas aeruginosa ,2016,2,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2016,3,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,2,100.0
Pseudomonas aeruginosa ,2016,8,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,3,66.67
Pseudomonas aeruginosa ,2017,4,ps,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2018,6,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2018,9,ps,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2019,1,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,3,66.67
Pseudomonas aeruginosa ,2019,1,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,3,33.33
Pseudomonas aeruginosa ,2019,2,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,2,50.0
Pseudomonas aeruginosa ,2019,2,ps,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2019,3,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2019,4,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,5,60.0
Pseudomonas aeruginosa ,2019,4,ps,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,5,20.0
Pseudomonas aeruginosa ,2019,5,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,2,50.0
Pseudomonas aeruginosa ,2019,5,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2019,6,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,3,66.67
Pseudomonas aeruginosa ,2019,6,ps,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,3,33.33
Pseudomonas aeruginosa ,2019,8,ps,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",3,7,42.86
Pseudomonas aeruginosa ,2019,8,ps,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,7,14.29
Pseudomonas aeruginosa ,2019,9,ps,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",3,6,50.0
Pseudomonas aeruginosa ,2019,9,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,6,33.33
Pseudomonas aeruginosa ,2019,9,ps,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,6,16.67
Pseudomonas aeruginosa ,2019,10,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,4,50.0
Pseudomonas aeruginosa ,2019,10,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,4,25.0
Pseudomonas aeruginosa ,2019,11,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,4,50.0
Pseudomonas aeruginosa ,2019,11,ps,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",2,4,50.0
Pseudomonas aeruginosa ,2020,1,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,11,45.45
Pseudomonas aeruginosa ,2020,1,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",2,11,18.18
Pseudomonas aeruginosa ,2020,1,ps,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",2,11,18.18
Pseudomonas aeruginosa ,2020,1,ps,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,11,9.09
Pseudomonas aeruginosa ,2020,2,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,9,33.33
Pseudomonas aeruginosa ,2020,2,ps,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,9,22.22
Pseudomonas aeruginosa ,2020,2,ps,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",2,9,22.22
Pseudomonas aeruginosa ,2020,2,ps,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,9,22.22
