organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Pseudomonas aeruginosa ,2016,3,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2016,4,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2018,8,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2019,1,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2019,1,bl,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2019,2,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2019,4,bl,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2019,5,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2019,6,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,6,66.67
Pseudomonas aeruginosa ,2019,7,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,5,60.0
Pseudomonas aeruginosa ,2019,7,bl,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,5,20.0
Pseudomonas aeruginosa ,2019,8,bl,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,6,16.67
Pseudomonas aeruginosa ,2019,9,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2019,10,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,3,100.0
Pseudomonas aeruginosa ,2019,11,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2019,12,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,2,50.0
Pseudomonas aeruginosa ,2019,12,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2020,1,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",9,11,81.82
Pseudomonas aeruginosa ,2020,1,bl,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,11,9.09
Pseudomonas aeruginosa ,2020,2,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",2,5,40.0
Pseudomonas aeruginosa ,2020,2,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,5,20.0
Pseudomonas aeruginosa ,2020,2,bl,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,5,20.0
Pseudomonas aeruginosa ,2020,3,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2020,4,bl,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2020,5,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,3,33.33
