organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Pseudomonas aeruginosa ,2016,1,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,2,50.0
Pseudomonas aeruginosa ,2016,1,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2016,2,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,8,62.5
Pseudomonas aeruginosa ,2016,2,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",2,8,25.0
Pseudomonas aeruginosa ,2016,3,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,7,57.14
Pseudomonas aeruginosa ,2016,3,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,7,14.29
Pseudomonas aeruginosa ,2016,3,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,7,14.29
Pseudomonas aeruginosa ,2016,4,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,11,45.45
Pseudomonas aeruginosa ,2016,4,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",4,11,36.36
Pseudomonas aeruginosa ,2016,5,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",2,8,25.0
Pseudomonas aeruginosa ,2016,5,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,8,25.0
Pseudomonas aeruginosa ,2016,5,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,8,12.5
Pseudomonas aeruginosa ,2016,6,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,3,33.33
Pseudomonas aeruginosa ,2016,6,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,3,33.33
Pseudomonas aeruginosa ,2016,7,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",6,8,75.0
Pseudomonas aeruginosa ,2016,7,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,8,25.0
Pseudomonas aeruginosa ,2016,8,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",3,10,30.0
Pseudomonas aeruginosa ,2016,8,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,10,30.0
Pseudomonas aeruginosa ,2016,8,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,10,20.0
Pseudomonas aeruginosa ,2016,8,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,10,10.0
Pseudomonas aeruginosa ,2016,9,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",2,5,40.0
Pseudomonas aeruginosa ,2016,9,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,5,40.0
Pseudomonas aeruginosa ,2016,10,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,3,66.67
Pseudomonas aeruginosa ,2016,10,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,3,33.33
Pseudomonas aeruginosa ,2016,11,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,6,83.33
Pseudomonas aeruginosa ,2016,11,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,6,16.67
Pseudomonas aeruginosa ,2017,1,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2017,4,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2017,6,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2018,1,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,1,100.0
Pseudomonas aeruginosa ,2018,5,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,2,50.0
Pseudomonas aeruginosa ,2018,8,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,5,60.0
Pseudomonas aeruginosa ,2018,8,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,5,20.0
Pseudomonas aeruginosa ,2018,9,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,4,75.0
Pseudomonas aeruginosa ,2018,10,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,3,66.67
Pseudomonas aeruginosa ,2018,10,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,3,33.33
Pseudomonas aeruginosa ,2018,11,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,6,50.0
Pseudomonas aeruginosa ,2018,11,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,6,33.33
Pseudomonas aeruginosa ,2018,12,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,3,66.67
Pseudomonas aeruginosa ,2018,12,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,3,33.33
Pseudomonas aeruginosa ,2019,1,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",11,21,52.38
Pseudomonas aeruginosa ,2019,1,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,21,23.81
Pseudomonas aeruginosa ,2019,1,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",2,21,9.52
Pseudomonas aeruginosa ,2019,2,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,8,25.0
Pseudomonas aeruginosa ,2019,2,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,8,25.0
Pseudomonas aeruginosa ,2019,2,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",2,8,25.0
Pseudomonas aeruginosa ,2019,2,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,8,12.5
Pseudomonas aeruginosa ,2019,3,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",8,12,66.67
Pseudomonas aeruginosa ,2019,3,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,12,8.33
Pseudomonas aeruginosa ,2019,3,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,12,8.33
Pseudomonas aeruginosa ,2019,3,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,12,8.33
Pseudomonas aeruginosa ,2019,3,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,12,8.33
Pseudomonas aeruginosa ,2019,4,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",8,22,36.36
Pseudomonas aeruginosa ,2019,4,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,22,22.73
Pseudomonas aeruginosa ,2019,4,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",4,22,18.18
Pseudomonas aeruginosa ,2019,4,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,22,4.55
Pseudomonas aeruginosa ,2019,4,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,22,4.55
Pseudomonas aeruginosa ,2019,5,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",12,26,46.15
Pseudomonas aeruginosa ,2019,5,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",7,26,26.92
Pseudomonas aeruginosa ,2019,5,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",3,26,11.54
Pseudomonas aeruginosa ,2019,5,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,26,3.85
Pseudomonas aeruginosa ,2019,6,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",12,23,52.17
Pseudomonas aeruginosa ,2019,6,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",3,23,13.04
Pseudomonas aeruginosa ,2019,6,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,23,4.35
Pseudomonas aeruginosa ,2019,6,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,23,4.35
Pseudomonas aeruginosa ,2019,6,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,23,4.35
Pseudomonas aeruginosa ,2019,7,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",24,38,63.16
Pseudomonas aeruginosa ,2019,7,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",6,38,15.79
Pseudomonas aeruginosa ,2019,7,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",2,38,5.26
Pseudomonas aeruginosa ,2019,7,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",2,38,5.26
Pseudomonas aeruginosa ,2019,7,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,38,5.26
Pseudomonas aeruginosa ,2019,8,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",16,29,55.17
Pseudomonas aeruginosa ,2019,8,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",4,29,13.79
Pseudomonas aeruginosa ,2019,8,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,29,10.34
Pseudomonas aeruginosa ,2019,8,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",2,29,6.9
Pseudomonas aeruginosa ,2019,8,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,29,6.9
Pseudomonas aeruginosa ,2019,9,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",14,32,43.75
Pseudomonas aeruginosa ,2019,9,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,32,15.62
Pseudomonas aeruginosa ,2019,9,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",5,32,15.62
Pseudomonas aeruginosa ,2019,9,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,32,3.12
Pseudomonas aeruginosa ,2019,9,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,32,3.12
Pseudomonas aeruginosa ,2019,10,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",7,14,50.0
Pseudomonas aeruginosa ,2019,10,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,14,21.43
Pseudomonas aeruginosa ,2019,10,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,14,7.14
Pseudomonas aeruginosa ,2019,10,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",1,14,7.14
Pseudomonas aeruginosa ,2019,10,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,14,7.14
Pseudomonas aeruginosa ,2019,11,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",6,13,46.15
Pseudomonas aeruginosa ,2019,11,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,13,38.46
Pseudomonas aeruginosa ,2019,11,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,13,7.69
Pseudomonas aeruginosa ,2019,12,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",10,21,47.62
Pseudomonas aeruginosa ,2019,12,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",3,21,14.29
Pseudomonas aeruginosa ,2019,12,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,21,9.52
Pseudomonas aeruginosa ,2019,12,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,21,9.52
Pseudomonas aeruginosa ,2019,12,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",1,21,4.76
Pseudomonas aeruginosa ,2020,1,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",70,142,49.3
Pseudomonas aeruginosa ,2020,1,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",17,142,11.97
Pseudomonas aeruginosa ,2020,1,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",16,142,11.27
Pseudomonas aeruginosa ,2020,1,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",7,142,4.93
Pseudomonas aeruginosa ,2020,1,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",6,142,4.23
Pseudomonas aeruginosa ,2020,2,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",47,100,47.0
Pseudomonas aeruginosa ,2020,2,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",10,100,10.0
Pseudomonas aeruginosa ,2020,2,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",10,100,10.0
Pseudomonas aeruginosa ,2020,2,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",8,100,8.0
Pseudomonas aeruginosa ,2020,2,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,100,5.0
Pseudomonas aeruginosa ,2020,3,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",25,52,48.08
Pseudomonas aeruginosa ,2020,3,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",7,52,13.46
Pseudomonas aeruginosa ,2020,3,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",4,52,7.69
Pseudomonas aeruginosa ,2020,3,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",2,52,3.85
Pseudomonas aeruginosa ,2020,3,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,52,3.85
Pseudomonas aeruginosa ,2020,4,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",20,63,31.75
Pseudomonas aeruginosa ,2020,4,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",10,63,15.87
Pseudomonas aeruginosa ,2020,4,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",9,63,14.29
Pseudomonas aeruginosa ,2020,4,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",8,63,12.7
Pseudomonas aeruginosa ,2020,4,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,63,6.35
Pseudomonas aeruginosa ,2020,5,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",20,59,33.9
Pseudomonas aeruginosa ,2020,5,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",9,59,15.25
Pseudomonas aeruginosa ,2020,5,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",6,59,10.17
Pseudomonas aeruginosa ,2020,5,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,59,8.47
Pseudomonas aeruginosa ,2020,5,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,59,5.08
Pseudomonas aeruginosa ,2020,6,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",21,57,36.84
Pseudomonas aeruginosa ,2020,6,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",7,57,12.28
Pseudomonas aeruginosa ,2020,6,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",6,57,10.53
Pseudomonas aeruginosa ,2020,6,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",4,57,7.02
Pseudomonas aeruginosa ,2020,6,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,57,7.02
Pseudomonas aeruginosa ,2020,7,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",34,62,54.84
Pseudomonas aeruginosa ,2020,7,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",6,62,9.68
Pseudomonas aeruginosa ,2020,7,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,62,6.45
Pseudomonas aeruginosa ,2020,7,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,62,6.45
Pseudomonas aeruginosa ,2020,7,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",3,62,4.84
Pseudomonas aeruginosa ,2020,8,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",24,63,38.1
Pseudomonas aeruginosa ,2020,8,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",8,63,12.7
Pseudomonas aeruginosa ,2020,8,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",8,63,12.7
Pseudomonas aeruginosa ,2020,8,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",6,63,9.52
Pseudomonas aeruginosa ,2020,8,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,63,6.35
Pseudomonas aeruginosa ,2020,9,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",24,54,44.44
Pseudomonas aeruginosa ,2020,9,sp,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",7,54,12.96
Pseudomonas aeruginosa ,2020,9,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,54,9.26
Pseudomonas aeruginosa ,2020,9,sp,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,54,9.26
Pseudomonas aeruginosa ,2020,9,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",2,54,3.7
Pseudomonas aeruginosa ,2020,10,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",32,80,40.0
