organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Staphylococcus aureus,2017,4,ps,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2018,9,ps,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2019,1,ps,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2019,9,ps,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,2,100.0
Staphylococcus aureus,2019,10,ps,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2019,12,ps,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,4,75.0
Staphylococcus aureus,2020,1,ps,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,15,26.67
Staphylococcus aureus,2020,1,ps,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,15,13.33
Staphylococcus aureus,2020,1,ps,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,15,6.67
Staphylococcus aureus,2020,2,ps,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",7,15,46.67
Staphylococcus aureus,2020,2,ps,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,15,13.33
Staphylococcus aureus,2020,3,ps,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",5,23,21.74
Staphylococcus aureus,2020,3,ps,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,23,8.7
Staphylococcus aureus,2020,3,ps,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,23,8.7
Staphylococcus aureus,2020,4,ps,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,5,40.0
