Bacteria,Spec_Type,Resistant_Drug_Classes,ACF_Lag12,Seasonal_Strength,Has_Seasonality_ACF,Has_Seasonality_Strength
A baumannii bl,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.44876856063805587,0.42071901725634386,False,True
A baumannii bl,bl,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.24934044552774323,0.2903125687615984,False,False
A baumannii bl,bl,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",-0.02235555950107287,0.19437164698721565,False,False
A baumannii bl,bl,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.039878213149437125,0.16820949195699408,False,False
A baumannii bl,bl,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.16078427170879575,0.33384328464254787,False,True
A baumannii ps,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.2171906796057227,0.18042935584863562,False,False
A baumannii ps,ps,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.11381916163782584,0.2887568509236539,False,False
A baumannii ps,ps,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.0619057485795413,0.2555332293069248,False,False
A baumannii ps,ps,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.19318314963922126,0.12165525958082701,False,False
A baumannii ps,ps,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.12637722945346896,0.21549959035457422,False,False
A baumannii sp,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.4000070239249368,0.4155796886540306,False,True
A baumannii sp,sp,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.17033793280885468,0.2958153641215696,False,False
A baumannii sp,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",-0.06006898826626706,0.3328960035147438,False,True
A baumannii sp,sp,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.43382785486867653,0.4258166980666164,False,True
A baumannii sp,sp,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.29806175869762147,0.0,False,False
A baumannii tr,tr,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.08071063223095562,0.0580097129939503,False,False
A baumannii tr,tr,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.03696123518680558,0.03476245737682038,False,False
A baumannii tr,tr,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.3202493970673441,0.06755257359849953,False,False
A baumannii tr,tr,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.4918789865088236,0.0,False,False
A baumannii tr,tr,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.3587560741690483,0.004270660444975594,False,False
A baumannii ur,ur,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.15464132972983918,0.0,False,False
A baumannii ur,ur,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.07649534071025674,0.13889294849650025,False,False
A baumannii ur,ur,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.12151988707528971,0.4095749535903793,False,True
A baumannii ur,ur,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",-0.10245210185884714,0.15794441013548421,False,False
A baumannii ur,ur,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",0.006920330817972684,0.1534344165289433,False,False
E coli bl,bl,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.4810332996275812,0.20238540378879266,False,False
E coli bl,bl,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.33322519038236803,0.32496550676235303,False,True
E coli bl,bl,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.24054810607307953,0.3190526876880242,False,True
E coli bl,bl,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",0.0928647104603889,0.16789700493161341,False,False
E coli bl,bl,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",-0.02284930728819371,0.14141088440820782,False,False
E coli ps,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.07711046624119809,0.19522654700862796,False,False
E coli ps,ps,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.3277676094766613,0.2821152166972428,False,False
E coli ps,ps,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.20170159296717546,0.25091972519748684,False,False
E coli ps,ps,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",0.05815107848620015,0.1849750361034178,False,False
E coli ps,ps,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.07940837599715235,0.279759957424055,False,False
E coli sp,sp,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.330667532535567,0.24472351610559417,False,False
E coli sp,sp,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.311753557636691,0.1968805475372064,False,False
E coli sp,sp,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",-0.04541298449242921,0.13264648095355902,False,False
E coli sp,sp,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",0.12644238395352184,0.2399731556706075,False,False
E coli sp,sp,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",-0.11155154581311624,0.06217678480066635,False,False
E coli uc,uc,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",-0.09886206176534329,0.0,False,False
E coli uc,uc,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",-0.12665946440282597,0.09704172698519786,False,False
E coli uc,uc,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.3423358589461528,0.0,False,False
E coli uc,uc,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",0.1302162854427223,0.0,False,False
E coli uc,uc,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.1655283638709787,0.10129177342509599,False,False
E coli ur,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.5958891137671567,0.257828743300454,True,False
E coli ur,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.5840102433570932,0.22787693495171746,True,False
E coli ur,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.41523636872873315,0.1524130377033135,False,False
E coli ur,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",0.31249554098952886,0.10550967345765638,False,False
E coli ur,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",-0.0028419785761580802,0.11000704613376944,False,False
E faecalis bl,bl,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.6733333333333335,3.887320369810876e-05,True,False
E faecalis bl,bl,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",0.7000000000000001,0.0,True,False
E faecalis bl,bl,"MACROLIDES, PHENICOLS, TETRACYCLINES",-0.0034482758620689898,0.338859987928943,False,True
E faecalis ot,ot,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",0.1296495956873315,0.0,False,False
E faecalis ps,ps,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",0.699555061179088,0.0,True,False
E faecalis ps,ps,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",0.6409585640633952,7.75667479135933e-08,True,False
E faecalis ur,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",0.6458470962867982,0.0,True,False
E faecalis ur,ur,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.5095209883213995,0.0,True,False
E faecalis ur,ur,"FLUOROQUINOLONES, MACROLIDES, PHENICOLS, TETRACYCLINES",0.7681528506436104,0.002441008216946705,True,False
