Source_Folder,Source_File,organism_full,Resistant_Drug_Classes,Count,Total_Species_In_File,Percentage
By_specimen,a_baumannii_bl.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",120,536,22.39
By_specimen,a_baumannii_bl.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",120,536,22.39
By_specimen,a_baumannii_bl.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",110,536,20.52
By_specimen,a_baumannii_bl.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",105,536,19.59
By_specimen,a_baumannii_bl.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",81,536,15.11
By ward type,a_baumannii_icu.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",120,572,20.98
By ward type,a_baumannii_icu.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",120,572,20.98
By ward type,a_baumannii_icu.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",119,572,20.8
By ward type,a_baumannii_icu.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",119,572,20.8
By ward type,a_baumannii_icu.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",94,572,16.43
By ward type,a_baumannii_in.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",120,597,20.1
By ward type,a_baumannii_in.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",120,597,20.1
By ward type,a_baumannii_in.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",120,597,20.1
By ward type,a_baumannii_in.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",120,597,20.1
By ward type,a_baumannii_in.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",117,597,19.6
By ward type,a_baumannii_out.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",120,493,24.34
By ward type,a_baumannii_out.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",116,493,23.53
By ward type,a_baumannii_out.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",107,493,21.7
By ward type,a_baumannii_out.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",103,493,20.89
By ward type,a_baumannii_out.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",47,493,9.53
By_specimen,a_baumannii_ps.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",120,516,23.26
By_specimen,a_baumannii_ps.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",120,516,23.26
By_specimen,a_baumannii_ps.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",117,516,22.67
By_specimen,a_baumannii_ps.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",114,516,22.09
By_specimen,a_baumannii_ps.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",45,516,8.72
By_specimen,a_baumannii_sp.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",120,591,20.3
By_specimen,a_baumannii_sp.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",120,591,20.3
By_specimen,a_baumannii_sp.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",120,591,20.3
By_specimen,a_baumannii_sp.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",120,591,20.3
By_specimen,a_baumannii_sp.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",111,591,18.78
By_specimen,a_baumannii_tr.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",77,297,25.93
By_specimen,a_baumannii_tr.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",70,297,23.57
