Source_Folder,Source_File,Bacteria_Name,Target_Drug,Model,RMSE,WAPE,Best_Model_By_WAPE
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",SARIMA,7.6834,10.2502,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",ARIMA,7.6117,10.2638,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",TES,8.6767,11.7627,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",SES,8.0158,10.8395,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",XGBoost,5.6907,7.5646,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",SARIMA,2.8214,22.8899,TES
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",ARIMA,4.3852,37.8349,TES
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",TES,2.7744,22.3967,TES
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",SES,2.8436,23.1214,TES
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",XGBoost,2.9814,24.5474,TES
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",SARIMA,1.3248,18.3273,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",ARIMA,1.5319,20.8896,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",TES,1.9726,28.0222,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",SES,1.5308,20.8759,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",XGBoost,0.9381,11.8189,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",SARIMA,3.4467,96.911,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",ARIMA,2.781,78.1669,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",TES,3.7326,105.5757,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",SES,3.2663,92.5342,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",XGBoost,2.2049,58.9442,XGBoost
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",SARIMA,1.2695,57.5085,TES
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",ARIMA,1.4218,65.9433,TES
