region,organism,year,date,n_tested,n_resistant,drug,percent_R
1,Acinetobacter baumannii,2015,2015/01,9,6,Imipenem,66.67
1,Acinetobacter baumannii,2015,2015/02,4,3,Imipenem,75.0
1,Acinetobacter baumannii,2015,2015/03,10,5,Imipenem,50.0
1,Acinetobacter baumannii,2015,2015/04,13,7,Imipenem,53.85
1,Acinetobacter baumannii,2015,2015/05,15,7,Imipenem,46.67
1,Acinetobacter baumannii,2015,2015/06,13,4,Imipenem,30.77
1,Acinetobacter baumannii,2015,2015/07,18,14,Imipenem,77.78
1,Acinetobacter baumannii,2015,2015/08,12,9,Imipenem,75.0
1,Acinetobacter baumannii,2015,2015/09,17,12,Imipenem,70.59
1,Acinetobacter baumannii,2015,2015/10,13,12,Imipenem,92.31
1,Acinetobacter baumannii,2015,2015/11,19,16,Imipenem,84.21
1,Acinetobacter baumannii,2015,2015/12,21,16,Imipenem,76.19
1,Acinetobacter baumannii,2016,2016/01,17,12,Imipenem,70.59
1,Acinetobacter baumannii,2016,2016/02,17,13,Imipenem,76.47
1,Acinetobacter baumannii,2016,2016/03,26,21,Imipenem,80.77
1,Acinetobacter baumannii,2016,2016/04,22,14,Imipenem,63.64
1,Acinetobacter baumannii,2016,2016/05,16,11,Imipenem,68.75
1,Acinetobacter baumannii,2016,2016/06,24,18,Imipenem,75.0
1,Acinetobacter baumannii,2016,2016/07,17,11,Imipenem,64.71
1,Acinetobacter baumannii,2016,2016/08,20,8,Imipenem,40.0
1,Acinetobacter baumannii,2016,2016/09,18,12,Imipenem,66.67
1,Acinetobacter baumannii,2016,2016/10,21,16,Imipenem,76.19
1,Acinetobacter baumannii,2016,2016/11,19,17,Imipenem,89.47
1,Acinetobacter baumannii,2016,2016/12,29,22,Imipenem,75.86
1,Acinetobacter baumannii,2017,2017/01,243,191,Imipenem,78.6
1,Acinetobacter baumannii,2017,2017/02,165,136,Imipenem,82.42
1,Acinetobacter baumannii,2017,2017/03,148,112,Imipenem,75.68
1,Acinetobacter baumannii,2017,2017/04,170,122,Imipenem,71.76
1,Acinetobacter baumannii,2017,2017/05,97,62,Imipenem,63.92
1,Acinetobacter baumannii,2017,2017/06,163,105,Imipenem,64.42
1,Acinetobacter baumannii,2017,2017/07,137,93,Imipenem,67.88
1,Acinetobacter baumannii,2017,2017/08,132,90,Imipenem,68.18
1,Acinetobacter baumannii,2017,2017/09,147,101,Imipenem,68.71
1,Acinetobacter baumannii,2017,2017/10,210,165,Imipenem,78.57
1,Acinetobacter baumannii,2017,2017/11,152,124,Imipenem,81.58
1,Acinetobacter baumannii,2017,2017/12,200,149,Imipenem,74.5
1,Acinetobacter baumannii,2018,2018/01,231,188,Imipenem,81.39
1,Acinetobacter baumannii,2018,2018/02,230,169,Imipenem,73.48
1,Acinetobacter baumannii,2018,2018/03,126,86,Imipenem,68.25
1,Acinetobacter baumannii,2018,2018/04,218,158,Imipenem,72.48
1,Acinetobacter baumannii,2018,2018/05,253,169,Imipenem,66.8
1,Acinetobacter baumannii,2018,2018/06,257,176,Imipenem,68.48
1,Acinetobacter baumannii,2018,2018/07,185,125,Imipenem,67.57
1,Acinetobacter baumannii,2018,2018/08,232,164,Imipenem,70.69
1,Acinetobacter baumannii,2018,2018/09,200,125,Imipenem,62.5
1,Acinetobacter baumannii,2018,2018/10,265,186,Imipenem,70.19
1,Acinetobacter baumannii,2018,2018/11,355,283,Imipenem,79.72
1,Acinetobacter baumannii,2018,2018/12,297,247,Imipenem,83.16
1,Acinetobacter baumannii,2019,2019/01,259,214,Imipenem,82.63
1,Acinetobacter baumannii,2019,2019/02,192,147,Imipenem,76.56
1,Acinetobacter baumannii,2019,2019/03,191,148,Imipenem,77.49
1,Acinetobacter baumannii,2019,2019/04,240,187,Imipenem,77.92
1,Acinetobacter baumannii,2019,2019/05,267,181,Imipenem,67.79
1,Acinetobacter baumannii,2019,2019/06,299,211,Imipenem,70.57
1,Acinetobacter baumannii,2019,2019/07,249,186,Imipenem,74.7
1,Acinetobacter baumannii,2019,2019/08,267,182,Imipenem,68.16
1,Acinetobacter baumannii,2019,2019/09,228,160,Imipenem,70.18
1,Acinetobacter baumannii,2019,2019/10,250,173,Imipenem,69.2
1,Acinetobacter baumannii,2019,2019/11,295,224,Imipenem,75.93
1,Acinetobacter baumannii,2019,2019/12,273,230,Imipenem,84.25
1,Acinetobacter baumannii,2020,2020/01,403,313,Imipenem,77.67
1,Acinetobacter baumannii,2020,2020/02,262,195,Imipenem,74.43
1,Acinetobacter baumannii,2020,2020/03,286,206,Imipenem,72.03
1,Acinetobacter baumannii,2020,2020/04,256,193,Imipenem,75.39
1,Acinetobacter baumannii,2020,2020/05,274,212,Imipenem,77.37
1,Acinetobacter baumannii,2020,2020/06,299,207,Imipenem,69.23
1,Acinetobacter baumannii,2020,2020/07,162,99,Imipenem,61.11
1,Acinetobacter baumannii,2020,2020/08,266,171,Imipenem,64.29
1,Acinetobacter baumannii,2020,2020/09,237,165,Imipenem,69.62
1,Acinetobacter baumannii,2020,2020/10,186,134,Imipenem,72.04
1,Acinetobacter baumannii,2020,2020/11,216,167,Imipenem,77.31
1,Acinetobacter baumannii,2020,2020/12,182,142,Imipenem,78.02
1,Acinetobacter baumannii,2021,2021/01,234,193,Imipenem,82.48
1,Acinetobacter baumannii,2021,2021/02,189,151,Imipenem,79.89
1,Acinetobacter baumannii,2021,2021/03,265,211,Imipenem,79.62
1,Acinetobacter baumannii,2021,2021/04,220,161,Imipenem,73.18
1,Acinetobacter baumannii,2021,2021/05,211,146,Imipenem,69.19
1,Acinetobacter baumannii,2021,2021/06,201,138,Imipenem,68.66
1,Acinetobacter baumannii,2021,2021/07,269,192,Imipenem,71.38
1,Acinetobacter baumannii,2021,2021/08,249,183,Imipenem,73.49
1,Acinetobacter baumannii,2021,2021/09,301,213,Imipenem,70.76
1,Acinetobacter baumannii,2021,2021/10,290,208,Imipenem,71.72
1,Acinetobacter baumannii,2021,2021/11,274,193,Imipenem,70.44
1,Acinetobacter baumannii,2021,2021/12,227,178,Imipenem,78.41
1,Acinetobacter baumannii,2022,2022/01,295,253,Imipenem,85.76
1,Acinetobacter baumannii,2022,2022/02,256,210,Imipenem,82.03
1,Acinetobacter baumannii,2022,2022/03,361,306,Imipenem,84.76
1,Acinetobacter baumannii,2022,2022/04,350,277,Imipenem,79.14
1,Acinetobacter baumannii,2022,2022/05,346,255,Imipenem,73.7
1,Acinetobacter baumannii,2022,2022/06,242,175,Imipenem,72.31
1,Acinetobacter baumannii,2022,2022/07,115,88,Imipenem,76.52
1,Acinetobacter baumannii,2022,2022/08,104,74,Imipenem,71.15
1,Acinetobacter baumannii,2022,2022/09,127,88,Imipenem,69.29
