region,organism,year,date,n_tested,n_resistant,drug,percent_R
1,Acinetobacter baumannii,2015,2015/01,94,64,Meropenem,68.09
1,Acinetobacter baumannii,2015,2015/02,63,52,Meropenem,82.54
1,Acinetobacter baumannii,2015,2015/03,75,59,Meropenem,78.67
1,Acinetobacter baumannii,2015,2015/04,84,69,Meropenem,82.14
1,Acinetobacter baumannii,2015,2015/05,83,56,Meropenem,67.47
1,Acinetobacter baumannii,2015,2015/06,92,61,Meropenem,66.3
1,Acinetobacter baumannii,2015,2015/07,97,74,Meropenem,76.29
1,Acinetobacter baumannii,2015,2015/08,63,41,Meropenem,65.08
1,Acinetobacter baumannii,2015,2015/09,85,62,Meropenem,72.94
1,Acinetobacter baumannii,2015,2015/10,84,63,Meropenem,75.0
1,Acinetobacter baumannii,2015,2015/11,62,50,Meropenem,80.65
1,Acinetobacter baumannii,2015,2015/12,71,58,Meropenem,81.69
1,Acinetobacter baumannii,2016,2016/01,68,40,Meropenem,58.82
1,Acinetobacter baumannii,2016,2016/02,47,26,Meropenem,55.32
1,Acinetobacter baumannii,2016,2016/03,73,49,Meropenem,67.12
1,Acinetobacter baumannii,2016,2016/04,77,40,Meropenem,51.95
1,Acinetobacter baumannii,2016,2016/05,83,38,Meropenem,45.78
1,Acinetobacter baumannii,2016,2016/06,72,38,Meropenem,52.78
1,Acinetobacter baumannii,2016,2016/07,49,21,Meropenem,42.86
1,Acinetobacter baumannii,2016,2016/08,68,34,Meropenem,50.0
1,Acinetobacter baumannii,2016,2016/09,46,14,Meropenem,30.43
1,Acinetobacter baumannii,2016,2016/10,53,18,Meropenem,33.96
1,Acinetobacter baumannii,2016,2016/11,59,33,Meropenem,55.93
1,Acinetobacter baumannii,2016,2016/12,72,50,Meropenem,69.44
1,Acinetobacter baumannii,2017,2017/01,224,164,Meropenem,73.21
1,Acinetobacter baumannii,2017,2017/02,182,142,Meropenem,78.02
1,Acinetobacter baumannii,2017,2017/03,170,114,Meropenem,67.06
1,Acinetobacter baumannii,2017,2017/04,223,151,Meropenem,67.71
1,Acinetobacter baumannii,2017,2017/05,182,115,Meropenem,63.19
1,Acinetobacter baumannii,2017,2017/06,150,79,Meropenem,52.67
1,Acinetobacter baumannii,2017,2017/07,141,87,Meropenem,61.7
1,Acinetobacter baumannii,2017,2017/08,151,87,Meropenem,57.62
1,Acinetobacter baumannii,2017,2017/09,148,88,Meropenem,59.46
1,Acinetobacter baumannii,2017,2017/10,208,147,Meropenem,70.67
1,Acinetobacter baumannii,2017,2017/11,166,118,Meropenem,71.08
1,Acinetobacter baumannii,2017,2017/12,186,136,Meropenem,73.12
1,Acinetobacter baumannii,2018,2018/01,221,169,Meropenem,76.47
1,Acinetobacter baumannii,2018,2018/02,356,270,Meropenem,75.84
1,Acinetobacter baumannii,2018,2018/03,240,176,Meropenem,73.33
1,Acinetobacter baumannii,2018,2018/04,347,255,Meropenem,73.49
1,Acinetobacter baumannii,2018,2018/05,375,259,Meropenem,69.07
1,Acinetobacter baumannii,2018,2018/06,408,289,Meropenem,70.83
1,Acinetobacter baumannii,2018,2018/07,342,219,Meropenem,64.04
1,Acinetobacter baumannii,2018,2018/08,373,254,Meropenem,68.1
1,Acinetobacter baumannii,2018,2018/09,329,201,Meropenem,61.09
1,Acinetobacter baumannii,2018,2018/10,395,274,Meropenem,69.37
1,Acinetobacter baumannii,2018,2018/11,362,276,Meropenem,76.24
1,Acinetobacter baumannii,2018,2018/12,357,280,Meropenem,78.43
1,Acinetobacter baumannii,2019,2019/01,450,349,Meropenem,77.56
1,Acinetobacter baumannii,2019,2019/02,324,243,Meropenem,75.0
1,Acinetobacter baumannii,2019,2019/03,225,171,Meropenem,76.0
1,Acinetobacter baumannii,2019,2019/04,266,203,Meropenem,76.32
1,Acinetobacter baumannii,2019,2019/05,283,189,Meropenem,66.78
1,Acinetobacter baumannii,2019,2019/06,305,208,Meropenem,68.2
1,Acinetobacter baumannii,2019,2019/07,376,277,Meropenem,73.67
1,Acinetobacter baumannii,2019,2019/08,405,285,Meropenem,70.37
1,Acinetobacter baumannii,2019,2019/09,328,230,Meropenem,70.12
1,Acinetobacter baumannii,2019,2019/10,350,242,Meropenem,69.14
1,Acinetobacter baumannii,2019,2019/11,381,298,Meropenem,78.22
1,Acinetobacter baumannii,2019,2019/12,347,295,Meropenem,85.01
1,Acinetobacter baumannii,2020,2020/01,523,418,Meropenem,79.92
1,Acinetobacter baumannii,2020,2020/02,343,263,Meropenem,76.68
1,Acinetobacter baumannii,2020,2020/03,362,260,Meropenem,71.82
1,Acinetobacter baumannii,2020,2020/04,383,284,Meropenem,74.15
1,Acinetobacter baumannii,2020,2020/05,441,343,Meropenem,77.78
1,Acinetobacter baumannii,2020,2020/06,447,320,Meropenem,71.59
1,Acinetobacter baumannii,2020,2020/07,301,202,Meropenem,67.11
1,Acinetobacter baumannii,2020,2020/08,378,256,Meropenem,67.72
1,Acinetobacter baumannii,2020,2020/09,345,254,Meropenem,73.62
1,Acinetobacter baumannii,2020,2020/10,287,205,Meropenem,71.43
1,Acinetobacter baumannii,2020,2020/11,342,261,Meropenem,76.32
1,Acinetobacter baumannii,2020,2020/12,308,251,Meropenem,81.49
1,Acinetobacter baumannii,2021,2021/01,379,324,Meropenem,85.49
