Category,Group,Drug,Best_Model,RMSE,WAPE,MAE,MAPE,ARIMA_RMSE,ARIMA_WAPE,ARIMA_MAE,ARIMA_MAPE,SARIMA_RMSE,SARIMA_WAPE,SARIMA_MAE,SARIMA_MAPE,TES_RMSE,TES_WAPE,TES_MAE,TES_MAPE,SES_RMSE,SES_WAPE,SES_MAE,SES_MAPE,XGBoost_RMSE,XGBoost_WAPE,XGBoost_MAE,XGBoost_MAPE
All data,Overall,Imipenem,TES,2.0951,2.1138,1.6368,2.1109,3.3902,3.8707,2.9973,3.8577,4.5207,5.2972,4.102,5.3742,2.0951,2.1138,1.6368,2.1109,3.3823,3.5814,2.7733,3.5284,2.6055,2.9675,2.2786,2.9616
All data,Overall,Meropenem,TES,2.1216,2.2351,1.7285,2.2335,3.4095,3.7085,2.8679,3.6707,4.2312,4.9033,3.792,4.9727,2.1216,2.2351,1.7285,2.2335,3.4095,3.7085,2.8679,3.6707,2.3458,2.7628,2.1188,2.7655
by ward,icu,Imipenem,XGBoost,2.289,2.1112,1.7877,2.1377,2.6736,2.4877,2.1165,2.4654,3.0466,2.8811,2.4511,2.9331,3.2067,2.745,2.3354,2.7962,2.7108,2.6851,2.2844,2.7049,2.289,2.1112,1.7877,2.1377
by ward,icu,Meropenem,XGBoost,1.8848,1.8066,1.5284,1.8199,2.606,2.488,2.1141,2.4668,2.7195,2.4019,2.0409,2.446,2.6296,2.3329,1.9823,2.3687,2.5403,2.4291,2.064,2.4249,1.8848,1.8066,1.5284,1.8199
by ward,in,Imipenem,XGBoost,2.4155,2.5847,1.9958,2.6108,3.3826,3.6257,2.8217,3.6124,2.7208,3.1426,2.4457,3.1587,2.5334,2.7968,2.1766,2.8072,3.3826,3.6257,2.8217,3.6124,2.4155,2.5847,1.9958,2.6108
by ward,in,Meropenem,XGBoost,2.6046,2.8979,2.2322,2.9315,3.0664,3.2845,2.5501,3.308,3.5939,4.263,3.3097,4.3088,2.6881,2.9975,2.3272,3.0118,3.5372,3.9446,3.0625,3.9492,2.6046,2.8979,2.2322,2.9315
by ward,out,Imipenem,TES,5.9882,8.4023,4.6721,8.0172,8.2957,13.3783,7.4389,13.5895,9.277,14.7409,8.1966,15.8235,5.9882,8.4023,4.6721,8.0172,8.4312,13.6874,7.6108,14.0038,6.3992,10.0796,5.4585,9.782
by ward,out,Meropenem,TES,6.7644,10.1626,5.5855,10.1413,8.4796,13.6616,7.5087,13.9089,8.4796,13.6616,7.5087,13.9089,6.7644,10.1626,5.5855,10.1413,8.5999,13.8639,7.6198,14.1409,7.4971,10.8679,5.8111,10.8667
by specimen,Blood,Imipenem,XGBoost,6.4651,8.3172,5.1495,8.5584,7.2983,9.75,6.1629,9.9693,6.8168,8.8992,5.6251,9.0391,7.9693,11.0217,6.9668,11.3946,7.282,9.7125,6.1393,9.9274,6.4651,8.3172,5.1495,8.5584
by specimen,Blood,Meropenem,XGBoost,5.8005,7.2876,4.5193,7.5586,7.7766,10.8664,6.8742,11.2518,8.0789,11.1433,7.0494,11.6258,12.2849,16.9279,10.7088,17.6882,7.9127,11.0942,7.0183,11.5066,5.8005,7.2876,4.5193,7.5586
by specimen,Sputum,Imipenem,TES,1.8307,1.7435,1.3834,1.7379,2.8946,2.5699,2.0392,2.5033,2.6378,2.958,2.3471,2.9714,1.8307,1.7435,1.3834,1.7379,2.8946,2.5699,2.0392,2.5033,2.2568,2.5685,2.0243,2.5696
by specimen,Sputum,Meropenem,TES,1.6215,1.6591,1.3157,1.6431,2.8658,2.7039,2.1442,2.6455,2.7401,3.1301,2.4821,3.147,1.6215,1.6591,1.3157,1.6431,2.8658,2.7039,2.1442,2.6455,1.8613,2.0484,1.6134,2.0454
by specimen,Urine,Imipenem,TES,2.3549,2.3072,1.869,2.3202,4.2355,4.0187,3.2555,3.9062,3.458,3.4609,2.8036,3.4001,2.3549,2.3072,1.869,2.3202,5.2939,5.1216,4.149,4.9601,2.9018,3.2684,2.6358,3.2569
by specimen,Urine,Meropenem,TES,2.7227,2.5663,2.0646,2.5474,4.5239,4.2664,3.4323,4.1302,2.9994,2.9525,2.3753,2.9044,2.7227,2.5663,2.0646,2.5474,4.4414,4.1744,3.3583,4.0414,3.1172,2.9924,2.399,2.9445
