GROUP_NAME,ANTIBIOTIC,REGION,SPEC_DATE,Year,R_percent,month_num,month_id,R_scaled
Acinetobacter baumannii,Imipenem,1.0,2015-01,2015,66.67,1,1,0.66671
Acinetobacter baumannii,Imipenem,1.0,2015-02,2015,75.0,2,2,0.7500100000000001
Acinetobacter baumannii,Imipenem,1.0,2015-03,2015,50.0,3,3,0.50001
Acinetobacter baumannii,Imipenem,1.0,2015-04,2015,53.85,4,4,0.53851
Acinetobacter baumannii,Imipenem,1.0,2015-05,2015,46.67,5,5,0.46671
Acinetobacter baumannii,Imipenem,1.0,2015-06,2015,30.77,6,6,0.30771
Acinetobacter baumannii,Imipenem,1.0,2015-07,2015,77.78,7,7,0.7778100000000001
Acinetobacter baumannii,Imipenem,1.0,2015-08,2015,75.0,8,8,0.7500100000000001
Acinetobacter baumannii,Imipenem,1.0,2015-09,2015,70.59,9,9,0.70591
Acinetobacter baumannii,Imipenem,1.0,2015-10,2015,92.31,10,10,0.9231100000000001
Acinetobacter baumannii,Imipenem,1.0,2015-11,2015,84.21,11,11,0.84211
Acinetobacter baumannii,Imipenem,1.0,2015-12,2015,76.19,12,12,0.76191
Acinetobacter baumannii,Imipenem,1.0,2016-01,2016,70.59,1,13,0.70591
Acinetobacter baumannii,Imipenem,1.0,2016-02,2016,76.47,2,14,0.76471
Acinetobacter baumannii,Imipenem,1.0,2016-03,2016,80.77,3,15,0.80771
Acinetobacter baumannii,Imipenem,1.0,2016-04,2016,63.64,4,16,0.63641
Acinetobacter baumannii,Imipenem,1.0,2016-05,2016,68.75,5,17,0.6875100000000001
Acinetobacter baumannii,Imipenem,1.0,2016-06,2016,75.0,6,18,0.7500100000000001
Acinetobacter baumannii,Imipenem,1.0,2016-07,2016,64.71,7,19,0.64711
Acinetobacter baumannii,Imipenem,1.0,2016-08,2016,40.0,8,20,0.40001
Acinetobacter baumannii,Imipenem,1.0,2016-09,2016,66.67,9,21,0.66671
Acinetobacter baumannii,Imipenem,1.0,2016-10,2016,76.19,10,22,0.76191
Acinetobacter baumannii,Imipenem,1.0,2016-11,2016,89.47,11,23,0.89471
Acinetobacter baumannii,Imipenem,1.0,2016-12,2016,75.86,12,24,0.75861
Acinetobacter baumannii,Imipenem,1.0,2017-01,2017,78.6,1,25,0.78601
Acinetobacter baumannii,Imipenem,1.0,2017-02,2017,82.42,2,26,0.8242100000000001
Acinetobacter baumannii,Imipenem,1.0,2017-03,2017,75.68,3,27,0.7568100000000001
Acinetobacter baumannii,Imipenem,1.0,2017-04,2017,71.76,4,28,0.7176100000000001
Acinetobacter baumannii,Imipenem,1.0,2017-05,2017,63.92,5,29,0.63921
Acinetobacter baumannii,Imipenem,1.0,2017-06,2017,64.42,6,30,0.6442100000000001
Acinetobacter baumannii,Imipenem,1.0,2017-07,2017,67.88,7,31,0.67881
Acinetobacter baumannii,Imipenem,1.0,2017-08,2017,68.18,8,32,0.6818100000000001
Acinetobacter baumannii,Imipenem,1.0,2017-09,2017,68.71,9,33,0.68711
Acinetobacter baumannii,Imipenem,1.0,2017-10,2017,78.57,10,34,0.78571
Acinetobacter baumannii,Imipenem,1.0,2017-11,2017,81.58,11,35,0.81581
Acinetobacter baumannii,Imipenem,1.0,2017-12,2017,74.5,12,36,0.7450100000000001
Acinetobacter baumannii,Imipenem,1.0,2018-01,2018,81.39,1,37,0.81391
Acinetobacter baumannii,Imipenem,1.0,2018-02,2018,73.48,2,38,0.7348100000000001
Acinetobacter baumannii,Imipenem,1.0,2018-03,2018,68.25,3,39,0.6825100000000001
Acinetobacter baumannii,Imipenem,1.0,2018-04,2018,72.48,4,40,0.7248100000000001
Acinetobacter baumannii,Imipenem,1.0,2018-05,2018,66.8,5,41,0.66801
Acinetobacter baumannii,Imipenem,1.0,2018-06,2018,68.48,6,42,0.6848100000000001
Acinetobacter baumannii,Imipenem,1.0,2018-07,2018,67.57,7,43,0.67571
Acinetobacter baumannii,Imipenem,1.0,2018-08,2018,70.69,8,44,0.70691
Acinetobacter baumannii,Imipenem,1.0,2018-09,2018,62.5,9,45,0.62501
Acinetobacter baumannii,Imipenem,1.0,2018-10,2018,70.19,10,46,0.70191
Acinetobacter baumannii,Imipenem,1.0,2018-11,2018,79.72,11,47,0.7972100000000001
Acinetobacter baumannii,Imipenem,1.0,2018-12,2018,83.16,12,48,0.83161
Acinetobacter baumannii,Imipenem,1.0,2019-01,2019,82.63,1,49,0.82631
Acinetobacter baumannii,Imipenem,1.0,2019-02,2019,76.56,2,50,0.7656100000000001
Acinetobacter baumannii,Imipenem,1.0,2019-03,2019,77.49,3,51,0.77491
Acinetobacter baumannii,Imipenem,1.0,2019-04,2019,77.92,4,52,0.7792100000000001
Acinetobacter baumannii,Imipenem,1.0,2019-05,2019,67.79,5,53,0.6779100000000001
Acinetobacter baumannii,Imipenem,1.0,2019-06,2019,70.57,6,54,0.70571
Acinetobacter baumannii,Imipenem,1.0,2019-07,2019,74.7,7,55,0.7470100000000001
Acinetobacter baumannii,Imipenem,1.0,2019-08,2019,68.16,8,56,0.68161
Acinetobacter baumannii,Imipenem,1.0,2019-09,2019,70.18,9,57,0.7018100000000002
Acinetobacter baumannii,Imipenem,1.0,2019-10,2019,69.2,10,58,0.6920100000000001
Acinetobacter baumannii,Imipenem,1.0,2019-11,2019,75.93,11,59,0.7593100000000002
Acinetobacter baumannii,Imipenem,1.0,2019-12,2019,84.25,12,60,0.8425100000000001
Acinetobacter baumannii,Imipenem,1.0,2020-01,2020,77.67,1,61,0.77671
Acinetobacter baumannii,Imipenem,1.0,2020-02,2020,74.43,2,62,0.7443100000000001
Acinetobacter baumannii,Imipenem,1.0,2020-03,2020,72.03,3,63,0.72031
Acinetobacter baumannii,Imipenem,1.0,2020-04,2020,75.39,4,64,0.7539100000000001
Acinetobacter baumannii,Imipenem,1.0,2020-05,2020,77.37,5,65,0.7737100000000001
Acinetobacter baumannii,Imipenem,1.0,2020-06,2020,69.23,6,66,0.6923100000000001
Acinetobacter baumannii,Imipenem,1.0,2020-07,2020,61.11,7,67,0.6111099999999999
Acinetobacter baumannii,Imipenem,1.0,2020-08,2020,64.29,8,68,0.6429100000000001
Acinetobacter baumannii,Imipenem,1.0,2020-09,2020,69.62,9,69,0.6962100000000001
Acinetobacter baumannii,Imipenem,1.0,2020-10,2020,72.04,10,70,0.7204100000000001
Acinetobacter baumannii,Imipenem,1.0,2020-11,2020,77.31,11,71,0.7731100000000001
Acinetobacter baumannii,Imipenem,1.0,2020-12,2020,78.02,12,72,0.78021
Acinetobacter baumannii,Imipenem,1.0,2021-01,2021,82.48,1,73,0.82481
Acinetobacter baumannii,Imipenem,1.0,2021-02,2021,79.89,2,74,0.79891
Acinetobacter baumannii,Imipenem,1.0,2021-03,2021,79.62,3,75,0.7962100000000001
Acinetobacter baumannii,Imipenem,1.0,2021-04,2021,73.18,4,76,0.7318100000000001
Acinetobacter baumannii,Imipenem,1.0,2021-05,2021,69.19,5,77,0.69191
Acinetobacter baumannii,Imipenem,1.0,2021-06,2021,68.66,6,78,0.68661
Acinetobacter baumannii,Imipenem,1.0,2021-07,2021,71.38,7,79,0.7138100000000001
Acinetobacter baumannii,Imipenem,1.0,2021-08,2021,73.49,8,80,0.73491
Acinetobacter baumannii,Imipenem,1.0,2021-09,2021,70.76,9,81,0.7076100000000001
Acinetobacter baumannii,Imipenem,1.0,2021-10,2021,71.72,10,82,0.71721
Acinetobacter baumannii,Imipenem,1.0,2021-11,2021,70.44,11,83,0.70441
Acinetobacter baumannii,Imipenem,1.0,2021-12,2021,78.41,12,84,0.78411
Acinetobacter baumannii,Imipenem,1.0,2022-01,2022,85.76,1,85,0.8576100000000001
Acinetobacter baumannii,Imipenem,1.0,2022-02,2022,82.03,2,86,0.8203100000000001
Acinetobacter baumannii,Imipenem,1.0,2022-03,2022,84.76,3,87,0.8476100000000001
Acinetobacter baumannii,Imipenem,1.0,2022-04,2022,79.14,4,88,0.7914100000000001
Acinetobacter baumannii,Imipenem,1.0,2022-05,2022,73.7,5,89,0.73701
Acinetobacter baumannii,Imipenem,1.0,2022-06,2022,72.31,6,90,0.72311
Acinetobacter baumannii,Imipenem,1.0,2022-07,2022,76.52,7,91,0.7652100000000001
Acinetobacter baumannii,Imipenem,1.0,2022-08,2022,71.15,8,92,0.7115100000000001
Acinetobacter baumannii,Imipenem,1.0,2022-09,2022,69.29,9,93,0.6929100000000001
Acinetobacter baumannii,Imipenem,1.0,2022-10,2022,74.58,10,94,0.7458100000000001
Acinetobacter baumannii,Imipenem,1.0,2022-11,2022,81.19,11,95,0.81191
Acinetobacter baumannii,Imipenem,1.0,2022-12,2022,90.91,12,96,0.90911
Acinetobacter baumannii,Imipenem,1.0,2023-01,2023,83.46,1,97,0.83461
Acinetobacter baumannii,Imipenem,1.0,2023-02,2023,82.42,2,98,0.8242100000000001
Acinetobacter baumannii,Imipenem,1.0,2023-03,2023,80.61,3,99,0.80611
Acinetobacter baumannii,Imipenem,1.0,2023-04,2023,76.76,4,100,0.7676100000000001
Acinetobacter baumannii,Imipenem,1.0,2023-05,2023,77.65,5,101,0.7765100000000001
Acinetobacter baumannii,Imipenem,1.0,2023-06,2023,75.58,6,102,0.75581
Acinetobacter baumannii,Imipenem,1.0,2023-07,2023,80.84,7,103,0.8084100000000001
Acinetobacter baumannii,Imipenem,1.0,2023-08,2023,75.24,8,104,0.75241
Acinetobacter baumannii,Imipenem,1.0,2023-09,2023,75.36,9,105,0.75361
Acinetobacter baumannii,Imipenem,1.0,2023-10,2023,78.3,10,106,0.78301
Acinetobacter baumannii,Imipenem,1.0,2023-11,2023,84.93,11,107,0.8493100000000001
Acinetobacter baumannii,Imipenem,1.0,2023-12,2023,83.82,12,108,0.83821
Acinetobacter baumannii,Imipenem,1.0,2024-01,2024,73.78,1,109,0.7378100000000001
Acinetobacter baumannii,Imipenem,1.0,2024-02,2024,80.0,2,110,0.80001
Acinetobacter baumannii,Imipenem,1.0,2024-03,2024,73.15,3,111,0.7315100000000001
Acinetobacter baumannii,Imipenem,1.0,2024-04,2024,76.44,4,112,0.76441
Acinetobacter baumannii,Imipenem,1.0,2024-05,2024,71.35,5,113,0.71351
Acinetobacter baumannii,Imipenem,1.0,2024-06,2024,59.88,6,114,0.59881
Acinetobacter baumannii,Imipenem,1.0,2024-07,2024,65.66,7,115,0.65661
Acinetobacter baumannii,Imipenem,1.0,2024-08,2024,68.1,8,116,0.68101
Acinetobacter baumannii,Imipenem,1.0,2024-09,2024,64.24,9,117,0.64241
Acinetobacter baumannii,Imipenem,1.0,2024-10,2024,67.54,10,118,0.6754100000000001
Acinetobacter baumannii,Imipenem,1.0,2024-11,2024,67.55,11,119,0.67551
Acinetobacter baumannii,Imipenem,1.0,2024-12,2024,73.29,12,120,0.7329100000000001
Acinetobacter baumannii,Imipenem,1.0,2025-01,2025,,1,121,
Acinetobacter baumannii,Imipenem,1.0,2025-02,2025,,2,122,
Acinetobacter baumannii,Imipenem,1.0,2025-03,2025,,3,123,
Acinetobacter baumannii,Imipenem,1.0,2025-04,2025,,4,124,
Acinetobacter baumannii,Imipenem,1.0,2025-05,2025,,5,125,
Acinetobacter baumannii,Imipenem,1.0,2025-06,2025,,6,126,
Acinetobacter baumannii,Imipenem,1.0,2025-07,2025,,7,127,
Acinetobacter baumannii,Imipenem,1.0,2025-08,2025,,8,128,
Acinetobacter baumannii,Imipenem,1.0,2025-09,2025,,9,129,
Acinetobacter baumannii,Imipenem,1.0,2025-10,2025,,10,130,
Acinetobacter baumannii,Imipenem,1.0,2025-11,2025,,11,131,
Acinetobacter baumannii,Imipenem,1.0,2025-12,2025,,12,132,
Acinetobacter baumannii,Imipenem,1.0,2026-01,2026,,1,133,
Acinetobacter baumannii,Imipenem,1.0,2026-02,2026,,2,134,
Acinetobacter baumannii,Imipenem,1.0,2026-03,2026,,3,135,
Acinetobacter baumannii,Imipenem,1.0,2026-04,2026,,4,136,
Acinetobacter baumannii,Imipenem,1.0,2026-05,2026,,5,137,
Acinetobacter baumannii,Imipenem,1.0,2026-06,2026,,6,138,
Acinetobacter baumannii,Imipenem,1.0,2026-07,2026,,7,139,
Acinetobacter baumannii,Imipenem,1.0,2026-08,2026,,8,140,
Acinetobacter baumannii,Imipenem,1.0,2026-09,2026,,9,141,
Acinetobacter baumannii,Imipenem,1.0,2026-10,2026,,10,142,
Acinetobacter baumannii,Imipenem,1.0,2026-11,2026,,11,143,
Acinetobacter baumannii,Imipenem,1.0,2026-12,2026,,12,144,
Acinetobacter baumannii,Imipenem,1.0,2027-01,2027,,1,145,
Acinetobacter baumannii,Imipenem,1.0,2027-02,2027,,2,146,
Acinetobacter baumannii,Imipenem,1.0,2027-03,2027,,3,147,
Acinetobacter baumannii,Imipenem,1.0,2027-04,2027,,4,148,
Acinetobacter baumannii,Imipenem,1.0,2027-05,2027,,5,149,
Acinetobacter baumannii,Imipenem,1.0,2027-06,2027,,6,150,
Acinetobacter baumannii,Imipenem,1.0,2027-07,2027,,7,151,
Acinetobacter baumannii,Imipenem,1.0,2027-08,2027,,8,152,
Acinetobacter baumannii,Imipenem,1.0,2027-09,2027,,9,153,
Acinetobacter baumannii,Imipenem,1.0,2027-10,2027,,10,154,
Acinetobacter baumannii,Imipenem,1.0,2027-11,2027,,11,155,
Acinetobacter baumannii,Imipenem,1.0,2027-12,2027,,12,156,
Acinetobacter baumannii,Imipenem,1.0,2028-01,2028,,1,157,
Acinetobacter baumannii,Imipenem,1.0,2028-02,2028,,2,158,
Acinetobacter baumannii,Imipenem,1.0,2028-03,2028,,3,159,
Acinetobacter baumannii,Imipenem,1.0,2028-04,2028,,4,160,
Acinetobacter baumannii,Imipenem,1.0,2028-05,2028,,5,161,
Acinetobacter baumannii,Imipenem,1.0,2028-06,2028,,6,162,
Acinetobacter baumannii,Imipenem,1.0,2028-07,2028,,7,163,
Acinetobacter baumannii,Imipenem,1.0,2028-08,2028,,8,164,
Acinetobacter baumannii,Imipenem,1.0,2028-09,2028,,9,165,
Acinetobacter baumannii,Imipenem,1.0,2028-10,2028,,10,166,
Acinetobacter baumannii,Imipenem,1.0,2028-11,2028,,11,167,
Acinetobacter baumannii,Imipenem,1.0,2028-12,2028,,12,168,
Acinetobacter baumannii,Imipenem,1.0,2029-01,2029,,1,169,
Acinetobacter baumannii,Imipenem,1.0,2029-02,2029,,2,170,
Acinetobacter baumannii,Imipenem,1.0,2029-03,2029,,3,171,
Acinetobacter baumannii,Imipenem,1.0,2029-04,2029,,4,172,
Acinetobacter baumannii,Imipenem,1.0,2029-05,2029,,5,173,
Acinetobacter baumannii,Imipenem,1.0,2029-06,2029,,6,174,
Acinetobacter baumannii,Imipenem,1.0,2029-07,2029,,7,175,
Acinetobacter baumannii,Imipenem,1.0,2029-08,2029,,8,176,
Acinetobacter baumannii,Imipenem,1.0,2029-09,2029,,9,177,
Acinetobacter baumannii,Imipenem,1.0,2029-10,2029,,10,178,
Acinetobacter baumannii,Imipenem,1.0,2029-11,2029,,11,179,
Acinetobacter baumannii,Imipenem,1.0,2029-12,2029,,12,180,
Acinetobacter baumannii,Imipenem,2.0,2015-01,2015,94.68,1,1,0.9468100000000002
Acinetobacter baumannii,Imipenem,2.0,2015-02,2015,92.86,2,2,0.92861
Acinetobacter baumannii,Imipenem,2.0,2015-03,2015,84.21,3,3,0.84211
Acinetobacter baumannii,Imipenem,2.0,2015-04,2015,83.58,4,4,0.83581
Acinetobacter baumannii,Imipenem,2.0,2015-05,2015,75.76,5,5,0.7576100000000001
Acinetobacter baumannii,Imipenem,2.0,2015-06,2015,76.62,6,6,0.7662100000000001
Acinetobacter baumannii,Imipenem,2.0,2015-07,2015,78.69,7,7,0.78691
Acinetobacter baumannii,Imipenem,2.0,2015-08,2015,76.39,8,8,0.7639100000000001
Acinetobacter baumannii,Imipenem,2.0,2015-09,2015,71.64,9,9,0.7164100000000001
Acinetobacter baumannii,Imipenem,2.0,2015-10,2015,76.32,10,10,0.7632099999999999
Acinetobacter baumannii,Imipenem,2.0,2015-11,2015,74.24,11,11,0.74241
Acinetobacter baumannii,Imipenem,2.0,2015-12,2015,71.43,12,12,0.7143100000000001
Acinetobacter baumannii,Imipenem,2.0,2016-01,2016,80.59,1,13,0.8059100000000001
Acinetobacter baumannii,Imipenem,2.0,2016-02,2016,82.74,2,14,0.82741
Acinetobacter baumannii,Imipenem,2.0,2016-03,2016,84.21,3,15,0.84211
Acinetobacter baumannii,Imipenem,2.0,2016-04,2016,76.0,4,16,0.7600100000000001
Acinetobacter baumannii,Imipenem,2.0,2016-05,2016,62.81,5,17,0.62811
Acinetobacter baumannii,Imipenem,2.0,2016-06,2016,69.88,6,18,0.69881
Acinetobacter baumannii,Imipenem,2.0,2016-07,2016,66.32,7,19,0.66321
Acinetobacter baumannii,Imipenem,2.0,2016-08,2016,62.67,8,20,0.62671
Acinetobacter baumannii,Imipenem,2.0,2016-09,2016,70.3,9,21,0.70301
Acinetobacter baumannii,Imipenem,2.0,2016-10,2016,74.54,10,22,0.7454100000000001
Acinetobacter baumannii,Imipenem,2.0,2016-11,2016,70.97,11,23,0.7097100000000001
Acinetobacter baumannii,Imipenem,2.0,2016-12,2016,78.03,12,24,0.7803100000000001
Acinetobacter baumannii,Imipenem,2.0,2017-01,2017,79.72,1,25,0.7972100000000001
Acinetobacter baumannii,Imipenem,2.0,2017-02,2017,74.05,2,26,0.74051
Acinetobacter baumannii,Imipenem,2.0,2017-03,2017,74.57,3,27,0.74571
Acinetobacter baumannii,Imipenem,2.0,2017-04,2017,76.65,4,28,0.7665100000000001
Acinetobacter baumannii,Imipenem,2.0,2017-05,2017,69.27,5,29,0.69271
Acinetobacter baumannii,Imipenem,2.0,2017-06,2017,58.82,6,30,0.58821
Acinetobacter baumannii,Imipenem,2.0,2017-07,2017,69.16,7,31,0.6916100000000001
Acinetobacter baumannii,Imipenem,2.0,2017-08,2017,72.49,8,32,0.7249099999999999
Acinetobacter baumannii,Imipenem,2.0,2017-09,2017,71.81,9,33,0.71811
Acinetobacter baumannii,Imipenem,2.0,2017-10,2017,70.11,10,34,0.70111
Acinetobacter baumannii,Imipenem,2.0,2017-11,2017,71.95,11,35,0.7195100000000001
Acinetobacter baumannii,Imipenem,2.0,2017-12,2017,75.13,12,36,0.75131
Acinetobacter baumannii,Imipenem,2.0,2018-01,2018,80.0,1,37,0.80001
Acinetobacter baumannii,Imipenem,2.0,2018-02,2018,80.1,2,38,0.80101
Acinetobacter baumannii,Imipenem,2.0,2018-03,2018,71.51,3,39,0.7151100000000001
Acinetobacter baumannii,Imipenem,2.0,2018-04,2018,76.53,4,40,0.76531
Acinetobacter baumannii,Imipenem,2.0,2018-05,2018,72.32,5,41,0.72321
Acinetobacter baumannii,Imipenem,2.0,2018-06,2018,67.12,6,42,0.6712100000000001
Acinetobacter baumannii,Imipenem,2.0,2018-07,2018,74.9,7,43,0.7490100000000001
Acinetobacter baumannii,Imipenem,2.0,2018-08,2018,66.39,8,44,0.66391
Acinetobacter baumannii,Imipenem,2.0,2018-09,2018,71.48,9,45,0.7148100000000001
Acinetobacter baumannii,Imipenem,2.0,2018-10,2018,72.76,10,46,0.7276100000000001
Acinetobacter baumannii,Imipenem,2.0,2018-11,2018,73.6,11,47,0.7360099999999999
Acinetobacter baumannii,Imipenem,2.0,2018-12,2018,72.03,12,48,0.72031
