organism_full,x_year,region,n_org
Acinetobacter baumannii,2024,1.0,3368
Acinetobacter baumannii,2024,2.0,2447
Acinetobacter baumannii,2024,3.0,2600
Acinetobacter baumannii,2024,4.0,3155
Acinetobacter baumannii,2024,5.0,2794
Acinetobacter baumannii,2024,6.0,272
Acinetobacter baumannii,2024,7.0,5073
Acinetobacter baumannii,2024,8.0,3886
Acinetobacter baumannii,2024,9.0,6009
Acinetobacter baumannii,2024,10.0,4366
Acinetobacter baumannii,2024,11.0,4183
Acinetobacter baumannii,2024,12.0,4206
Acinetobacter baumannii,2024,13.0,2572
