organism_full,x_year,n_total,n_org,prevalence_%
Acinetobacter baumannii,2015,132888,21952,16.519
Acinetobacter baumannii,2016,182054,30113,16.541
Acinetobacter baumannii,2017,280625,41820,14.902
Acinetobacter baumannii,2018,286643,44520,15.532
Acinetobacter baumannii,2019,326458,52547,16.096
Acinetobacter baumannii,2020,290946,42872,14.735
Acinetobacter baumannii,2021,302657,49873,16.478
Acinetobacter baumannii,2022,226564,39776,17.556
Acinetobacter baumannii,2023,298199,49645,16.648
Acinetobacter baumannii,2024,274836,44931,16.348
