organism_full,x_year,n_total,n_org,prevalence_%
Enterococcus faecalis,2015,132888,6690,5.034
Enterococcus faecalis,2016,182054,10275,5.644
Enterococcus faecalis,2017,280625,16139,5.751
Enterococcus faecalis,2018,286643,17962,6.266
Enterococcus faecalis,2019,326458,23211,7.11
Enterococcus faecalis,2020,290946,21870,7.517
Enterococcus faecalis,2021,302657,21971,7.259
Enterococcus faecalis,2022,226564,15955,7.042
Enterococcus faecalis,2023,298199,21496,7.209
Enterococcus faecalis,2024,274836,18952,6.896
