organism_full,x_year,region,n_org
Klebsiella pneumoniae ,2024,1.0,4183
Klebsiella pneumoniae ,2024,2.0,2724
Klebsiella pneumoniae ,2024,3.0,2774
Klebsiella pneumoniae ,2024,4.0,3688
Klebsiella pneumoniae ,2024,5.0,4391
Klebsiella pneumoniae ,2024,6.0,400
Klebsiella pneumoniae ,2024,7.0,6370
Klebsiella pneumoniae ,2024,8.0,4850
Klebsiella pneumoniae ,2024,9.0,7549
Klebsiella pneumoniae ,2024,10.0,5345
Klebsiella pneumoniae ,2024,11.0,5571
Klebsiella pneumoniae ,2024,12.0,6409
Klebsiella pneumoniae ,2024,13.0,5318
