organism_full,x_year,n_total,n_org,prevalence_%
Klebsiella pneumoniae ,2015,132888,26147,19.676
Klebsiella pneumoniae ,2016,182054,35417,19.454
Klebsiella pneumoniae ,2017,280625,59168,21.084
Klebsiella pneumoniae ,2018,286643,59938,20.91
Klebsiella pneumoniae ,2019,326458,67627,20.715
Klebsiella pneumoniae ,2020,290946,58809,20.213
Klebsiella pneumoniae ,2021,302657,62990,20.812
Klebsiella pneumoniae ,2022,226564,47657,21.035
Klebsiella pneumoniae ,2023,298199,62488,20.955
Klebsiella pneumoniae ,2024,274836,59572,21.675
