organism_full,x_year,region,n_org
Pseudomonas aeruginosa ,2024,1.0,2703
Pseudomonas aeruginosa ,2024,2.0,1767
Pseudomonas aeruginosa ,2024,3.0,2007
Pseudomonas aeruginosa ,2024,4.0,2984
Pseudomonas aeruginosa ,2024,5.0,2786
Pseudomonas aeruginosa ,2024,6.0,214
Pseudomonas aeruginosa ,2024,7.0,3533
Pseudomonas aeruginosa ,2024,8.0,2226
Pseudomonas aeruginosa ,2024,9.0,3485
Pseudomonas aeruginosa ,2024,10.0,2574
Pseudomonas aeruginosa ,2024,11.0,3317
Pseudomonas aeruginosa ,2024,12.0,4022
Pseudomonas aeruginosa ,2024,13.0,2996
