organism_full,x_year,n_total,n_org,prevalence_%
Pseudomonas aeruginosa ,2015,132888,18371,13.824
Pseudomonas aeruginosa ,2016,182054,24853,13.651
Pseudomonas aeruginosa ,2017,280625,38985,13.892
Pseudomonas aeruginosa ,2018,286643,37619,13.124
Pseudomonas aeruginosa ,2019,326458,41464,12.701
Pseudomonas aeruginosa ,2020,290946,37158,12.771
Pseudomonas aeruginosa ,2021,302657,38723,12.794
Pseudomonas aeruginosa ,2022,226564,28167,12.432
Pseudomonas aeruginosa ,2023,298199,36928,12.384
Pseudomonas aeruginosa ,2024,274836,34614,12.594
