organism_full,x_year,region,n_org
Staphylococcus aureus,2024,1.0,2519
Staphylococcus aureus,2024,2.0,1742
Staphylococcus aureus,2024,3.0,1418
Staphylococcus aureus,2024,4.0,1819
Staphylococcus aureus,2024,5.0,2363
Staphylococcus aureus,2024,6.0,144
Staphylococcus aureus,2024,7.0,2683
Staphylococcus aureus,2024,8.0,2745
Staphylococcus aureus,2024,9.0,3161
Staphylococcus aureus,2024,10.0,1839
Staphylococcus aureus,2024,11.0,3265
Staphylococcus aureus,2024,12.0,2966
Staphylococcus aureus,2024,13.0,2377
