organism_full,x_year,Blood,Urine,"Urine, catheter",other
Enterococcus faecium,2015,7.959,54.038,25.818,12.185
Enterococcus faecium,2016,8.57,55.24,22.524,13.666
Enterococcus faecium,2017,8.781,54.878,23.459,12.882
Enterococcus faecium,2018,8.652,56.558,22.166,12.623
Enterococcus faecium,2019,9.086,72.802,2.487,15.626
Enterococcus faecium,2020,8.661,72.609,1.13,17.6
Enterococcus faecium,2021,10.04,70.095,0.786,19.079
Enterococcus faecium,2022,10.644,67.817,4.128,17.41
Enterococcus faecium,2023,9.325,71.035,4.247,15.392
Enterococcus faecium,2024,9.043,70.837,4.535,15.584
