organism_full,x_year,Blood,Sputum,Urine,other
Klebsiella pneumoniae ,2015,11.033,55.824,16.016,17.126
Klebsiella pneumoniae ,2016,10.926,54.322,17.531,17.221
Klebsiella pneumoniae ,2017,10.419,53.718,17.559,18.304
Klebsiella pneumoniae ,2018,11.041,51.108,17.775,20.076
Klebsiella pneumoniae ,2019,11.03,49.039,20.164,19.766
Klebsiella pneumoniae ,2020,11.556,45.418,22.58,20.446
Klebsiella pneumoniae ,2021,11.124,46.58,20.656,21.64
Klebsiella pneumoniae ,2022,11.289,47.974,19.743,20.994
Klebsiella pneumoniae ,2023,10.557,48.375,20.836,20.231
Klebsiella pneumoniae ,2024,10.599,50.375,20.78,18.246
