organism_full,x_year,Pus,Sputum,Urine,other
Pseudomonas aeruginosa ,2015,7.179,61.366,12.208,19.247
Pseudomonas aeruginosa ,2016,7.449,61.895,12.851,17.804
Pseudomonas aeruginosa ,2017,7.427,60.262,13.124,19.186
Pseudomonas aeruginosa ,2018,9.409,57.493,13.167,19.931
Pseudomonas aeruginosa ,2019,13.094,53.527,15.372,18.007
Pseudomonas aeruginosa ,2020,11.435,49.611,17.385,21.569
Pseudomonas aeruginosa ,2021,10.97,50.272,16.734,22.023
Pseudomonas aeruginosa ,2022,11.382,50.506,16.541,21.571
Pseudomonas aeruginosa ,2023,9.947,50.801,17.677,21.575
Pseudomonas aeruginosa ,2024,8.222,53.71,17.329,20.739
