organism_full,x_year,Blood,Pus,Sputum,other
Staphylococcus aureus,2015,19.481,16.914,39.288,24.317
Staphylococcus aureus,2016,17.724,19.671,39.317,23.288
Staphylococcus aureus,2017,20.657,20.732,35.217,23.394
Staphylococcus aureus,2018,21.245,24.591,30.468,23.697
Staphylococcus aureus,2019,16.859,31.093,28.394,23.654
Staphylococcus aureus,2020,17.108,26.129,28.21,28.554
Staphylococcus aureus,2021,18.128,25.647,28.858,27.367
Staphylococcus aureus,2022,18.28,25.914,29.752,26.054
Staphylococcus aureus,2023,17.165,25.428,28.444,28.962
Staphylococcus aureus,2024,16.843,23.493,31.958,27.705
