organism_full,x_year,Blood,Sputum,Urine,other
Acinetobacter baumannii,2015,5.428,75.904,6.48,12.188
Acinetobacter baumannii,2016,6.031,75.048,6.617,12.303
Acinetobacter baumannii,2017,7.235,72.714,7.068,12.983
Acinetobacter baumannii,2018,7.583,71.002,6.981,14.434
Acinetobacter baumannii,2019,7.06,65.949,8.005,18.986
Acinetobacter baumannii,2020,7.72,63.454,8.453,20.373
Acinetobacter baumannii,2021,8.466,63.614,7.995,19.925
Acinetobacter baumannii,2022,8.895,62.963,7.648,20.495
Acinetobacter baumannii,2023,8.448,64.479,8.185,18.888
Acinetobacter baumannii,2024,8.62,69.593,7.863,13.924
